pogona_vitticeps ENSPVIG00000014446
anolis_carolinensis ENSACAG00000004625
notechis_scutatus ENSNSUG00000010873
salvator_merianae ENSSMRG00000006328
sphenodon_punctatus ENSSPUG00000006824
parus_major ENSPMJG00000010776
cyanistes_caeruleus ENSCCEG00000015210
ficedula_albicollis ENSFALG00000006064
taeniopygia_guttata ENSTGUG00000013397
lonchura_striata_domestica ENSLSDG00000006230
serinus_canaria ENSSCAG00000009539
junco_hyemalis ENSJHYG00000018222
zonotrichia_albicollis ENSZALG00000018066
manacus_vitellinus ENSMVIG00005011665
manacus_vitellinus ENSMVIG00005011670
lepidothrix_coronata ENSLCOG00000001455
melopsittacus_undulatus ENSMUNG00000004761
calidris_pugnax ENSCPUG00000007077
calidris_pygmaea ENSCPGG00000009003
anser_brachyrhynchus ENSABRG00000010033
anas_platyrhynchos_platyrhynchos ENSAPLG00000025438
meleagris_gallopavo ENSMGAG00000014312
gallus_gallus ENSGALG00000015075
coturnix_japonica ENSCJPG00005017405
numida_meleagris ENSNMEG00000017033
dromaius_novaehollandiae ENSDNVG00000001782
nothoprocta_perdicaria ENSNPEG00000002322
apteryx_haastii ENSAHAG00000019048
apteryx_rowi ENSARWG00000005326
apteryx_owenii ENSAOWG00000001902
crocodylus_porosus ENSCPRG00005003713
gopherus_agassizii ENSGAGG00000000361
chelonoidis_abingdonii ENSCABG00000011732
chrysemys_picta_bellii ENSCPBG00000002779
xenopus_tropicalis ENSXETG00000023018
latimeria_chalumnae ENSLACG00000016041
lepisosteus_oculatus ENSLOCG00000002805
xenopus_tropicalis ENSXETG00000012784
eptatretus_burgeri ENSEBUG00000007407
