scophthalmus_maximus ENSSMAG00000002359
cynoglossus_semilaevis ENSCSEG00000017321
kryptolebias_marmoratus ENSKMAG00000014325
xiphophorus_couchianus ENSXCOG00000006218
hippocampus_comes ENSHCOG00000016294
haplochromis_burtoni ENSHBUG00000018675
amphilophus_citrinellus ENSACIG00000024524
amphiprion_percula ENSAPEG00000020033
amphiprion_ocellaris ENSAOCG00000008878
acanthochromis_polyacanthus ENSAPOG00000018481
oryzias_latipes ENSORLG00000024986
oryzias_latipes ENSORLG00020006718
oryzias_melastigma ENSOMEG00000011642
mola_mola ENSMMOG00000013764
monopterus_albus ENSMALG00000002092
periophthalmus_magnuspinnatus ENSPMGG00000008373
esox_lucius ENSELUG00000013329
paramormyrops_kingsleyae ENSPKIG00000007253
