lonchura_striata ENSLSDG00000013152
serinus_canaria ENSSCAG00000009226
junco_hyemalis ENSJHYG00000008725
parus_major ENSPMJG00000003885
cyanistes_caeruleus ENSCCEG00000011265
ficedula_albicollis ENSFALG00000013084
lepidothrix_coronata ENSLCOG00000003868
melopsittacus_undulatus ENSMUNG00000007335
calidris_pugnax ENSCPUG00000007130
gallus_gallus ENSGALG00000034284
meleagris_gallopavo ENSMGAG00000001551
anser_brachyrhynchus ENSABRG00000006713
apteryx_haastii ENSAHAG00000004505
apteryx_rowi ENSARWG00000008151
apteryx_owenii ENSAOWG00000015169
dromaius_novaehollandiae ENSDNVG00000008898
taeniopygia_guttata ENSTGUG00000000073
anas_platyrhynchos ENSAPLG00000018161
chelonoidis_abingdonii ENSCABG00000016659
nothoprocta_perdicaria ENSNPEG00000011025
chrysemys_picta ENSCPBG00000012223
gopherus_agassizii ENSGAGG00000025840
crocodylus_porosus ENSCPRG00005001227
pogona_vitticeps ENSPVIG00000021517
anolis_carolinensis ENSACAG00000005372
notechis_scutatus ENSNSUG00000001422
salvator_merianae ENSSMRG00000001303
sphenodon_punctatus ENSSPUG00000006612
pan_troglodytes ENSPTRG00000019873
pan_paniscus ENSPPAG00000043617
homo_sapiens ENSG00000164889
gorilla_gorilla ENSGGOG00000016887
pongo_abelii ENSPPYG00000018184
nomascus_leucogenys ENSNLEG00000004155
cercocebus_atys ENSCATG00000042402
mandrillus_leucophaeus ENSMLEG00000032141
macaca_mulatta ENSMMUG00000020456
macaca_fascicularis ENSMFAG00000002821
macaca_nemestrina ENSMNEG00000040841
theropithecus_gelada ENSTGEG00000004755
papio_anubis ENSPANG00000006706
chlorocebus_sabaeus ENSCSAG00000006697
piliocolobus_tephrosceles ENSPTEG00000000831
colobus_angolensis ENSCANG00000000754
rhinopithecus_bieti ENSRBIG00000044628
rhinopithecus_roxellana ENSRROG00000023955
cebus_capucinus ENSCCAG00000034791
saimiri_boliviensis ENSSBOG00000021170
callithrix_jacchus ENSCJAG00000020270
aotus_nancymaae ENSANAG00000023932
carlito_syrichta ENSTSYG00000007967
propithecus_coquereli ENSPCOG00000019926
microcebus_murinus ENSMICG00000004750
prolemur_simus ENSPSMG00000009119
otolemur_garnettii ENSOGAG00000001778
castor_canadensis ENSCCNG00000007052
dipodomys_ordii ENSDORG00000006549
mus_spicilegus ENSMSIG00000004460
mus_spretus MGP_SPRETEiJ_G0028007
mus_musculus ENSMUSG00000028962
mus_caroli MGP_CAROLIEiJ_G0027011
mus_pahari MGP_PahariEiJ_G0021784
rattus_norvegicus ENSRNOG00000014347
meriones_unguiculatus ENSMUGG00000009553
peromyscus_maniculatus ENSPEMG00000019200
microtus_ochrogaster ENSMOCG00000003131
cricetulus_griseus ENSCGRG00015006889
cricetulus_griseus ENSCGRG00000012517
cricetulus_griseus ENSCGRG00001023606
mesocricetus_auratus ENSMAUG00000004472
nannospalax_galili ENSNGAG00000021758
jaculus_jaculus ENSJJAG00000018387
chinchilla_lanigera ENSCLAG00000003594
octodon_degus ENSODEG00000012239
cavia_aperea ENSCAPG00000017215
cavia_porcellus ENSCPOG00000013226
heterocephalus_glaber ENSHGLG00100012027
heterocephalus_glaber ENSHGLG00000006329
heterocephalus_glaber ENSHGLG00000009289
heterocephalus_glaber ENSHGLG00100018295
fukomys_damarensis ENSFDAG00000009236
urocitellus_parryii ENSUPAG00010006874
ictidomys_tridecemlineatus ENSSTOG00000016071
marmota_marmota ENSMMMG00000006005
spermophilus_dauricus ENSSDAG00000019311
ochotona_princeps ENSOPRG00000003838
oryctolagus_cuniculus ENSOCUG00000038102
tupaia_belangeri ENSTBEG00000002046
tursiops_truncatus ENSTTRG00000000852
sus_scrofa ENSSSCG00000021475
bos_indicus ENSBIXG00000024104
bos_indicus ENSBIXG00005013838
bos_taurus ENSBTAG00000011226
bos_mutus ENSBMUG00000003722
bison_bison ENSBBBG00000015173
capra_hircus ENSCHIG00000020413
ovis_aries ENSOARG00000002801
ursus_americanus ENSUAMG00000022754
ursus_maritimus ENSUMAG00000016320
ailuropoda_melanoleuca ENSAMEG00000013718
mustela_putorius ENSMPUG00000008413
neovison_vison ENSNVIG00000001488
canis_lupus ENSCAFG00020006323
canis_lupus ENSCAFG00000004623
vulpes_vulpes ENSVVUG00000008410
panthera_pardus ENSPPRG00000005905
