sarcophilus_harrisii ENSSHAG00000005278
notamacropus_eugenii ENSMEUG00000010609
phascolarctos_cinereus ENSPCIG00000001861
monodelphis_domestica ENSMODG00000013731
otolemur_garnettii ENSOGAG00000012851
ochotona_princeps ENSOPRG00000016262
sorex_araneus ENSSARG00000009722
oryctolagus_cuniculus ENSOCUG00000009240
erinaceus_europaeus ENSEEUG00000010618
vicugna_pacos ENSVPAG00000008327
tursiops_truncatus ENSTTRG00000008156
pteropus_vampyrus ENSPVAG00000005776
procavia_capensis ENSPCAG00000011113
equus_caballus ENSECAG00000018358
equus_asinus_asinus ENSEASG00005017626
mustela_putorius_furo ENSMPUG00000000032
neovison_vison ENSNVIG00000024869
canis_lupus_dingo ENSCAFG00020021061
canis_lupus_familiaris ENSCAFG00000018315
vulpes_vulpes ENSVVUG00000030107
felis_catus ENSFCAG00000033826
panthera_pardus ENSPPRG00000017981
ursus_maritimus ENSUMAG00000005250
ursus_americanus ENSUAMG00000010729
ailuropoda_melanoleuca ENSAMEG00000004956
panthera_tigris_altaica ENSPTIG00000000643
carlito_syrichta ENSTSYG00000012134
rhinopithecus_bieti ENSRBIG00000029698
cercocebus_atys ENSCATG00000041372
nomascus_leucogenys ENSNLEG00000035985
callithrix_jacchus ENSCJAG00000046347
macaca_nemestrina ENSMNEG00000037007
theropithecus_gelada ENSTGEG00000003361
colobus_angolensis_palliatus ENSCANG00000033849
pan_troglodytes ENSPTRG00000024216
homo_sapiens ENSG00000091542
cebus_capucinus ENSCCAG00000020369
macaca_fascicularis ENSMFAG00000001517
piliocolobus_tephrosceles ENSPTEG00000027030
callithrix_jacchus ENSCJAG00000000974
callithrix_jacchus ENSCJAG00000046984
rhinopithecus_roxellana ENSRROG00000033654
aotus_nancymaae ENSANAG00000032817
papio_anubis ENSPANG00000023682
mandrillus_leucophaeus ENSMLEG00000036607
chlorocebus_sabaeus ENSCSAG00000008183
pan_paniscus ENSPPAG00000030479
gorilla_gorilla ENSGGOG00000016223
saimiri_boliviensis_boliviensis ENSSBOG00000023339
carlito_syrichta ENSTSYG00000025747
propithecus_coquereli ENSPCOG00000000705
prolemur_simus ENSPSMG00000010517
microcebus_murinus ENSMICG00000044316
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017293
mus_musculus ENSMUSG00000042650
mus_spicilegus ENSMSIG00000019195
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016458
mus_pahari MGP_PahariEiJ_G0017588
rattus_norvegicus ENSRNOG00000028341
meriones_unguiculatus ENSMUGG00000008733
cricetulus_griseus_crigri-picr ENSCGRG00015016324
cricetulus_griseus_crigri ENSCGRG00000017044
cricetulus_griseus_chok1gshd ENSCGRG00001004268
mesocricetus_auratus ENSMAUG00000012991
peromyscus_maniculatus_bairdii ENSPEMG00000024750
microtus_ochrogaster ENSMOCG00000002615
nannospalax_galili ENSNGAG00000011033
heterocephalus_glaber_male ENSHGLG00100008720
fukomys_damarensis ENSFDAG00000011356
chinchilla_lanigera ENSCLAG00000003812
cavia_porcellus ENSCPOG00000037709
octodon_degus ENSODEG00000005760
heterocephalus_glaber_female ENSHGLG00000013317
castor_canadensis ENSCCNG00000021581
ictidomys_tridecemlineatus ENSSTOG00000024574
urocitellus_parryii ENSUPAG00010015371
spermophilus_dauricus ENSSDAG00000022857
marmota_marmota_marmota ENSMMMG00000009280
dipodomys_ordii ENSDORG00000024764
jaculus_jaculus ENSJJAG00000021812
heterocephalus_glaber_female ENSHGLG00000019755
heterocephalus_glaber_male ENSHGLG00100020063
cavia_aperea ENSCAPG00000001433
myotis_lucifugus ENSMLUG00000001337
loxodonta_africana ENSLAFG00000015521
bos_mutus ENSBMUG00000017605
bos_taurus ENSBTAG00000025046
bison_bison_bison ENSBBBG00000003613
capra_hircus ENSCHIG00000027248
ovis_aries ENSOARG00000000695
sus_scrofa ENSSSCG00000035120
dasypus_novemcinctus ENSDNOG00000007935
ornithorhynchus_anatinus ENSOANG00000015316
apteryx_owenii ENSAOWG00000016266
apteryx_rowi ENSARWG00000017374
apteryx_haastii ENSAHAG00000016041
dromaius_novaehollandiae ENSDNVG00000013074
nothoprocta_perdicaria ENSNPEG00000014489
coturnix_japonica ENSCJPG00005002731
gallus_gallus ENSGALG00000043693
numida_meleagris ENSNMEG00000009882
melopsittacus_undulatus ENSMUNG00000000280
manacus_vitellinus ENSMVIG00005014897
manacus_vitellinus ENSMVIG00005014892
taeniopygia_guttata ENSTGUG00000007229
lonchura_striata_domestica ENSLSDG00000007308
junco_hyemalis ENSJHYG00000004547
zonotrichia_albicollis ENSZALG00000005293
serinus_canaria ENSSCAG00000008621
parus_major ENSPMJG00000017438
cyanistes_caeruleus ENSCCEG00000022581
ficedula_albicollis ENSFALG00000013746
lepidothrix_coronata ENSLCOG00000012754
calidris_pygmaea ENSCPGG00000003020
calidris_pugnax ENSCPUG00000010610
melopsittacus_undulatus ENSMUNG00000007784
anser_brachyrhynchus ENSABRG00000015492
crocodylus_porosus ENSCPRG00005015953
chelonoidis_abingdonii ENSCABG00000021600
gopherus_agassizii ENSGAGG00000007453
chrysemys_picta_bellii ENSCPBG00000020984
pelodiscus_sinensis ENSPSIG00000009583
pogona_vitticeps ENSPVIG00000009518
anolis_carolinensis ENSACAG00000009646
notechis_scutatus ENSNSUG00000006616
salvator_merianae ENSSMRG00000008859
sphenodon_punctatus ENSSPUG00000004432
latimeria_chalumnae ENSLACG00000000217
xenopus_tropicalis ENSXETG00000005769
latimeria_chalumnae ENSLACG00000022510
pygocentrus_nattereri ENSPNAG00000014968
astyanax_mexicanus ENSAMXG00000037092
ictalurus_punctatus ENSIPUG00000001628
danio_rerio ENSDARG00000063003
scophthalmus_maximus ENSSMAG00000000195
cynoglossus_semilaevis ENSCSEG00000002327
tetraodon_nigroviridis ENSTNIG00000008275
