amphiprion_ocellaris ENSAOCG00000001884
amphiprion_percula ENSAPEG00000004389
acanthochromis_polyacanthus ENSAPOG00000018338
gasterosteus_aculeatus ENSGACG00000007536
labrus_bergylta ENSLBEG00000024538
scophthalmus_maximus ENSSMAG00000014884
pundamilia_nyererei ENSPNYG00000018099
haplochromis_burtoni ENSHBUG00000015161
maylandia_zebra ENSMZEG00005014256
astatotilapia_calliptera ENSACLG00000015824
neolamprologus_brichardi ENSNBRG00000020643
oreochromis_niloticus ENSONIG00000004048
amphilophus_citrinellus ENSACIG00000011188
poecilia_mexicana ENSPMEG00000015745
poecilia_latipinna ENSPLAG00000011796
poecilia_reticulata ENSPREG00000005710
poecilia_formosa ENSPFOG00000014192
gambusia_affinis ENSGAFG00000012430
fundulus_heteroclitus ENSFHEG00000022565
cyprinodon_variegatus ENSCVAG00000011523
takifugu_rubripes ENSTRUG00000015022
mastacembelus_armatus ENSMAMG00000015259
monopterus_albus ENSMALG00000003781
anabas_testudineus ENSATEG00000024957
