mola_mola ENSMMOG00000003413
tetraodon_nigroviridis ENSTNIG00000016618
oryzias_melastigma ENSOMEG00000022393
oryzias_latipes ENSORLG00020016627
pundamilia_nyererei ENSPNYG00000017786
maylandia_zebra ENSMZEG00005008313
haplochromis_burtoni ENSHBUG00000010516
neolamprologus_brichardi ENSNBRG00000015775
poecilia_formosa ENSPFOG00000016289
seriola_dumerili ENSSDUG00000005190
monopterus_albus ENSMALG00000002520
labrus_bergylta ENSLBEG00000018507
hippocampus_comes ENSHCOG00000012241
amphilophus_citrinellus ENSACIG00000009782
periophthalmus_magnuspinnatus ENSPMGG00000001499
ictalurus_punctatus ENSIPUG00000017779
taeniopygia_guttata ENSTGUG00000007368
lonchura_striata_domestica ENSLSDG00000003659
ficedula_albicollis ENSFALG00000007233
chrysemys_picta_bellii ENSCPBG00000020399
