latimeria_chalumnae ENSLACG00000002549
piliocolobus_tephrosceles ENSPTEG00000012727
oryzias_latipes_asm223469v1 ENSORLG00015002590
oryzias_latipes ENSORLG00020010672
oryzias_melastigma ENSOMEG00000020191
xiphophorus_couchianus ENSXCOG00000006348
amphiprion_ocellaris ENSAOCG00000018391
amphiprion_percula ENSAPEG00000012683
haplochromis_burtoni ENSHBUG00000022745
astatotilapia_calliptera ENSACLG00000002279
oreochromis_niloticus ENSONIG00000011853
neolamprologus_brichardi ENSNBRG00000010547
amphilophus_citrinellus ENSACIG00000002379
seriola_dumerili ENSSDUG00000010320
seriola_lalandi_dorsalis ENSSLDG00000004041
scophthalmus_maximus ENSSMAG00000019316
anabas_testudineus ENSATEG00000020410
esox_lucius ENSELUG00000012280
pygocentrus_nattereri ENSPNAG00000026225
astyanax_mexicanus ENSAMXG00000020845
ictalurus_punctatus ENSIPUG00000019381
