lonchura_striata_domestica ENSLSDG00000012122
serinus_canaria ENSSCAG00000011587
manacus_vitellinus ENSMVIG00005013446
lepidothrix_coronata ENSLCOG00000005600
melopsittacus_undulatus ENSMUNG00000001910
parus_major ENSPMJG00000007300
cyanistes_caeruleus ENSCCEG00000013901
taeniopygia_guttata ENSTGUG00000013302
zonotrichia_albicollis ENSZALG00000017365
zonotrichia_albicollis ENSZALG00000017366
junco_hyemalis ENSJHYG00000010257
ficedula_albicollis ENSFALG00000004696
calidris_pygmaea ENSCPGG00000005579
calidris_pugnax ENSCPUG00000005834
anser_brachyrhynchus ENSABRG00000012526
anas_platyrhynchos_platyrhynchos ENSAPLG00000002993
gallus_gallus ENSGALG00000014490
coturnix_japonica ENSCJPG00005016753
meleagris_gallopavo ENSMGAG00000014116
numida_meleagris ENSNMEG00000016888
apteryx_owenii ENSAOWG00000011132
apteryx_rowi ENSARWG00000005498
apteryx_haastii ENSAHAG00000013056
dromaius_novaehollandiae ENSDNVG00000017238
nothoprocta_perdicaria ENSNPEG00000006841
crocodylus_porosus ENSCPRG00005005662
gopherus_agassizii ENSGAGG00000005037
chelonoidis_abingdonii ENSCABG00000012030
chrysemys_picta_bellii ENSCPBG00000027684
pelodiscus_sinensis ENSPSIG00000014258
pogona_vitticeps ENSPVIG00000012415
notechis_scutatus ENSNSUG00000008973
salvator_merianae ENSSMRG00000019119
anolis_carolinensis ENSACAG00000005838
loxodonta_africana ENSLAFG00000006551
procavia_capensis ENSPCAG00000016359
echinops_telfairi ENSETEG00000007557
choloepus_hoffmanni ENSCHOG00000002766
dasypus_novemcinctus ENSDNOG00000036097
cavia_porcellus ENSCPOG00000012330
cavia_aperea ENSCAPG00000003726
octodon_degus ENSODEG00000003441
chinchilla_lanigera ENSCLAG00000012569
heterocephalus_glaber_female ENSHGLG00000004948
heterocephalus_glaber_male ENSHGLG00100007571
fukomys_damarensis ENSFDAG00000009528
castor_canadensis ENSCCNG00000025384
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029899
mus_spicilegus ENSMSIG00000021278
mus_musculus ENSMUSG00000023191
mus_pahari MGP_PahariEiJ_G0022617
rattus_norvegicus ENSRNOG00000016071
meriones_unguiculatus ENSMUGG00000012674
cricetulus_griseus_crigri ENSCGRG00000018317
cricetulus_griseus_crigri-picr ENSCGRG00015002624
cricetulus_griseus_chok1gshd ENSCGRG00001000528
mesocricetus_auratus ENSMAUG00000019245
microtus_ochrogaster ENSMOCG00000014085
peromyscus_maniculatus_bairdii ENSPEMG00000011450
nannospalax_galili ENSNGAG00000015076
jaculus_jaculus ENSJJAG00000002354
ictidomys_tridecemlineatus ENSSTOG00000015582
urocitellus_parryii ENSUPAG00010012273
marmota_marmota_marmota ENSMMMG00000016960
spermophilus_dauricus ENSSDAG00000016712
oryctolagus_cuniculus ENSOCUG00000012916
ochotona_princeps ENSOPRG00000003768
propithecus_coquereli ENSPCOG00000024751
microcebus_murinus ENSMICG00000042131
prolemur_simus ENSPSMG00000016162
otolemur_garnettii ENSOGAG00000003025
pan_paniscus ENSPPAG00000036812
pan_troglodytes ENSPTRG00000004591
homo_sapiens ENSG00000110811
gorilla_gorilla ENSGGOG00000002603
pongo_abelii ENSPPYG00000004203
nomascus_leucogenys ENSNLEG00000004705
cercocebus_atys ENSCATG00000040167
mandrillus_leucophaeus ENSMLEG00000013218
papio_anubis ENSPANG00000020167
theropithecus_gelada ENSTGEG00000008316
macaca_fascicularis ENSMFAG00000046290
macaca_mulatta ENSMMUG00000005189
macaca_nemestrina ENSMNEG00000028584
chlorocebus_sabaeus ENSCSAG00000010242
colobus_angolensis_palliatus ENSCANG00000024892
piliocolobus_tephrosceles ENSPTEG00000037417
rhinopithecus_bieti ENSRBIG00000034982
rhinopithecus_roxellana ENSRROG00000030746
cebus_capucinus ENSCCAG00000024330
saimiri_boliviensis_boliviensis ENSSBOG00000027303
callithrix_jacchus ENSCJAG00000007528
aotus_nancymaae ENSANAG00000027222
tupaia_belangeri ENSTBEG00000000899
bos_taurus ENSBTAG00000003598
bos_mutus ENSBMUG00000009413
bison_bison_bison ENSBBBG00000013282
capra_hircus ENSCHIG00000000989
ovis_aries ENSOARG00000005885
tursiops_truncatus ENSTTRG00000004668
sus_scrofa ENSSSCG00000000681
equus_caballus ENSECAG00000021815
equus_asinus_asinus ENSEASG00005016118
ursus_americanus ENSUAMG00000026859
ursus_maritimus ENSUMAG00000004936
ailuropoda_melanoleuca ENSAMEG00000014022
mustela_putorius_furo ENSMPUG00000016793
neovison_vison ENSNVIG00000024630
canis_lupus_dingo ENSCAFG00020003004
canis_lupus_familiaris ENSCAFG00000031318
vulpes_vulpes ENSVVUG00000011231
panthera_pardus ENSPPRG00000012543
panthera_tigris_altaica ENSPTIG00000003404
felis_catus ENSFCAG00000004270
erinaceus_europaeus ENSEEUG00000005598
pteropus_vampyrus ENSPVAG00000012303
myotis_lucifugus ENSMLUG00000006754
carlito_syrichta ENSTSYG00000037231
dipodomys_ordii ENSDORG00000011727
notamacropus_eugenii ENSMEUG00000011534
sarcophilus_harrisii ENSSHAG00000015993
phascolarctos_cinereus ENSPCIG00000002057
sarcophilus_harrisii ENSSHAG00000015960
monodelphis_domestica ENSMODG00000018141
ornithorhynchus_anatinus ENSOANG00000031189
xenopus_tropicalis ENSXETG00000011541
latimeria_chalumnae ENSLACG00000008027
seriola_dumerili ENSSDUG00000013324
seriola_lalandi_dorsalis ENSSLDG00000024153
scophthalmus_maximus ENSSMAG00000010443
monopterus_albus ENSMALG00000022509
mastacembelus_armatus ENSMAMG00000003306
anabas_testudineus ENSATEG00000020881
takifugu_rubripes ENSTRUG00000010270
tetraodon_nigroviridis ENSTNIG00000008025
mola_mola ENSMMOG00000015930
labrus_bergylta ENSLBEG00000011556
gasterosteus_aculeatus ENSGACG00000009861
fundulus_heteroclitus ENSFHEG00000011860
