lonchura_striata ENSLSDG00000001180
taeniopygia_guttata ENSTGUG00000003275
serinus_canaria ENSSCAG00000013294
junco_hyemalis ENSJHYG00000000146
zonotrichia_albicollis ENSZALG00000000388
ficedula_albicollis ENSFALG00000004810
parus_major ENSPMJG00000008254
cyanistes_caeruleus ENSCCEG00000020847
manacus_vitellinus ENSMVIG00005009589
melopsittacus_undulatus ENSMUNG00000004894
calidris_pygmaea ENSCPGG00000016974
calidris_pugnax ENSCPUG00000010944
gallus_gallus ENSGALG00000009205
coturnix_japonica ENSCJPG00005018456
meleagris_gallopavo ENSMGAG00000009985
numida_meleagris ENSNMEG00000021722
anser_brachyrhynchus ENSABRG00000001324
dromaius_novaehollandiae ENSDNVG00000006365
crocodylus_porosus ENSCPRG00005000862
gopherus_agassizii ENSGAGG00000022189
chrysemys_picta ENSCPBG00000018747
pelodiscus_sinensis ENSPSIG00000002850
pogona_vitticeps ENSPVIG00000008044
anolis_carolinensis ENSACAG00000016399
salvator_merianae ENSSMRG00000016713
xenopus_tropicalis ENSXETG00000020406
callorhinchus_milii ENSCMIG00000004565
callorhinchus_milii ENSCMIG00000007588
callorhinchus_milii ENSCMIG00000007586
latimeria_chalumnae ENSLACG00000006593
hucho_hucho ENSHHUG00000028854
hucho_hucho ENSHHUG00000000346
astyanax_mexicanus ENSAMXG00005021539
gambusia_affinis ENSGAFG00000015483
ornithorhynchus_anatinus ENSOANG00000029379
callorhinchus_milii ENSCMIG00000006049
cottoperca_gobio ENSCGOG00000023766
gasterosteus_aculeatus ENSGACG00000008256
labrus_bergylta ENSLBEG00000013738
larimichthys_crocea ENSLCRG00005010420
tetraodon_nigroviridis ENSTNIG00000012796
xiphophorus_maculatus ENSXMAG00000008777
gambusia_affinis ENSGAFG00000015619
poecilia_formosa ENSPFOG00000017141
poecilia_latipinna ENSPLAG00000010928
poecilia_mexicana ENSPMEG00000017956
fundulus_heteroclitus ENSFHEG00000000060
kryptolebias_marmoratus ENSKMAG00000013932
oryzias_latipes ENSORLG00000007139
oryzias_latipes ENSORLG00015010904
oryzias_latipes ENSORLG00020012573
oryzias_melastigma ENSOMEG00000017774
astatotilapia_calliptera ENSACLG00000010365
maylandia_zebra ENSMZEG00005011797
haplochromis_burtoni ENSHBUG00000017544
oreochromis_niloticus ENSONIG00000020029
stegastes_partitus ENSSPAG00000013593
acanthochromis_polyacanthus ENSAPOG00000018574
seriola_dumerili ENSSDUG00000000750
seriola_lalandi ENSSLDG00000011931
scophthalmus_maximus ENSSMAG00000014414
anabas_testudineus ENSATEG00000016799
monopterus_albus ENSMALG00000000483
betta_splendens ENSBSLG00000005142
gadus_morhua ENSGMOG00000008439
hucho_hucho ENSHHUG00000032663
esox_lucius ENSELUG00000008905
denticeps_clupeoides ENSDCDG00000035335
denticeps_clupeoides ENSDCDG00000024762
clupea_harengus ENSCHAG00000007092
ictalurus_punctatus ENSIPUG00000005482
paramormyrops_kingsleyae ENSPKIG00000008143
scleropages_formosus ENSSFOG00015018202
lepisosteus_oculatus ENSLOCG00000008981
erpetoichthys_calabaricus ENSECRG00000016163
petromyzon_marinus ENSPMAG00000005632
eptatretus_burgeri ENSEBUG00000015086
denticeps_clupeoides ENSDCDG00000026657
pygocentrus_nattereri ENSPNAG00000001288
hucho_hucho ENSHHUG00000016272
hucho_hucho ENSHHUG00000035010
hucho_hucho ENSHHUG00000037154
esox_lucius ENSELUG00000008612
takifugu_rubripes ENSTRUG00000008033
tetraodon_nigroviridis ENSTNIG00000010831
betta_splendens ENSBSLG00000013556
lates_calcarifer ENSLCAG00010012310
amphiprion_ocellaris ENSAOCG00000012221
amphiprion_percula ENSAPEG00000013387
acanthochromis_polyacanthus ENSAPOG00000003143
stegastes_partitus ENSSPAG00000007167
parambassis_ranga ENSPRNG00000011906
astatotilapia_calliptera ENSACLG00000016285
haplochromis_burtoni ENSHBUG00000022001
maylandia_zebra ENSMZEG00005005407
oreochromis_niloticus ENSONIG00000008386
gouania_willdenowi ENSGWIG00000004796
xiphophorus_maculatus ENSXMAG00000003047
gambusia_affinis ENSGAFG00000017552
poecilia_mexicana ENSPMEG00000018436
poecilia_formosa ENSPFOG00000000184
poecilia_reticulata ENSPREG00000016682
fundulus_heteroclitus ENSFHEG00000005789
kryptolebias_marmoratus ENSKMAG00000014135
oryzias_latipes ENSORLG00020006499
oryzias_latipes ENSORLG00000030616
oryzias_latipes ENSORLG00015018512
oryzias_melastigma ENSOMEG00000006688
seriola_dumerili ENSSDUG00000016614
seriola_lalandi ENSSLDG00000024868
gasterosteus_aculeatus ENSGACG00000007284
gasterosteus_aculeatus ENSGACG00000007283
larimichthys_crocea ENSLCRG00005002164
monopterus_albus ENSMALG00000001566
mastacembelus_armatus ENSMAMG00000008137
anabas_testudineus ENSATEG00000009398
gadus_morhua ENSGMOG00000000478
scleropages_formosus ENSSFOG00015012394
lepisosteus_oculatus ENSLOCG00000011873
erpetoichthys_calabaricus ENSECRG00000019538
callorhinchus_milii ENSCMIG00000004562
eptatretus_burgeri ENSEBUG00000011767
