ictidomys_tridecemlineatus ENSSTOG00000021310
urocitellus_parryii ENSUPAG00010002162
spermophilus_dauricus ENSSDAG00000015875
spermophilus_dauricus ENSSDAG00000021593
spermophilus_dauricus ENSSDAG00000024282
marmota_marmota_marmota ENSMMMG00000018281
castor_canadensis ENSCCNG00000013332
microtus_ochrogaster ENSMOCG00000016703
peromyscus_maniculatus_bairdii ENSPEMG00000021871
cricetulus_griseus_chok1gshd ENSCGRG00001006419
cricetulus_griseus_crigri-picr ENSCGRG00015022937
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021813
mus_spicilegus ENSMSIG00000012210
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020907
mus_musculus ENSMUSG00000045331
mus_pahari MGP_PahariEiJ_G0016611
rattus_norvegicus ENSRNOG00000050096
meriones_unguiculatus ENSMUGG00000006055
nannospalax_galili ENSNGAG00000017732
jaculus_jaculus ENSJJAG00000010206
loxodonta_africana ENSLAFG00000029969
