ursus_americanus ENSUAMG00000000177
ursus_maritimus ENSUMAG00000011448
ailuropoda_melanoleuca ENSAMEG00000019953
mustela_putorius_furo ENSMPUG00000019441
neovison_vison ENSNVIG00000000616
vulpes_vulpes ENSVVUG00000012789
canis_lupus_dingo ENSCAFG00020005312
panthera_pardus ENSPPRG00000011327
panthera_tigris_altaica ENSPTIG00000001243
equus_caballus ENSECAG00000035665
equus_caballus ENSECAG00000037015
equus_asinus_asinus ENSEASG00005001728
myotis_lucifugus ENSMLUG00000022233
myotis_lucifugus ENSMLUG00000022321
pteropus_vampyrus ENSPVAG00000001484
ovis_aries ENSOARG00000016525
capra_hircus ENSCHIG00000020582
bos_taurus ENSBTAG00000046635
bos_mutus ENSBMUG00000018827
bison_bison_bison ENSBBBG00000022299
sus_scrofa ENSSSCG00000012169
tursiops_truncatus ENSTTRG00000016514
vicugna_pacos ENSVPAG00000007860
cavia_porcellus ENSCPOG00000013960
chinchilla_lanigera ENSCLAG00000017424
fukomys_damarensis ENSFDAG00000020660
ictidomys_tridecemlineatus ENSSTOG00000027719
spermophilus_dauricus ENSSDAG00000008765
urocitellus_parryii ENSUPAG00010022303
marmota_marmota_marmota ENSMMMG00000008274
oryctolagus_cuniculus ENSOCUG00000004437
prolemur_simus ENSPSMG00000001869
otolemur_garnettii ENSOGAG00000026282
tupaia_belangeri ENSTBEG00000014650
tupaia_belangeri ENSTBEG00000001513
fukomys_damarensis ENSFDAG00000018215
erinaceus_europaeus ENSEEUG00000008838
loxodonta_africana ENSLAFG00000011531
