manacus_vitellinus ENSMVIG00005017550
lepidothrix_coronata ENSLCOG00000011098
melopsittacus_undulatus ENSMUNG00000011985
calidris_pygmaea ENSCPGG00000003821
coturnix_japonica ENSCJPG00005008780
numida_meleagris ENSNMEG00000017911
anser_brachyrhynchus ENSABRG00000001425
anas_platyrhynchos_platyrhynchos ENSAPLG00000018464
apteryx_haastii ENSAHAG00000002648
apteryx_owenii ENSAOWG00000004777
apteryx_rowi ENSARWG00000001482
dromaius_novaehollandiae ENSDNVG00000002873
nothoprocta_perdicaria ENSNPEG00000003096
cyanistes_caeruleus ENSCCEG00000019142
parus_major ENSPMJG00000006326
lonchura_striata_domestica ENSLSDG00000008936
serinus_canaria ENSSCAG00000001607
junco_hyemalis ENSJHYG00000006910
zonotrichia_albicollis ENSZALG00000014020
crocodylus_porosus ENSCPRG00005007099
chelonoidis_abingdonii ENSCABG00000012280
