prolemur_simus ENSPSMG00000004666
propithecus_coquereli ENSPCOG00000020553
otolemur_garnettii ENSOGAG00000004247
pan_troglodytes ENSPTRG00000013078
gorilla_gorilla ENSGGOG00000012246
homo_sapiens ENSG00000177483
nomascus_leucogenys ENSNLEG00000011111
macaca_mulatta ENSMMUG00000008908
macaca_fascicularis ENSMFAG00000002416
macaca_nemestrina ENSMNEG00000042905
theropithecus_gelada ENSTGEG00000023309
papio_anubis ENSPANG00000010319
cercocebus_atys ENSCATG00000020323
mandrillus_leucophaeus ENSMLEG00000007850
chlorocebus_sabaeus ENSCSAG00000006098
colobus_angolensis_palliatus ENSCANG00000035904
piliocolobus_tephrosceles ENSPTEG00000036284
rhinopithecus_bieti ENSRBIG00000027703
rhinopithecus_roxellana ENSRROG00000042165
cebus_capucinus ENSCCAG00000032705
saimiri_boliviensis_boliviensis ENSSBOG00000020250
callithrix_jacchus ENSCJAG00000000484
aotus_nancymaae ENSANAG00000037356
tupaia_belangeri ENSTBEG00000001579
chinchilla_lanigera ENSCLAG00000002043
octodon_degus ENSODEG00000011354
cavia_porcellus ENSCPOG00000023598
heterocephalus_glaber_female ENSHGLG00000004621
fukomys_damarensis ENSFDAG00000007603
urocitellus_parryii ENSUPAG00010021290
ictidomys_tridecemlineatus ENSSTOG00000008768
spermophilus_dauricus ENSSDAG00000021566
marmota_marmota_marmota ENSMMMG00000004797
mus_spicilegus ENSMSIG00000025367
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015219
mus_musculus ENSMUSG00000070732
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014415
mus_pahari MGP_PahariEiJ_G0027651
rattus_norvegicus ENSRNOG00000024878
meriones_unguiculatus ENSMUGG00000013481
cricetulus_griseus_crigri-picr ENSCGRG00015014367
cricetulus_griseus_crigri ENSCGRG00000010141
cricetulus_griseus_chok1gshd ENSCGRG00001001293
mesocricetus_auratus ENSMAUG00000022041
microtus_ochrogaster ENSMOCG00000001523
peromyscus_maniculatus_bairdii ENSPEMG00000022866
nannospalax_galili ENSNGAG00000017208
castor_canadensis ENSCCNG00000016684
oryctolagus_cuniculus ENSOCUG00000016715
ochotona_princeps ENSOPRG00000008841
myotis_lucifugus ENSMLUG00000002010
pteropus_vampyrus ENSPVAG00000004124
ursus_maritimus ENSUMAG00000011930
ailuropoda_melanoleuca ENSAMEG00000008500
mustela_putorius_furo ENSMPUG00000000098
neovison_vison ENSNVIG00000021848
canis_lupus_familiaris ENSCAFG00000012357
canis_lupus_dingo ENSCAFG00020024622
vulpes_vulpes ENSVVUG00000001496
panthera_pardus ENSPPRG00000007089
panthera_tigris_altaica ENSPTIG00000014771
felis_catus ENSFCAG00000024366
equus_caballus ENSECAG00000004979
equus_asinus_asinus ENSEASG00005007379
bos_taurus ENSBTAG00000010676
bos_mutus ENSBMUG00000017077
bison_bison_bison ENSBBBG00000021787
capra_hircus ENSCHIG00000004353
ovis_aries ENSOARG00000019000
tursiops_truncatus ENSTTRG00000006183
vicugna_pacos ENSVPAG00000007678
sus_scrofa ENSSSCG00000016332
sorex_araneus ENSSARG00000010691
loxodonta_africana ENSLAFG00000004044
procavia_capensis ENSPCAG00000011214
echinops_telfairi ENSETEG00000000921
dasypus_novemcinctus ENSDNOG00000017887
choloepus_hoffmanni ENSCHOG00000001556
phascolarctos_cinereus ENSPCIG00000021573
notamacropus_eugenii ENSMEUG00000011805
sarcophilus_harrisii ENSSHAG00000007582
monodelphis_domestica ENSMODG00000008910
chrysemys_picta_bellii ENSCPBG00000010800
