pogona_vitticeps ENSPVIG00000000036
anolis_carolinensis ENSACAG00000004723
notechis_scutatus ENSNSUG00000006355
salvator_merianae ENSSMRG00000003391
sphenodon_punctatus ENSSPUG00000002552
apteryx_haastii ENSAHAG00000019462
apteryx_owenii ENSAOWG00000018107
apteryx_rowi ENSARWG00000016664
dromaius_novaehollandiae ENSDNVG00000004789
nothoprocta_perdicaria ENSNPEG00000006262
calidris_pygmaea ENSCPGG00000003756
calidris_pugnax ENSCPUG00000018864
taeniopygia_guttata ENSTGUG00000010388
lonchura_striata ENSLSDG00000002273
serinus_canaria ENSSCAG00000015348
junco_hyemalis ENSJHYG00000018332
cyanistes_caeruleus ENSCCEG00000007620
parus_major ENSPMJG00000005956
ficedula_albicollis ENSFALG00000013612
lepidothrix_coronata ENSLCOG00000014123
manacus_vitellinus ENSMVIG00005013302
melopsittacus_undulatus ENSMUNG00000015676
anser_brachyrhynchus ENSABRG00000009469
anas_platyrhynchos ENSAPLG00000002970
meleagris_gallopavo ENSMGAG00000010109
coturnix_japonica ENSCJPG00005020541
gallus_gallus ENSGALG00000008349
numida_meleagris ENSNMEG00000007552
crocodylus_porosus ENSCPRG00005012738
gopherus_agassizii ENSGAGG00000024397
chelonoidis_abingdonii ENSCABG00000017807
chrysemys_picta ENSCPBG00000014818
pelodiscus_sinensis ENSPSIG00000006716
vombatus_ursinus ENSVURG00010009459
phascolarctos_cinereus ENSPCIG00000017159
notamacropus_eugenii ENSMEUG00000010488
sarcophilus_harrisii ENSSHAG00000008779
monodelphis_domestica ENSMODG00000004651
ursus_americanus ENSUAMG00000024182
ursus_maritimus ENSUMAG00000019308
ailuropoda_melanoleuca ENSAMEG00000012319
neovison_vison ENSNVIG00000015953
mustela_putorius ENSMPUG00000017058
canis_lupus ENSCAFG00020009259
canis_lupus ENSCAFG00000005570
vulpes_vulpes ENSVVUG00000025343
panthera_pardus ENSPPRG00000002208
panthera_tigris ENSPTIG00000012417
felis_catus ENSFCAG00000014723
pteropus_vampyrus ENSPVAG00000000229
pan_paniscus ENSPPAG00000034040
pan_troglodytes ENSPTRG00000014579
homo_sapiens ENSG00000071282
gorilla_gorilla ENSGGOG00000013915
pongo_abelii ENSPPYG00000029530
nomascus_leucogenys ENSNLEG00000003766
macaca_fascicularis ENSMFAG00000033976
macaca_mulatta ENSMMUG00000001814
cercocebus_atys ENSCATG00000021322
macaca_nemestrina ENSMNEG00000039664
mandrillus_leucophaeus ENSMLEG00000030862
theropithecus_gelada ENSTGEG00000021551
papio_anubis ENSPANG00000001206
chlorocebus_sabaeus ENSCSAG00000010812
colobus_angolensis ENSCANG00000032727
piliocolobus_tephrosceles ENSPTEG00000033250
rhinopithecus_bieti ENSRBIG00000017585
rhinopithecus_roxellana ENSRROG00000020720
callithrix_jacchus ENSCJAG00000015896
saimiri_boliviensis ENSSBOG00000022801
cebus_capucinus ENSCCAG00000020862
aotus_nancymaae ENSANAG00000034565
carlito_syrichta ENSTSYG00000001085
prolemur_simus ENSPSMG00000000365
propithecus_coquereli ENSPCOG00000024274
otolemur_garnettii ENSOGAG00000009965
cricetulus_griseus ENSCGRG00001009463
cricetulus_griseus ENSCGRG00015019370
cricetulus_griseus ENSCGRG00000005445
mesocricetus_auratus ENSMAUG00000014020
microtus_ochrogaster ENSMOCG00000013328
peromyscus_maniculatus ENSPEMG00000013048
mus_spicilegus ENSMSIG00000027786
mus_spretus MGP_SPRETEiJ_G0029736
mus_musculus ENSMUSG00000057604
mus_caroli MGP_CAROLIEiJ_G0028708
mus_pahari MGP_PahariEiJ_G0022459
rattus_norvegicus ENSRNOG00000005690
meriones_unguiculatus ENSMUGG00000001685
nannospalax_galili ENSNGAG00000005048
jaculus_jaculus ENSJJAG00000016825
castor_canadensis ENSCCNG00000020287
chinchilla_lanigera ENSCLAG00000001274
octodon_degus ENSODEG00000005248
cavia_porcellus ENSCPOG00000032663
cavia_aperea ENSCAPG00000009879
heterocephalus_glaber ENSHGLG00000006418
heterocephalus_glaber ENSHGLG00100016369
fukomys_damarensis ENSFDAG00000011753
spermophilus_dauricus ENSSDAG00000001568
urocitellus_parryii ENSUPAG00010022849
ictidomys_tridecemlineatus ENSSTOG00000013558
marmota_marmota ENSMMMG00000008370
tupaia_belangeri ENSTBEG00000000505
dasypus_novemcinctus ENSDNOG00000000622
bos_indicus ENSBIXG00005005060
bos_indicus ENSBIXG00000008141
bos_taurus ENSBTAG00000005431
bos_mutus ENSBMUG00000001354
bison_bison ENSBBBG00000007078
ovis_aries ENSOARG00000007637
capra_hircus ENSCHIG00000012706
tursiops_truncatus ENSTTRG00000006023
sus_scrofa ENSSSCG00000011538
vicugna_pacos ENSVPAG00000004278
equus_asinus ENSEASG00005013302
equus_caballus ENSECAG00000010791
oryctolagus_cuniculus ENSOCUG00000010136
ochotona_princeps ENSOPRG00000003445
microcebus_murinus ENSMICG00000000396
dipodomys_ordii ENSDORG00000003932
myotis_lucifugus ENSMLUG00000016476
choloepus_hoffmanni ENSCHOG00000008726
loxodonta_africana ENSLAFG00000015653
echinops_telfairi ENSETEG00000011189
ornithorhynchus_anatinus ENSOANG00000011549
latimeria_chalumnae ENSLACG00000018161
callorhinchus_milii ENSCMIG00000004451
erpetoichthys_calabaricus ENSECRG00000018390
scleropages_formosus ENSSFOG00015020945
paramormyrops_kingsleyae ENSPKIG00000010590
astyanax_mexicanus ENSAMXG00005012652
astyanax_mexicanus ENSAMXG00000004086
pygocentrus_nattereri ENSPNAG00000029733
ictalurus_punctatus ENSIPUG00000007760
electrophorus_electricus ENSEEEG00000010240
danio_rerio ENSDARG00000002002
clupea_harengus ENSCHAG00000003423
denticeps_clupeoides ENSDCDG00000019397
hucho_hucho ENSHHUG00000013420
hucho_hucho ENSHHUG00000005142
esox_lucius ENSELUG00000001070
parambassis_ranga ENSPRNG00000024756
scophthalmus_maximus ENSSMAG00000003367
anabas_testudineus ENSATEG00000002980
tetraodon_nigroviridis ENSTNIG00000017495
takifugu_rubripes ENSTRUG00000005704
gasterosteus_aculeatus ENSGACG00000003930
larimichthys_crocea ENSLCRG00005007523
mastacembelus_armatus ENSMAMG00000014459
seriola_dumerili ENSSDUG00000020261
seriola_lalandi ENSSLDG00000019758
lates_calcarifer ENSLCAG00010000691
poecilia_reticulata ENSPREG00000022762
poecilia_formosa ENSPFOG00000011850
gambusia_affinis ENSGAFG00000014164
xiphophorus_maculatus ENSXMAG00000000309
fundulus_heteroclitus ENSFHEG00000006118
kryptolebias_marmoratus ENSKMAG00000013944
oryzias_latipes ENSORLG00020022043
oryzias_latipes ENSORLG00000003170
oryzias_latipes ENSORLG00015018895
oryzias_melastigma ENSOMEG00000003298
amphiprion_percula ENSAPEG00000022134
amphiprion_ocellaris ENSAOCG00000024206
acanthochromis_polyacanthus ENSAPOG00000013589
stegastes_partitus ENSSPAG00000003464
gouania_willdenowi ENSGWIG00000021853
cynoglossus_semilaevis ENSCSEG00000018560
cynoglossus_semilaevis ENSCSEG00000006469
maylandia_zebra ENSMZEG00005016837
astatotilapia_calliptera ENSACLG00000006217
pundamilia_nyererei ENSPNYG00000022464
haplochromis_burtoni ENSHBUG00000014434
oreochromis_niloticus ENSONIG00000000408
neolamprologus_brichardi ENSNBRG00000013672
amphilophus_citrinellus ENSACIG00000009734
monopterus_albus ENSMALG00000022649
betta_splendens ENSBSLG00000003244
cottoperca_gobio ENSCGOG00000010564
labrus_bergylta ENSLBEG00000026729
mola_mola ENSMMOG00000013633
acanthochromis_polyacanthus ENSAPOG00000015695
acanthochromis_polyacanthus ENSAPOG00000015662
poecilia_mexicana ENSPMEG00000007217
poecilia_latipinna ENSPLAG00000003006
xiphophorus_couchianus ENSXCOG00000017446
cyprinodon_variegatus ENSCVAG00000019477
hippocampus_comes ENSHCOG00000013716
hippocampus_comes ENSHCOG00000019733
periophthalmus_magnuspinnatus ENSPMGG00000006725
gadus_morhua ENSGMOG00000016528
lepisosteus_oculatus ENSLOCG00000013380
xenopus_tropicalis ENSXETG00000019128
eptatretus_burgeri ENSEBUG00000006351
