marmota_marmota_marmota ENSMMMG00000003781
urocitellus_parryii ENSUPAG00010002381
spermophilus_dauricus ENSSDAG00000023207
castor_canadensis ENSCCNG00000028160
cricetulus_griseus_crigri-picr ENSCGRG00015025794
cricetulus_griseus_crigri ENSCGRG00000019292
cricetulus_griseus_chok1gshd ENSCGRG00001011323
mesocricetus_auratus ENSMAUG00000022250
nannospalax_galili ENSNGAG00000014482
meriones_unguiculatus ENSMUGG00000015789
theropithecus_gelada ENSTGEG00000014945
nomascus_leucogenys ENSNLEG00000030761
aotus_nancymaae ENSANAG00000009167
papio_anubis ENSPANG00000035489
piliocolobus_tephrosceles ENSPTEG00000025988
pan_paniscus ENSPPAG00000032123
nomascus_leucogenys ENSNLEG00000029008
gorilla_gorilla ENSGGOG00000041250
piliocolobus_tephrosceles ENSPTEG00000020415
callithrix_jacchus ENSCJAG00000042547
prolemur_simus ENSPSMG00000008412
bos_mutus ENSBMUG00000019453
bison_bison_bison ENSBBBG00000009140
