equus_asinus_asinus ENSEASG00005016438
equus_caballus ENSECAG00000001777
myotis_lucifugus ENSMLUG00000004397
ursus_americanus ENSUAMG00000007647
ursus_maritimus ENSUMAG00000021771
ailuropoda_melanoleuca ENSAMEG00000006271
canis_lupus_dingo ENSCAFG00020011951
canis_lupus_familiaris ENSCAFG00000024709
vulpes_vulpes ENSVVUG00000002045
panthera_tigris_altaica ENSPTIG00000017948
panthera_pardus ENSPPRG00000022162
felis_catus ENSFCAG00000046318
erinaceus_europaeus ENSEEUG00000013730
pteropus_vampyrus ENSPVAG00000011831
bos_taurus ENSBTAG00000051632
bos_mutus ENSBMUG00000002082
bison_bison_bison ENSBBBG00000025029
ovis_aries ENSOARG00000009083
tursiops_truncatus ENSTTRG00000011977
sus_scrofa ENSSSCG00000032865
ochotona_princeps ENSOPRG00000008668
oryctolagus_cuniculus ENSOCUG00000006244
castor_canadensis ENSCCNG00000007202
dipodomys_ordii ENSDORG00000011750
mus_musculus ENSMUSG00000054763
mus_spicilegus ENSMSIG00000014044
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020291
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019399
mus_pahari MGP_PahariEiJ_G0030417
rattus_norvegicus ENSRNOG00000038757
meriones_unguiculatus ENSMUGG00000000663
cricetulus_griseus_crigri ENSCGRG00000015846
cricetulus_griseus_crigri-picr ENSCGRG00015010508
cricetulus_griseus_chok1gshd ENSCGRG00001001285
mesocricetus_auratus ENSMAUG00000008704
microtus_ochrogaster ENSMOCG00000013825
peromyscus_maniculatus_bairdii ENSPEMG00000031431
nannospalax_galili ENSNGAG00000018261
urocitellus_parryii ENSUPAG00010023921
marmota_marmota_marmota ENSMMMG00000012239
spermophilus_dauricus ENSSDAG00000012329
chinchilla_lanigera ENSCLAG00000016302
cavia_porcellus ENSCPOG00000000541
octodon_degus ENSODEG00000008049
heterocephalus_glaber_male ENSHGLG00100006036
heterocephalus_glaber_female ENSHGLG00000018411
fukomys_damarensis ENSFDAG00000017538
homo_sapiens ENSG00000205884
pan_troglodytes ENSPTRG00000031029
gorilla_gorilla ENSGGOG00000022211
pongo_abelii ENSPPYG00000018344
nomascus_leucogenys ENSNLEG00000015090
rhinopithecus_bieti ENSRBIG00000028611
rhinopithecus_roxellana ENSRROG00000045356
colobus_angolensis_palliatus ENSCANG00000028777
piliocolobus_tephrosceles ENSPTEG00000032007
theropithecus_gelada ENSTGEG00000015056
mandrillus_leucophaeus ENSMLEG00000042720
papio_anubis ENSPANG00000006558
chlorocebus_sabaeus ENSCSAG00000016952
macaca_fascicularis ENSMFAG00000000191
macaca_mulatta ENSMMUG00000029034
macaca_nemestrina ENSMNEG00000021425
cercocebus_atys ENSCATG00000042317
saimiri_boliviensis_boliviensis ENSSBOG00000028210
cebus_capucinus ENSCCAG00000037272
callithrix_jacchus ENSCJAG00000003953
carlito_syrichta ENSTSYG00000036082
propithecus_coquereli ENSPCOG00000017272
microcebus_murinus ENSMICG00000041799
prolemur_simus ENSPSMG00000011987
tupaia_belangeri ENSTBEG00000017624
procavia_capensis ENSPCAG00000003427
loxodonta_africana ENSLAFG00000005110
echinops_telfairi ENSETEG00000001998
choloepus_hoffmanni ENSCHOG00000006755
dasypus_novemcinctus ENSDNOG00000033606
