xenopus_tropicalis ENSXETG00000003419
latimeria_chalumnae ENSLACG00000005622
erpetoichthys_calabaricus ENSECRG00000002936
callorhinchus_milii ENSCMIG00000015128
anolis_carolinensis ENSACAG00000017605
notechis_scutatus ENSNSUG00000010367
salvator_merianae ENSSMRG00000019073
sphenodon_punctatus ENSSPUG00000014308
crocodylus_porosus ENSCPRG00005011156
chelonoidis_abingdonii ENSCABG00000000393
pelodiscus_sinensis ENSPSIG00000017626
chrysemys_picta ENSCPBG00000024854
gopherus_agassizii ENSGAGG00000013598
serinus_canaria ENSSCAG00000016777
apteryx_rowi ENSARWG00000013147
pogona_vitticeps ENSPVIG00000003758
anas_platyrhynchos ENSAPLG00000004950
anser_brachyrhynchus ENSABRG00000009721
gallus_gallus ENSGALG00000031893
coturnix_japonica ENSCJPG00005006219
meleagris_gallopavo ENSMGAG00000012244
numida_meleagris ENSNMEG00000019985
lonchura_striata ENSLSDG00000002404
taeniopygia_guttata ENSTGUG00000001854
parus_major ENSPMJG00000018050
cyanistes_caeruleus ENSCCEG00000016753
ficedula_albicollis ENSFALG00000005170
zonotrichia_albicollis ENSZALG00000014628
junco_hyemalis ENSJHYG00000008300
lepidothrix_coronata ENSLCOG00000011615
manacus_vitellinus ENSMVIG00005010447
melopsittacus_undulatus ENSMUNG00000008787
calidris_pugnax ENSCPUG00000006130
calidris_pygmaea ENSCPGG00000005693
apteryx_owenii ENSAOWG00000008606
apteryx_haastii ENSAHAG00000001379
dromaius_novaehollandiae ENSDNVG00000008005
nothoprocta_perdicaria ENSNPEG00000004809
vicugna_pacos ENSVPAG00000002810
sus_scrofa ENSSSCG00000048439
tursiops_truncatus ENSTTRG00000010652
capra_hircus ENSCHIG00000013549
ovis_aries ENSOARG00000017660
bos_indicus ENSBIXG00000020096
bos_indicus ENSBIXG00005020138
bos_taurus ENSBTAG00000006661
bos_mutus ENSBMUG00000004423
bison_bison ENSBBBG00000016078
equus_asinus ENSEASG00005017614
equus_caballus ENSECAG00000017044
sorex_araneus ENSSARG00000013873
echinops_telfairi ENSETEG00000015742
cricetulus_griseus ENSCGRG00000002082
cricetulus_griseus ENSCGRG00001012449
cricetulus_griseus ENSCGRG00001012283
cricetulus_griseus ENSCGRG00000017795
mesocricetus_auratus ENSMAUG00000008652
peromyscus_maniculatus ENSPEMG00000026406
microtus_ochrogaster ENSMOCG00000000189
mus_spicilegus ENSMSIG00000002581
mus_spretus MGP_SPRETEiJ_G0019103
mus_musculus ENSMUSG00000008859
mus_caroli MGP_CAROLIEiJ_G0018247
mus_pahari MGP_PahariEiJ_G0019297
rattus_norvegicus ENSRNOG00000013454
meriones_unguiculatus ENSMUGG00000015496
nannospalax_galili ENSNGAG00000020171
heterocephalus_glaber ENSHGLG00000007794
