haplochromis_burtoni ENSHBUG00000013861
pundamilia_nyererei ENSPNYG00000015001
astatotilapia_calliptera ENSACLG00000008473
maylandia_zebra ENSMZEG00005022135
amphilophus_citrinellus ENSACIG00000019048
maylandia_zebra ENSMZEG00005026682
pundamilia_nyererei ENSPNYG00000005073
pundamilia_nyererei ENSPNYG00000005153
amphilophus_citrinellus ENSACIG00000018015
amphilophus_citrinellus ENSACIG00000000291
astatotilapia_calliptera ENSACLG00000008423
cyprinodon_variegatus ENSCVAG00000002792
gambusia_affinis ENSGAFG00000000063
