spermophilus_dauricus ENSSDAG00000004292
urocitellus_parryii ENSUPAG00010023834
marmota_marmota_marmota ENSMMMG00000001194
mus_spicilegus ENSMSIG00000007994
mus_musculus ENSMUSG00000070313
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033096
mus_pahari MGP_PahariEiJ_G0014834
mus_spicilegus ENSMSIG00000017716
mus_musculus ENSMUSG00000091248
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033095
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031970
rattus_norvegicus ENSRNOG00000049011
meriones_unguiculatus ENSMUGG00000006131
mus_musculus ENSMUSG00000023093
mus_spicilegus ENSMSIG00000017756
mus_spicilegus ENSMSIG00000017743
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033093
mus_musculus ENSMUSG00000090710
rattus_norvegicus ENSRNOG00000043131
rattus_norvegicus ENSRNOG00000045799
rattus_norvegicus ENSRNOG00000056194
rattus_norvegicus ENSRNOG00000047150
rattus_norvegicus ENSRNOG00000050155
rattus_norvegicus ENSRNOG00000046322
rattus_norvegicus ENSRNOG00000048885
meriones_unguiculatus ENSMUGG00000005950
meriones_unguiculatus ENSMUGG00000010958
peromyscus_maniculatus_bairdii ENSPEMG00000026041
peromyscus_maniculatus_bairdii ENSPEMG00000027452
mesocricetus_auratus ENSMAUG00000000339
cricetulus_griseus_crigri ENSCGRG00000004587
cricetulus_griseus_crigri-picr ENSCGRG00015008636
cricetulus_griseus_chok1gshd ENSCGRG00001022197
mus_musculus ENSMUSG00000074448
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033094
mus_spicilegus ENSMSIG00000017736
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031969
cricetulus_griseus_crigri-picr ENSCGRG00015008673
rattus_norvegicus ENSRNOG00000048341
rattus_norvegicus ENSRNOG00000049910
rattus_norvegicus ENSRNOG00000049188
rattus_norvegicus ENSRNOG00000046489
rattus_norvegicus ENSRNOG00000008563
meriones_unguiculatus ENSMUGG00000010950
meriones_unguiculatus ENSMUGG00000005961
peromyscus_maniculatus_bairdii ENSPEMG00000025290
peromyscus_maniculatus_bairdii ENSPEMG00000029541
cricetulus_griseus_crigri-picr ENSCGRG00015008653
oryctolagus_cuniculus ENSOCUG00000027736
felis_catus ENSFCAG00000044664
felis_catus ENSFCAG00000041589
felis_catus ENSFCAG00000039307
panthera_tigris_altaica ENSPTIG00000017397
myotis_lucifugus ENSMLUG00000024265
myotis_lucifugus ENSMLUG00000028898
equus_caballus ENSECAG00000016303
equus_asinus_asinus ENSEASG00005001874
equus_asinus_asinus ENSEASG00005001849
equus_caballus ENSECAG00000016751
equus_asinus_asinus ENSEASG00005001844
equus_asinus_asinus ENSEASG00005001856
equus_caballus ENSECAG00000032286
bos_taurus ENSBTAG00000052794
bos_taurus ENSBTAG00000049445
bison_bison_bison ENSBBBG00000011050
ovis_aries ENSOARG00000011708
capra_hircus ENSCHIG00000018973
sus_scrofa ENSSSCG00000015217
ursus_americanus ENSUAMG00000004476
ursus_maritimus ENSUMAG00000001716
ailuropoda_melanoleuca ENSAMEG00000000155
neovison_vison ENSNVIG00000020113
canis_lupus_dingo ENSCAFG00020010682
canis_lupus_familiaris ENSCAFG00000010638
vulpes_vulpes ENSVVUG00000020200
panthera_tigris_altaica ENSPTIG00000000107
felis_catus ENSFCAG00000044711
panthera_pardus ENSPPRG00000019960
prolemur_simus ENSPSMG00000008568
loxodonta_africana ENSLAFG00000028873
