equus_asinus ENSEASG00005009353
vulpes_vulpes ENSVVUG00000000401
tupaia_belangeri ENSTBEG00000011626
ursus_americanus ENSUAMG00000019592
ursus_maritimus ENSUMAG00000001325
ailuropoda_melanoleuca ENSAMEG00000007487
mustela_putorius ENSMPUG00000014482
neovison_vison ENSNVIG00000002057
canis_lupus ENSCAFG00000001016
panthera_pardus ENSPPRG00000014722
panthera_tigris ENSPTIG00000018240
felis_catus ENSFCAG00000031496
sus_scrofa ENSSSCG00000027613
tursiops_truncatus ENSTTRG00000002208
bos_taurus ENSBTAG00000038849
bos_mutus ENSBMUG00000013055
bos_indicus ENSBIXG00000002339
bos_indicus ENSBIXG00005001117
bison_bison ENSBBBG00000010294
capra_hircus ENSCHIG00000024900
ovis_aries ENSOARG00000008072
vicugna_pacos ENSVPAG00000009395
equus_caballus ENSECAG00000043793
pteropus_vampyrus ENSPVAG00000012331
myotis_lucifugus ENSMLUG00000000131
sorex_araneus ENSSARG00000007237
propithecus_coquereli ENSPCOG00000016139
microcebus_murinus ENSMICG00000007255
prolemur_simus ENSPSMG00000021594
otolemur_garnettii ENSOGAG00000026714
saimiri_boliviensis ENSSBOG00000000089
callithrix_jacchus ENSCJAG00000003835
cebus_capucinus ENSCCAG00000003587
aotus_nancymaae ENSANAG00000034014
pan_troglodytes ENSPTRG00000018567
pan_paniscus ENSPPAG00000030036
homo_sapiens ENSG00000186439
gorilla_gorilla ENSGGOG00000000234
pongo_abelii ENSPPYG00000016982
nomascus_leucogenys ENSNLEG00000013875
papio_anubis ENSPANG00000033731
mandrillus_leucophaeus ENSMLEG00000034398
cercocebus_atys ENSCATG00000035404
theropithecus_gelada ENSTGEG00000006378
macaca_mulatta ENSMMUG00000009725
macaca_fascicularis ENSMFAG00000000095
macaca_nemestrina ENSMNEG00000035322
piliocolobus_tephrosceles ENSPTEG00000011598
colobus_angolensis ENSCANG00000034650
rhinopithecus_bieti ENSRBIG00000010272
rhinopithecus_roxellana ENSRROG00000029843
ictidomys_tridecemlineatus ENSSTOG00000032570
urocitellus_parryii ENSUPAG00010020551
marmota_marmota ENSMMMG00000016246
cricetulus_griseus ENSCGRG00000010680
cricetulus_griseus ENSCGRG00001002075
cricetulus_griseus ENSCGRG00015011406
peromyscus_maniculatus ENSPEMG00000020000
microtus_ochrogaster ENSMOCG00000017486
mus_spretus MGP_SPRETEiJ_G0016029
mus_musculus ENSMUSG00000019787
mus_spicilegus ENSMSIG00000027526
mus_caroli MGP_CAROLIEiJ_G0015220
mus_pahari MGP_PahariEiJ_G0023842
rattus_norvegicus ENSRNOG00000012609
chinchilla_lanigera ENSCLAG00000014066
cavia_porcellus ENSCPOG00000033029
heterocephalus_glaber ENSHGLG00100008446
heterocephalus_glaber ENSHGLG00000001423
fukomys_damarensis ENSFDAG00000008321
castor_canadensis ENSCCNG00000019953
oryctolagus_cuniculus ENSOCUG00000008064
ochotona_princeps ENSOPRG00000012741
carlito_syrichta ENSTSYG00000008411
dasypus_novemcinctus ENSDNOG00000006977
procavia_capensis ENSPCAG00000015356
dipodomys_ordii ENSDORG00000010340
jaculus_jaculus ENSJJAG00000018586
erinaceus_europaeus ENSEEUG00000009180
choloepus_hoffmanni ENSCHOG00000007858
echinops_telfairi ENSETEG00000007193
monodelphis_domestica ENSMODG00000044925
sarcophilus_harrisii ENSSHAG00000012374
phascolarctos_cinereus ENSPCIG00000000443
ornithorhynchus_anatinus ENSOANG00000013791
anolis_carolinensis ENSACAG00000001672
