gadus_morhua ENSGMOG00000011449
esox_lucius ENSELUG00000009659
hippocampus_comes ENSHCOG00000012886
periophthalmus_magnuspinnatus ENSPMGG00000002512
tetraodon_nigroviridis ENSTNIG00000004909
anabas_testudineus ENSATEG00000005075
mastacembelus_armatus ENSMAMG00000019048
monopterus_albus ENSMALG00000009688
gasterosteus_aculeatus ENSGACG00000001534
poecilia_mexicana ENSPMEG00000001457
poecilia_formosa ENSPFOG00000010135
poecilia_latipinna ENSPLAG00000023626
poecilia_reticulata ENSPREG00000001268
xiphophorus_maculatus ENSXMAG00000028515
gambusia_affinis ENSGAFG00000018933
fundulus_heteroclitus ENSFHEG00000008970
cyprinodon_variegatus ENSCVAG00000019628
oryzias_latipes ENSORLG00000006809
oryzias_latipes ENSORLG00020018840
oryzias_latipes ENSORLG00015000939
oryzias_melastigma ENSOMEG00000021433
haplochromis_burtoni ENSHBUG00000015921
maylandia_zebra ENSMZEG00005019771
astatotilapia_calliptera ENSACLG00000003299
astatotilapia_calliptera ENSACLG00000003788
pundamilia_nyererei ENSPNYG00000007295
neolamprologus_brichardi ENSNBRG00000020351
oreochromis_niloticus ENSONIG00000000498
amphilophus_citrinellus ENSACIG00000018490
amphiprion_ocellaris ENSAOCG00000024078
amphiprion_percula ENSAPEG00000001222
acanthochromis_polyacanthus ENSAPOG00000017646
stegastes_partitus ENSSPAG00000020054
mola_mola ENSMMOG00000018020
seriola_lalandi ENSSLDG00000005444
seriola_dumerili ENSSDUG00000006162
cynoglossus_semilaevis ENSCSEG00000014738
anabas_testudineus ENSATEG00000004764
pygocentrus_nattereri ENSPNAG00000019662
astyanax_mexicanus ENSAMXG00000019635
ictalurus_punctatus ENSIPUG00000014218
danio_rerio ENSDARG00000053518
paramormyrops_kingsleyae ENSPKIG00000017608
scleropages_formosus ENSSFOG00015000665
lepisosteus_oculatus ENSLOCG00000004744
phascolarctos_cinereus ENSPCIG00000026692
notamacropus_eugenii ENSMEUG00000012365
sarcophilus_harrisii ENSSHAG00000011658
monodelphis_domestica ENSMODG00000008005
papio_anubis ENSPANG00000018057
theropithecus_gelada ENSTGEG00000020132
macaca_fascicularis ENSMFAG00000028127
macaca_nemestrina ENSMNEG00000035326
macaca_mulatta ENSMMUG00000000887
cercocebus_atys ENSCATG00000029749
mandrillus_leucophaeus ENSMLEG00000037829
chlorocebus_sabaeus ENSCSAG00000014229
rhinopithecus_roxellana ENSRROG00000041512
rhinopithecus_bieti ENSRBIG00000039864
piliocolobus_tephrosceles ENSPTEG00000006289
colobus_angolensis ENSCANG00000035612
pan_troglodytes ENSPTRG00000045798
pan_paniscus ENSPPAG00000043914
homo_sapiens ENSG00000285791
homo_sapiens ENSG00000285655
homo_sapiens ENSG00000147576
gorilla_gorilla ENSGGOG00000000157
pongo_abelii ENSPPYG00000018638
nomascus_leucogenys ENSNLEG00000010666
saimiri_boliviensis ENSSBOG00000020686
callithrix_jacchus ENSCJAG00000004434
cebus_capucinus ENSCCAG00000027712
aotus_nancymaae ENSANAG00000036528
carlito_syrichta ENSTSYG00000008368
propithecus_coquereli ENSPCOG00000028805
microcebus_murinus ENSMICG00000009862
prolemur_simus ENSPSMG00000000270
otolemur_garnettii ENSOGAG00000001086
tupaia_belangeri ENSTBEG00000014759
castor_canadensis ENSCCNG00000023636
dipodomys_ordii ENSDORG00000002938
mus_musculus ENSMUSG00000025911
mus_spicilegus ENSMSIG00000027019
mus_spretus MGP_SPRETEiJ_G0014740
mus_caroli MGP_CAROLIEiJ_G0013937
mus_pahari MGP_PahariEiJ_G0023882
rattus_norvegicus ENSRNOG00000007069
meriones_unguiculatus ENSMUGG00000007755
cricetulus_griseus ENSCGRG00001023501
cricetulus_griseus ENSCGRG00015022125
cricetulus_griseus ENSCGRG00000007711
mesocricetus_auratus ENSMAUG00000003980
microtus_ochrogaster ENSMOCG00000000747
peromyscus_maniculatus ENSPEMG00000010384
nannospalax_galili ENSNGAG00000014388
jaculus_jaculus ENSJJAG00000010295
heterocephalus_glaber ENSHGLG00100015530
heterocephalus_glaber ENSHGLG00000015974
fukomys_damarensis ENSFDAG00000009480
cavia_porcellus ENSCPOG00000000648
cavia_aperea ENSCAPG00000015539
chinchilla_lanigera ENSCLAG00000002542
octodon_degus ENSODEG00000007056
urocitellus_parryii ENSUPAG00010001532
ictidomys_tridecemlineatus ENSSTOG00000008788
marmota_marmota ENSMMMG00000002581
ochotona_princeps ENSOPRG00000005949
oryctolagus_cuniculus ENSOCUG00000008341
myotis_lucifugus ENSMLUG00000003145
