oryzias_latipes_asm223469v1 ENSORLG00015021250
oryzias_latipes ENSORLG00020004835
oryzias_latipes ENSORLG00000025050
poecilia_reticulata ENSPREG00000019654
poecilia_latipinna ENSPLAG00000007495
xiphophorus_maculatus ENSXMAG00000008261
amphiprion_percula ENSAPEG00000005426
amphiprion_ocellaris ENSAOCG00000022901
acanthochromis_polyacanthus ENSAPOG00000018420
stegastes_partitus ENSSPAG00000004175
seriola_dumerili ENSSDUG00000015068
seriola_lalandi_dorsalis ENSSLDG00000001934
monopterus_albus ENSMALG00000012278
periophthalmus_magnuspinnatus ENSPMGG00000004445
eptatretus_burgeri ENSEBUG00000013778
