piliocolobus_tephrosceles ENSPTEG00000026517
theropithecus_gelada ENSTGEG00000028984
prolemur_simus ENSPSMG00000019164
urocitellus_parryii ENSUPAG00010011827
spermophilus_dauricus ENSSDAG00000022185
rattus_norvegicus ENSRNOG00000055981
mus_spicilegus ENSMSIG00000014386
cricetulus_griseus_crigri-picr ENSCGRG00015012755
mesocricetus_auratus ENSMAUG00000002757
peromyscus_maniculatus_bairdii ENSPEMG00000007201
microtus_ochrogaster ENSMOCG00000016399
equus_caballus ENSECAG00000031093
equus_asinus_asinus ENSEASG00005019709
bos_mutus ENSBMUG00000003268
bison_bison_bison ENSBBBG00000010920
bos_taurus ENSBTAG00000052236
capra_hircus ENSCHIG00000024395
felis_catus ENSFCAG00000038094
neovison_vison ENSNVIG00000010894
sus_scrofa ENSSSCG00000032396
vulpes_vulpes ENSVVUG00000001770
chelonoidis_abingdonii ENSCABG00000021253
gopherus_agassizii ENSGAGG00000003447
crocodylus_porosus ENSCPRG00005017655
pogona_vitticeps ENSPVIG00000008985
notechis_scutatus ENSNSUG00000015519
sphenodon_punctatus ENSSPUG00000003393
manacus_vitellinus ENSMVIG00005013876
