xiphophorus_couchianus ENSXCOG00000004726
poecilia_latipinna ENSPLAG00000003117
amphiprion_ocellaris ENSAOCG00000000821
mola_mola ENSMMOG00000009093
periophthalmus_magnuspinnatus ENSPMGG00000009481
scleropages_formosus ENSSFOG00015008831
melopsittacus_undulatus ENSMUNG00000015821
calidris_pygmaea ENSCPGG00000015318
ficedula_albicollis ENSFALG00000007385
zonotrichia_albicollis ENSZALG00000004432
nomascus_leucogenys ENSNLEG00000030912
pan_troglodytes ENSPTRG00000043629
chlorocebus_sabaeus ENSCSAG00000000663
carlito_syrichta ENSTSYG00000027920
castor_canadensis ENSCCNG00000017801
dipodomys_ordii ENSDORG00000025400
cricetulus_griseus_chok1gshd ENSCGRG00001021014
cricetulus_griseus_crigri ENSCGRG00000001322
cricetulus_griseus_crigri-picr ENSCGRG00015015969
peromyscus_maniculatus_bairdii ENSPEMG00000029304
microtus_ochrogaster ENSMOCG00000010714
meriones_unguiculatus ENSMUGG00000004654
nannospalax_galili ENSNGAG00000011582
marmota_marmota_marmota ENSMMMG00000021443
spermophilus_dauricus ENSSDAG00000014586
ursus_maritimus ENSUMAG00000002870
ursus_americanus ENSUAMG00000023751
loxodonta_africana ENSLAFG00000030867
sarcophilus_harrisii ENSSHAG00000001516
manacus_vitellinus ENSMVIG00005010138
acanthochromis_polyacanthus ENSAPOG00000020222
