amphiprion_percula ENSAPEG00000012606
poecilia_latipinna ENSPLAG00000012156
maylandia_zebra ENSMZEG00005015875
pundamilia_nyererei ENSPNYG00000017732
neolamprologus_brichardi ENSNBRG00000007367
kryptolebias_marmoratus ENSKMAG00000009588
cynoglossus_semilaevis ENSCSEG00000016563
gadus_morhua ENSGMOG00000006551
astyanax_mexicanus ENSAMXG00000018332
choloepus_hoffmanni ENSCHOG00000010881
dasypus_novemcinctus ENSDNOG00000045915
procavia_capensis ENSPCAG00000016245
loxodonta_africana ENSLAFG00000017571
echinops_telfairi ENSETEG00000009125
pan_troglodytes ENSPTRG00000004292
gorilla_gorilla ENSGGOG00000003228
homo_sapiens ENSG00000149292
pan_paniscus ENSPPAG00000042509
pongo_abelii ENSPPYG00000003884
nomascus_leucogenys ENSNLEG00000007306
rhinopithecus_roxellana ENSRROG00000045357
rhinopithecus_bieti ENSRBIG00000043217
piliocolobus_tephrosceles ENSPTEG00000025852
colobus_angolensis ENSCANG00000036464
macaca_fascicularis ENSMFAG00000001067
macaca_mulatta ENSMMUG00000014328
macaca_nemestrina ENSMNEG00000032462
theropithecus_gelada ENSTGEG00000019705
papio_anubis ENSPANG00000010676
cercocebus_atys ENSCATG00000036329
mandrillus_leucophaeus ENSMLEG00000038689
chlorocebus_sabaeus ENSCSAG00000002812
cebus_capucinus ENSCCAG00000034913
saimiri_boliviensis ENSSBOG00000028986
callithrix_jacchus ENSCJAG00000012306
aotus_nancymaae ENSANAG00000035548
carlito_syrichta ENSTSYG00000012003
propithecus_coquereli ENSPCOG00000024368
microcebus_murinus ENSMICG00000004006
prolemur_simus ENSPSMG00000022371
otolemur_garnettii ENSOGAG00000006402
chinchilla_lanigera ENSCLAG00000011783
octodon_degus ENSODEG00000000622
cavia_porcellus ENSCPOG00000004685
cavia_aperea ENSCAPG00000008950
heterocephalus_glaber ENSHGLG00000014236
heterocephalus_glaber ENSHGLG00100014131
fukomys_damarensis ENSFDAG00000001311
urocitellus_parryii ENSUPAG00010020896
ictidomys_tridecemlineatus ENSSTOG00000003513
spermophilus_dauricus ENSSDAG00000023110
marmota_marmota ENSMMMG00000023390
castor_canadensis ENSCCNG00000006447
dipodomys_ordii ENSDORG00000013510
mus_spretus MGP_SPRETEiJ_G0033318
mus_musculus ENSMUSG00000040219
mus_spicilegus ENSMSIG00000013591
mus_caroli MGP_CAROLIEiJ_G0032179
mus_pahari MGP_PahariEiJ_G0015047
rattus_norvegicus ENSRNOG00000008595
meriones_unguiculatus ENSMUGG00000022584
meriones_unguiculatus ENSMUGG00000002997
meriones_unguiculatus ENSMUGG00000002966
cricetulus_griseus ENSCGRG00001017552
cricetulus_griseus ENSCGRG00015021316
cricetulus_griseus ENSCGRG00000003529
mesocricetus_auratus ENSMAUG00000013995
microtus_ochrogaster ENSMOCG00000018797
peromyscus_maniculatus ENSPEMG00000011009
nannospalax_galili ENSNGAG00000022155
jaculus_jaculus ENSJJAG00000016572
oryctolagus_cuniculus ENSOCUG00000011625
ochotona_princeps ENSOPRG00000015703
tupaia_belangeri ENSTBEG00000003009
bos_mutus ENSBMUG00000012206
bos_taurus ENSBTAG00000010008
bison_bison ENSBBBG00000011240
capra_hircus ENSCHIG00000006414
ovis_aries ENSOARG00000017307
tursiops_truncatus ENSTTRG00000010956
sus_scrofa ENSSSCG00000015047
vicugna_pacos ENSVPAG00000007275
equus_caballus ENSECAG00000017966
equus_asinus ENSEASG00005006742
pteropus_vampyrus ENSPVAG00000007826
myotis_lucifugus ENSMLUG00000011854
ursus_americanus ENSUAMG00000018048
ursus_maritimus ENSUMAG00000003948
ailuropoda_melanoleuca ENSAMEG00000016494
neovison_vison ENSNVIG00000007116
mustela_putorius ENSMPUG00000003836
canis_lupus ENSCAFG00000013902
canis_lupus ENSCAFG00020005382
vulpes_vulpes ENSVVUG00000016067
panthera_tigris ENSPTIG00000020035
panthera_pardus ENSPPRG00000000560
felis_catus ENSFCAG00000008291
erinaceus_europaeus ENSEEUG00000004523
sorex_araneus ENSSARG00000005049
phascolarctos_cinereus ENSPCIG00000017450
anser_brachyrhynchus ENSABRG00000001546
calidris_pugnax ENSCPUG00000000679
serinus_canaria ENSSCAG00000005843
lonchura_striata ENSLSDG00000006507
zonotrichia_albicollis ENSZALG00000012573
apteryx_owenii ENSAOWG00000001089
crocodylus_porosus ENSCPRG00005006651
chelonoidis_abingdonii ENSCABG00000016091
sphenodon_punctatus ENSSPUG00000009798
