amphiprion_percula ENSAPEG00000002406
stegastes_partitus ENSSPAG00000000464
acanthochromis_polyacanthus ENSAPOG00000008830
parambassis_ranga ENSPRNG00000026444
lates_calcarifer ENSLCAG00010025138
seriola_dumerili ENSSDUG00000015835
scophthalmus_maximus ENSSMAG00000009519
anabas_testudineus ENSATEG00000020272
periophthalmus_magnuspinnatus ENSPMGG00000008808
cottoperca_gobio ENSCGOG00000005763
periophthalmus_magnuspinnatus ENSPMGG00000013147
maylandia_zebra ENSMZEG00005022878
astatotilapia_calliptera ENSACLG00000022264
pundamilia_nyererei ENSPNYG00000024246
haplochromis_burtoni ENSHBUG00000005858
neolamprologus_brichardi ENSNBRG00000008091
amphilophus_citrinellus ENSACIG00000017640
amphiprion_ocellaris ENSAOCG00000024384
gouania_willdenowi ENSGWIG00000017257
larimichthys_crocea ENSLCRG00005008655
takifugu_rubripes ENSTRUG00000025530
cottoperca_gobio ENSCGOG00000015504
monopterus_albus ENSMALG00000020747
oryzias_melastigma ENSOMEG00000021258
labrus_bergylta ENSLBEG00000014842
seriola_lalandi ENSSLDG00000005313
