anser_brachyrhynchus ENSABRG00000007418
anas_platyrhynchos ENSAPLG00000014027
gallus_gallus ENSGALG00000005120
coturnix_japonica ENSCJPG00005012884
meleagris_gallopavo ENSMGAG00000005381
numida_meleagris ENSNMEG00000014242
calidris_pygmaea ENSCPGG00000005073
calidris_pugnax ENSCPUG00000005990
lepidothrix_coronata ENSLCOG00000003501
manacus_vitellinus ENSMVIG00005019439
lonchura_striata ENSLSDG00000015685
taeniopygia_guttata ENSTGUG00000003758
serinus_canaria ENSSCAG00000010640
junco_hyemalis ENSJHYG00000003455
zonotrichia_albicollis ENSZALG00000017039
parus_major ENSPMJG00000004088
cyanistes_caeruleus ENSCCEG00000024403
ficedula_albicollis ENSFALG00000009172
melopsittacus_undulatus ENSMUNG00000011689
apteryx_haastii ENSAHAG00000015129
apteryx_owenii ENSAOWG00000014855
apteryx_rowi ENSARWG00000005547
dromaius_novaehollandiae ENSDNVG00000003103
nothoprocta_perdicaria ENSNPEG00000005904
crocodylus_porosus ENSCPRG00005019153
anolis_carolinensis ENSACAG00000012595
pogona_vitticeps ENSPVIG00000022426
notechis_scutatus ENSNSUG00000020149
salvator_merianae ENSSMRG00000019596
sphenodon_punctatus ENSSPUG00000000601
gopherus_agassizii ENSGAGG00000004687
chelonoidis_abingdonii ENSCABG00000021742
chrysemys_picta ENSCPBG00000019761
pelodiscus_sinensis ENSPSIG00000015373
taeniopygia_guttata ENSTGUG00000016846
phascolarctos_cinereus ENSPCIG00000004695
vombatus_ursinus ENSVURG00010013331
notamacropus_eugenii ENSMEUG00000008119
sarcophilus_harrisii ENSSHAG00000007657
ornithorhynchus_anatinus ENSOANG00000004659
prolemur_simus ENSPSMG00000004753
propithecus_coquereli ENSPCOG00000020624
microcebus_murinus ENSMICG00000013258
otolemur_garnettii ENSOGAG00000007260
pan_troglodytes ENSPTRG00000014642
pan_paniscus ENSPPAG00000015671
homo_sapiens ENSG00000163520
gorilla_gorilla ENSGGOG00000011561
pongo_abelii ENSPPYG00000013396
nomascus_leucogenys ENSNLEG00000004881
mandrillus_leucophaeus ENSMLEG00000040866
cercocebus_atys ENSCATG00000038061
papio_anubis ENSPANG00000007694
theropithecus_gelada ENSTGEG00000014500
chlorocebus_sabaeus ENSCSAG00000009449
macaca_fascicularis ENSMFAG00000003835
macaca_nemestrina ENSMNEG00000035537
macaca_mulatta ENSMMUG00000017659
piliocolobus_tephrosceles ENSPTEG00000012013
colobus_angolensis ENSCANG00000040839
rhinopithecus_bieti ENSRBIG00000037929
rhinopithecus_roxellana ENSRROG00000036171
cebus_capucinus ENSCCAG00000020396
saimiri_boliviensis ENSSBOG00000033203
callithrix_jacchus ENSCJAG00000016873
aotus_nancymaae ENSANAG00000027135
tupaia_belangeri ENSTBEG00000017270
capra_hircus ENSCHIG00000017980
castor_canadensis ENSCCNG00000027182
dipodomys_ordii ENSDORG00000009692
mus_spicilegus ENSMSIG00000008879
mus_spretus MGP_SPRETEiJ_G0029676
mus_musculus ENSMUSG00000064080
mus_caroli MGP_CAROLIEiJ_G0028651
mus_pahari MGP_PahariEiJ_G0022397
rattus_norvegicus ENSRNOG00000007338
meriones_unguiculatus ENSMUGG00000018793
peromyscus_maniculatus ENSPEMG00000000066
microtus_ochrogaster ENSMOCG00000009900
cricetulus_griseus ENSCGRG00000013501
cricetulus_griseus ENSCGRG00015013705
cricetulus_griseus ENSCGRG00001005743
mesocricetus_auratus ENSMAUG00000021684
nannospalax_galili ENSNGAG00000016556
jaculus_jaculus ENSJJAG00000014814
chinchilla_lanigera ENSCLAG00000011332
octodon_degus ENSODEG00000000170
cavia_porcellus ENSCPOG00000006125
cavia_aperea ENSCAPG00000014772
heterocephalus_glaber ENSHGLG00000007070
heterocephalus_glaber ENSHGLG00100009238
fukomys_damarensis ENSFDAG00000020529
ictidomys_tridecemlineatus ENSSTOG00000030223
urocitellus_parryii ENSUPAG00010009402
oryctolagus_cuniculus ENSOCUG00000005900
ochotona_princeps ENSOPRG00000010380
ovis_aries ENSOARG00000001587
echinops_telfairi ENSETEG00000005600
ursus_americanus ENSUAMG00000008391
ursus_maritimus ENSUMAG00000015872
ailuropoda_melanoleuca ENSAMEG00000009506
neovison_vison ENSNVIG00000020015
mustela_putorius ENSMPUG00000017267
canis_lupus ENSCAFG00000004406
canis_lupus ENSCAFG00020005625
vulpes_vulpes ENSVVUG00000018166
panthera_pardus ENSPPRG00000012713
panthera_tigris ENSPTIG00000018231
felis_catus ENSFCAG00000007507
equus_caballus ENSECAG00000008859
equus_asinus ENSEASG00005015453
myotis_lucifugus ENSMLUG00000007277
pteropus_vampyrus ENSPVAG00000005555
bos_indicus ENSBIXG00005028202
bos_indicus ENSBIXG00000009152
bos_taurus ENSBTAG00000004014
bos_mutus ENSBMUG00000016869
bison_bison ENSBBBG00000006978
ovis_aries ENSOARG00000001554
tursiops_truncatus ENSTTRG00000011191
sus_scrofa ENSSSCG00000011609
erinaceus_europaeus ENSEEUG00000003815
loxodonta_africana ENSLAFG00000013555
procavia_capensis ENSPCAG00000011224
dasypus_novemcinctus ENSDNOG00000040368
sorex_araneus ENSSARG00000001479
astyanax_mexicanus ENSAMXG00000036489
hucho_hucho ENSHHUG00000016896
xenopus_tropicalis ENSXETG00000001120
latimeria_chalumnae ENSLACG00000010994
larimichthys_crocea ENSLCRG00005019868
mola_mola ENSMMOG00000009959
labrus_bergylta ENSLBEG00000008152
cottoperca_gobio ENSCGOG00000002986
monopterus_albus ENSMALG00000004962
mastacembelus_armatus ENSMAMG00000023589
anabas_testudineus ENSATEG00000004343
betta_splendens ENSBSLG00000003286
seriola_dumerili ENSSDUG00000009256
seriola_lalandi ENSSLDG00000016481
scophthalmus_maximus ENSSMAG00000002007
lates_calcarifer ENSLCAG00010008817
poecilia_reticulata ENSPREG00000020646
xiphophorus_couchianus ENSXCOG00000009658
xiphophorus_maculatus ENSXMAG00000007500
gambusia_affinis ENSGAFG00000007688
poecilia_mexicana ENSPMEG00000003656
poecilia_latipinna ENSPLAG00000005420
poecilia_formosa ENSPFOG00000009361
fundulus_heteroclitus ENSFHEG00000001921
oryzias_latipes ENSORLG00000012935
oryzias_latipes ENSORLG00015017854
oryzias_latipes ENSORLG00020021506
oryzias_melastigma ENSOMEG00000023883
maylandia_zebra ENSMZEG00005006740
haplochromis_burtoni ENSHBUG00000012724
pundamilia_nyererei ENSPNYG00000006545
astatotilapia_calliptera ENSACLG00000025871
neolamprologus_brichardi ENSNBRG00000017720
oreochromis_niloticus ENSONIG00000003252
amphilophus_citrinellus ENSACIG00000002170
amphiprion_ocellaris ENSAOCG00000023638
amphiprion_percula ENSAPEG00000015938
acanthochromis_polyacanthus ENSAPOG00000021625
stegastes_partitus ENSSPAG00000021662
parambassis_ranga ENSPRNG00000026366
gasterosteus_aculeatus ENSGACG00000011170
gouania_willdenowi ENSGWIG00000021298
gadus_morhua ENSGMOG00000014297
periophthalmus_magnuspinnatus ENSPMGG00000010178
mola_mola ENSMMOG00000017189
hucho_hucho ENSHHUG00000009664
esox_lucius ENSELUG00000013779
clupea_harengus ENSCHAG00000026752
denticeps_clupeoides ENSDCDG00000028608
astyanax_mexicanus ENSAMXG00005000200
astyanax_mexicanus ENSAMXG00005000180
pygocentrus_nattereri ENSPNAG00000007432
astyanax_mexicanus ENSAMXG00000030499
electrophorus_electricus ENSEEEG00000006039
ictalurus_punctatus ENSIPUG00000013727
danio_rerio ENSDARG00000015156
scleropages_formosus ENSSFOG00015014730
paramormyrops_kingsleyae ENSPKIG00000004833
clupea_harengus ENSCHAG00000020606
denticeps_clupeoides ENSDCDG00000027122
astyanax_mexicanus ENSAMXG00000042741
astyanax_mexicanus ENSAMXG00000034327
astyanax_mexicanus ENSAMXG00005008408
pygocentrus_nattereri ENSPNAG00000022977
ictalurus_punctatus ENSIPUG00000016719
electrophorus_electricus ENSEEEG00000008980
seriola_dumerili ENSSDUG00000000680
seriola_lalandi ENSSLDG00000011147
scophthalmus_maximus ENSSMAG00000013213
lates_calcarifer ENSLCAG00010018624
mastacembelus_armatus ENSMAMG00000024101
anabas_testudineus ENSATEG00000015165
amphiprion_ocellaris ENSAOCG00000007393
amphiprion_percula ENSAPEG00000015393
acanthochromis_polyacanthus ENSAPOG00000012531
stegastes_partitus ENSSPAG00000021388
parambassis_ranga ENSPRNG00000002283
fundulus_heteroclitus ENSFHEG00000002878
cyprinodon_variegatus ENSCVAG00000013122
xiphophorus_maculatus ENSXMAG00000017618
xiphophorus_couchianus ENSXCOG00000011185
gambusia_affinis ENSGAFG00000015821
poecilia_mexicana ENSPMEG00000023068
poecilia_formosa ENSPFOG00000015394
poecilia_latipinna ENSPLAG00000020209
poecilia_reticulata ENSPREG00000008686
kryptolebias_marmoratus ENSKMAG00000014363
oryzias_latipes ENSORLG00000011304
oryzias_latipes ENSORLG00020019217
oryzias_latipes ENSORLG00015014385
oryzias_melastigma ENSOMEG00000008281
maylandia_zebra ENSMZEG00005025888
pundamilia_nyererei ENSPNYG00000005214
haplochromis_burtoni ENSHBUG00000000678
oreochromis_niloticus ENSONIG00000017187
neolamprologus_brichardi ENSNBRG00000021897
amphilophus_citrinellus ENSACIG00000003825
gouania_willdenowi ENSGWIG00000001075
larimichthys_crocea ENSLCRG00005006413
cottoperca_gobio ENSCGOG00000020641
labrus_bergylta ENSLBEG00000006569
gasterosteus_aculeatus ENSGACG00000000065
betta_splendens ENSBSLG00000012590
tetraodon_nigroviridis ENSTNIG00000017936
takifugu_rubripes ENSTRUG00000008141
hippocampus_comes ENSHCOG00000007449
monopterus_albus ENSMALG00000021790
cynoglossus_semilaevis ENSCSEG00000021424
periophthalmus_magnuspinnatus ENSPMGG00000011739
gadus_morhua ENSGMOG00000017143
hucho_hucho ENSHHUG00000043629
hucho_hucho ENSHHUG00000026083
esox_lucius ENSELUG00000018004
lepisosteus_oculatus ENSLOCG00000014039
erpetoichthys_calabaricus ENSECRG00000021236
callorhinchus_milii ENSCMIG00000011392
eptatretus_burgeri ENSEBUG00000016745
eptatretus_burgeri ENSEBUG00000003514
petromyzon_marinus ENSPMAG00000003006
petromyzon_marinus ENSPMAG00000000908
petromyzon_marinus ENSPMAG00000000285
eptatretus_burgeri ENSEBUG00000013724
latimeria_chalumnae ENSLACG00000005555
erpetoichthys_calabaricus ENSECRG00000009072
