equus_caballus ENSECAG00000030519
neovison_vison ENSNVIG00000020124
ictidomys_tridecemlineatus ENSSTOG00000023115
dipodomys_ordii ENSDORG00000027106
heterocephalus_glaber ENSHGLG00000005535
heterocephalus_glaber ENSHGLG00100012966
fukomys_damarensis ENSFDAG00000004156
chinchilla_lanigera ENSCLAG00000009947
octodon_degus ENSODEG00000004687
cricetulus_griseus ENSCGRG00015013471
cricetulus_griseus ENSCGRG00001021320
cricetulus_griseus ENSCGRG00000016089
peromyscus_maniculatus ENSPEMG00000025056
microtus_ochrogaster ENSMOCG00000002438
mus_spicilegus ENSMSIG00000013042
mus_spretus MGP_SPRETEiJ_G0025220
mus_musculus ENSMUSG00000027409
mus_caroli MGP_CAROLIEiJ_G0024300
mus_pahari MGP_PahariEiJ_G0025745
rattus_norvegicus ENSRNOG00000047004
meriones_unguiculatus ENSMUGG00000007133
loxodonta_africana ENSLAFG00000030276
