chrysemys_picta ENSCPBG00000023613
chelonoidis_abingdonii ENSCABG00000007660
junco_hyemalis ENSJHYG00000001452
zonotrichia_albicollis ENSZALG00000003392
lonchura_striata ENSLSDG00000001210
numida_meleagris ENSNMEG00000000469
coturnix_japonica ENSCJPG00005013795
anser_brachyrhynchus ENSABRG00000019579
apteryx_rowi ENSARWG00000000755
apteryx_haastii ENSAHAG00000016553
neovison_vison ENSNVIG00000021727
panthera_pardus ENSPPRG00000020173
equus_caballus ENSECAG00000037630
capra_hircus ENSCHIG00000021921
pan_troglodytes ENSPTRG00000044741
pan_paniscus ENSPPAG00000032102
nomascus_leucogenys ENSNLEG00000032996
rhinopithecus_roxellana ENSRROG00000032043
rhinopithecus_bieti ENSRBIG00000043038
piliocolobus_tephrosceles ENSPTEG00000010723
macaca_nemestrina ENSMNEG00000017830
macaca_fascicularis ENSMFAG00000038511
cercocebus_atys ENSCATG00000040668
theropithecus_gelada ENSTGEG00000025590
papio_anubis ENSPANG00000033053
cebus_capucinus ENSCCAG00000029172
aotus_nancymaae ENSANAG00000032382
urocitellus_parryii ENSUPAG00010001748
