mastacembelus_armatus ENSMAMG00000010331
monopterus_albus ENSMALG00000008558
anabas_testudineus ENSATEG00000003377
scophthalmus_maximus ENSSMAG00000002550
cynoglossus_semilaevis ENSCSEG00000003901
seriola_dumerili ENSSDUG00000012730
seriola_lalandi_dorsalis ENSSLDG00000017827
labrus_bergylta ENSLBEG00000020060
gasterosteus_aculeatus ENSGACG00000013064
amphiprion_ocellaris ENSAOCG00000008601
amphiprion_percula ENSAPEG00000014835
acanthochromis_polyacanthus ENSAPOG00000014833
stegastes_partitus ENSSPAG00000011585
mola_mola ENSMMOG00000008271
mola_mola ENSMMOG00000008273
anabas_testudineus ENSATEG00000003553
periophthalmus_magnuspinnatus ENSPMGG00000023221
xiphophorus_maculatus ENSXMAG00000003867
xiphophorus_couchianus ENSXCOG00000020304
gambusia_affinis ENSGAFG00000003258
poecilia_formosa ENSPFOG00000019026
poecilia_latipinna ENSPLAG00000014657
poecilia_mexicana ENSPMEG00000003571
cyprinodon_variegatus ENSCVAG00000005571
fundulus_heteroclitus ENSFHEG00000004061
kryptolebias_marmoratus ENSKMAG00000014597
oryzias_latipes_asm223469v1 ENSORLG00015017004
oryzias_latipes ENSORLG00000008853
oryzias_latipes ENSORLG00020003367
haplochromis_burtoni ENSHBUG00000016994
pundamilia_nyererei ENSPNYG00000008918
astatotilapia_calliptera ENSACLG00000022673
maylandia_zebra ENSMZEG00005020146
neolamprologus_brichardi ENSNBRG00000021637
oreochromis_niloticus ENSONIG00000015067
amphilophus_citrinellus ENSACIG00000022866
hippocampus_comes ENSHCOG00000016827
oryzias_melastigma ENSOMEG00000006529
oryzias_melastigma ENSOMEG00000006517
oryzias_melastigma ENSOMEG00000020998
poecilia_reticulata ENSPREG00000005685
takifugu_rubripes ENSTRUG00000025466
gadus_morhua ENSGMOG00000014755
esox_lucius ENSELUG00000021106
astyanax_mexicanus ENSAMXG00000003740
pygocentrus_nattereri ENSPNAG00000026768
ictalurus_punctatus ENSIPUG00000007986
danio_rerio ENSDARG00000008849
pygocentrus_nattereri ENSPNAG00000001022
scleropages_formosus ENSSFOG00015019468
paramormyrops_kingsleyae ENSPKIG00000004182
scleropages_formosus ENSSFOG00015006506
paramormyrops_kingsleyae ENSPKIG00000001785
