urocitellus_parryii ENSUPAG00010001808
spermophilus_dauricus ENSSDAG00000008724
marmota_marmota_marmota ENSMMMG00000016300
cricetulus_griseus_chok1gshd ENSCGRG00001016097
cricetulus_griseus_crigri-picr ENSCGRG00015000632
peromyscus_maniculatus_bairdii ENSPEMG00000012035
mus_spicilegus ENSMSIG00000018108
mus_musculus ENSMUSG00000047515
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030050
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029001
mus_pahari MGP_PahariEiJ_G0022763
rattus_norvegicus ENSRNOG00000027979
meriones_unguiculatus ENSMUGG00000009258
ochotona_princeps ENSOPRG00000015050
tupaia_belangeri ENSTBEG00000004255
microcebus_murinus ENSMICG00000006257
otolemur_garnettii ENSOGAG00000010524
pan_troglodytes ENSPTRG00000004725
gorilla_gorilla ENSGGOG00000041150
homo_sapiens ENSG00000182993
pongo_abelii ENSPPYG00000004325
nomascus_leucogenys ENSNLEG00000003965
theropithecus_gelada ENSTGEG00000022888
macaca_mulatta ENSMMUG00000012788
chlorocebus_sabaeus ENSCSAG00000019241
piliocolobus_tephrosceles ENSPTEG00000016374
aotus_nancymaae ENSANAG00000001578
bos_mutus ENSBMUG00000000666
bos_taurus ENSBTAG00000008351
bison_bison_bison ENSBBBG00000021869
ovis_aries ENSOARG00000020250
vicugna_pacos ENSVPAG00000002435
equus_asinus_asinus ENSEASG00005014619
equus_caballus ENSECAG00000004214
ursus_americanus ENSUAMG00000003243
ursus_maritimus ENSUMAG00000002642
ailuropoda_melanoleuca ENSAMEG00000019966
neovison_vison ENSNVIG00000021673
canis_lupus_familiaris ENSCAFG00000012974
canis_lupus_dingo ENSCAFG00020007007
vulpes_vulpes ENSVVUG00000004421
panthera_pardus ENSPPRG00000014991
panthera_tigris_altaica ENSPTIG00000009451
felis_catus ENSFCAG00000043591
erinaceus_europaeus ENSEEUG00000012867
sorex_araneus ENSSARG00000007107
myotis_lucifugus ENSMLUG00000015212
choloepus_hoffmanni ENSCHOG00000007613
dasypus_novemcinctus ENSDNOG00000009393
loxodonta_africana ENSLAFG00000026849
procavia_capensis ENSPCAG00000015841
