canis_lupus_familiaris ENSCAFG00000023175
ailuropoda_melanoleuca ENSAMEG00000019865
heterocephalus_glaber_female ENSHGLG00000010554
heterocephalus_glaber_male ENSHGLG00100019167
octodon_degus ENSODEG00000020215
chinchilla_lanigera ENSCLAG00000017618
cavia_porcellus ENSCPOG00000021348
meriones_unguiculatus ENSMUGG00000008213
mus_spicilegus ENSMSIG00000021572
cricetulus_griseus_crigri-picr ENSCGRG00015002671
cricetulus_griseus_chok1gshd ENSCGRG00001011419
peromyscus_maniculatus_bairdii ENSPEMG00000013875
microtus_ochrogaster ENSMOCG00000007804
mesocricetus_auratus ENSMAUG00000008331
jaculus_jaculus ENSJJAG00000020265
castor_canadensis ENSCCNG00000024706
oryctolagus_cuniculus ENSOCUG00000025441
dasypus_novemcinctus ENSDNOG00000033531
