gambusia_affinis ENSGAFG00000000720
ictalurus_punctatus ENSIPUG00000021615
xenopus_tropicalis ENSXETG00000024100
petromyzon_marinus ENSPMAG00000006182
gallus_gallus ENSGALG00000029692
coturnix_japonica ENSCJPG00005005172
numida_meleagris ENSNMEG00000020398
anas_platyrhynchos_platyrhynchos ENSAPLG00000031251
taeniopygia_guttata ENSTGUG00000001245
lonchura_striata_domestica ENSLSDG00000007459
parus_major ENSPMJG00000009622
junco_hyemalis ENSJHYG00000013685
lepidothrix_coronata ENSLCOG00000005739
nothoprocta_perdicaria ENSNPEG00000007842
crocodylus_porosus ENSCPRG00005010825
phascolarctos_cinereus ENSPCIG00000009492
monodelphis_domestica ENSMODG00000014458
notamacropus_eugenii ENSMEUG00000001133
sarcophilus_harrisii ENSSHAG00000006825
chinchilla_lanigera ENSCLAG00000018105
octodon_degus ENSODEG00000019787
cavia_porcellus ENSCPOG00000020630
heterocephalus_glaber_male ENSHGLG00100020152
heterocephalus_glaber_female ENSHGLG00000020986
fukomys_damarensis ENSFDAG00000000217
ictidomys_tridecemlineatus ENSSTOG00000022759
urocitellus_parryii ENSUPAG00010014353
castor_canadensis ENSCCNG00000018896
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019461
mus_spicilegus ENSMSIG00000019595
mus_musculus ENSMUSG00000048904
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018581
mus_pahari MGP_PahariEiJ_G0019646
rattus_norvegicus ENSRNOG00000022405
meriones_unguiculatus ENSMUGG00000008184
cricetulus_griseus_crigri-picr ENSCGRG00015016627
cricetulus_griseus_chok1gshd ENSCGRG00001006631
cricetulus_griseus_crigri ENSCGRG00000019081
mesocricetus_auratus ENSMAUG00000017119
peromyscus_maniculatus_bairdii ENSPEMG00000013088
nannospalax_galili ENSNGAG00000011915
jaculus_jaculus ENSJJAG00000021177
oryctolagus_cuniculus ENSOCUG00000004405
saimiri_boliviensis_boliviensis ENSSBOG00000023798
cebus_capucinus ENSCCAG00000024492
callithrix_jacchus ENSCJAG00000045131
aotus_nancymaae ENSANAG00000030948
pan_paniscus ENSPPAG00000000667
pan_troglodytes ENSPTRG00000017258
homo_sapiens ENSG00000181965
gorilla_gorilla ENSGGOG00000002841
pongo_abelii ENSPPYG00000015801
nomascus_leucogenys ENSNLEG00000018460
piliocolobus_tephrosceles ENSPTEG00000034234
colobus_angolensis_palliatus ENSCANG00000038165
rhinopithecus_roxellana ENSRROG00000022480
rhinopithecus_bieti ENSRBIG00000010591
theropithecus_gelada ENSTGEG00000021363
papio_anubis ENSPANG00000004163
chlorocebus_sabaeus ENSCSAG00000000502
cercocebus_atys ENSCATG00000021940
macaca_fascicularis ENSMFAG00000018711
macaca_mulatta ENSMMUG00000004770
macaca_nemestrina ENSMNEG00000012390
mandrillus_leucophaeus ENSMLEG00000018822
carlito_syrichta ENSTSYG00000010607
microcebus_murinus ENSMICG00000043660
propithecus_coquereli ENSPCOG00000028001
prolemur_simus ENSPSMG00000000090
otolemur_garnettii ENSOGAG00000033152
tupaia_belangeri ENSTBEG00000012241
bos_taurus ENSBTAG00000003331
bison_bison_bison ENSBBBG00000005274
capra_hircus ENSCHIG00000013410
sus_scrofa ENSSSCG00000014309
equus_caballus ENSECAG00000010202
equus_asinus_asinus ENSEASG00005020492
myotis_lucifugus ENSMLUG00000004571
ursus_americanus ENSUAMG00000013598
ailuropoda_melanoleuca ENSAMEG00000017891
canis_lupus_dingo ENSCAFG00020007192
canis_lupus_familiaris ENSCAFG00000001083
vulpes_vulpes ENSVVUG00000017479
mustela_putorius_furo ENSMPUG00000019792
neovison_vison ENSNVIG00000016109
dasypus_novemcinctus ENSDNOG00000018026
loxodonta_africana ENSLAFG00000010799
ornithorhynchus_anatinus ENSOANG00000003865
gopherus_agassizii ENSGAGG00000021289
chelonoidis_abingdonii ENSCABG00000000999
chrysemys_picta_bellii ENSCPBG00000008612
pelodiscus_sinensis ENSPSIG00000004125
anolis_carolinensis ENSACAG00000001255
pogona_vitticeps ENSPVIG00000007925
notechis_scutatus ENSNSUG00000003231
salvator_merianae ENSSMRG00000017521
sphenodon_punctatus ENSSPUG00000008778
xenopus_tropicalis ENSXETG00000007898
latimeria_chalumnae ENSLACG00000010664
scleropages_formosus ENSSFOG00015001781
paramormyrops_kingsleyae ENSPKIG00000000377
lepisosteus_oculatus ENSLOCG00000011560
hippocampus_comes ENSHCOG00000017404
eptatretus_burgeri ENSEBUG00000016904
dromaius_novaehollandiae ENSDNVG00000017653
melopsittacus_undulatus ENSMUNG00000003126
eptatretus_burgeri ENSEBUG00000015568
