sphenodon_punctatus ENSSPUG00000018062
chrysemys_picta_bellii ENSCPBG00000019006
sarcophilus_harrisii ENSSHAG00000011400
monodelphis_domestica ENSMODG00000027311
anas_platyrhynchos_platyrhynchos ENSAPLG00000029479
xenopus_tropicalis ENSXETG00000025993
latimeria_chalumnae ENSLACG00000001491
paramormyrops_kingsleyae ENSPKIG00000020306
scleropages_formosus ENSSFOG00015023553
scophthalmus_maximus ENSSMAG00000017344
gasterosteus_aculeatus ENSGACG00000002366
poecilia_formosa ENSPFOG00000006229
poecilia_latipinna ENSPLAG00000023219
poecilia_mexicana ENSPMEG00000015101
poecilia_reticulata ENSPREG00000002547
xiphophorus_maculatus ENSXMAG00000022218
xiphophorus_couchianus ENSXCOG00000020696
gambusia_affinis ENSGAFG00000021931
fundulus_heteroclitus ENSFHEG00000021414
cyprinodon_variegatus ENSCVAG00000002022
kryptolebias_marmoratus ENSKMAG00000006204
oryzias_latipes ENSORLG00000023969
oryzias_latipes_asm223469v1 ENSORLG00015022391
oryzias_melastigma ENSOMEG00000010148
maylandia_zebra ENSMZEG00005015924
haplochromis_burtoni ENSHBUG00000020667
neolamprologus_brichardi ENSNBRG00000022234
oreochromis_niloticus ENSONIG00000010822
amphilophus_citrinellus ENSACIG00000007934
takifugu_rubripes ENSTRUG00000020079
tetraodon_nigroviridis ENSTNIG00000002970
mola_mola ENSMMOG00000019427
labrus_bergylta ENSLBEG00000009625
hippocampus_comes ENSHCOG00000014972
monopterus_albus ENSMALG00000008334
mastacembelus_armatus ENSMAMG00000013953
anabas_testudineus ENSATEG00000007977
seriola_dumerili ENSSDUG00000014758
seriola_lalandi_dorsalis ENSSLDG00000020336
periophthalmus_magnuspinnatus ENSPMGG00000009162
amphiprion_percula ENSAPEG00000008866
amphiprion_ocellaris ENSAOCG00000023302
acanthochromis_polyacanthus ENSAPOG00000013688
stegastes_partitus ENSSPAG00000006144
cynoglossus_semilaevis ENSCSEG00000000468
gadus_morhua ENSGMOG00000017197
esox_lucius ENSELUG00000017424
pygocentrus_nattereri ENSPNAG00000002325
astyanax_mexicanus ENSAMXG00000025284
ictalurus_punctatus ENSIPUG00000023255
danio_rerio ENSDARG00000069328
lepisosteus_oculatus ENSLOCG00000017950
