meleagris_gallopavo ENSMGAG00000001218
coturnix_japonica ENSCJPG00005014062
cyanistes_caeruleus ENSCCEG00000007754
parus_major ENSPMJG00000001208
serinus_canaria ENSSCAG00000011090
ficedula_albicollis ENSFALG00000001726
calidris_pugnax ENSCPUG00000007240
chrysemys_picta_bellii ENSCPBG00000025454
apteryx_owenii ENSAOWG00000002326
nothoprocta_perdicaria ENSNPEG00000013168
calidris_pygmaea ENSCPGG00000004316
calidris_pugnax ENSCPUG00000007239
melopsittacus_undulatus ENSMUNG00000010855
chrysemys_picta_bellii ENSCPBG00000025453
salvator_merianae ENSSMRG00000021442
notechis_scutatus ENSNSUG00000002535
