notechis_scutatus ENSNSUG00000001329
anolis_carolinensis ENSACAG00000007495
salvator_merianae ENSSMRG00000019931
pogona_vitticeps ENSPVIG00000017467
sphenodon_punctatus ENSSPUG00000011022
sphenodon_punctatus ENSSPUG00000010992
anser_brachyrhynchus ENSABRG00000009266
anas_platyrhynchos_platyrhynchos ENSAPLG00000014017
meleagris_gallopavo ENSMGAG00000008388
gallus_gallus ENSGALG00000023547
coturnix_japonica ENSCJPG00005006518
numida_meleagris ENSNMEG00000016502
lonchura_striata_domestica ENSLSDG00000010111
taeniopygia_guttata ENSTGUG00000006011
serinus_canaria ENSSCAG00000013867
parus_major ENSPMJG00000005875
cyanistes_caeruleus ENSCCEG00000004653
zonotrichia_albicollis ENSZALG00000004791
junco_hyemalis ENSJHYG00000000633
manacus_vitellinus ENSMVIG00005006148
lepidothrix_coronata ENSLCOG00000009918
ficedula_albicollis ENSFALG00000004612
melopsittacus_undulatus ENSMUNG00000002583
calidris_pygmaea ENSCPGG00000002883
calidris_pugnax ENSCPUG00000005799
apteryx_owenii ENSAOWG00000004115
apteryx_haastii ENSAHAG00000001140
apteryx_rowi ENSARWG00000011438
dromaius_novaehollandiae ENSDNVG00000006382
nothoprocta_perdicaria ENSNPEG00000007053
crocodylus_porosus ENSCPRG00005008333
chrysemys_picta_bellii ENSCPBG00000027242
chelonoidis_abingdonii ENSCABG00000020881
pelodiscus_sinensis ENSPSIG00000016304
cricetulus_griseus_crigri-picr ENSCGRG00015021462
cricetulus_griseus_chok1gshd ENSCGRG00001009568
cricetulus_griseus_crigri ENSCGRG00000016439
mesocricetus_auratus ENSMAUG00000017574
microtus_ochrogaster ENSMOCG00000014936
peromyscus_maniculatus_bairdii ENSPEMG00000022425
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025595
mus_spicilegus ENSMSIG00000022660
mus_musculus ENSMUSG00000039849
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024675
mus_pahari MGP_PahariEiJ_G0026117
rattus_norvegicus ENSRNOG00000016870
meriones_unguiculatus ENSMUGG00000006892
nannospalax_galili ENSNGAG00000000391
jaculus_jaculus ENSJJAG00000022249
castor_canadensis ENSCCNG00000023122
dipodomys_ordii ENSDORG00000007081
chinchilla_lanigera ENSCLAG00000008405
octodon_degus ENSODEG00000009196
cavia_porcellus ENSCPOG00000000137
cavia_aperea ENSCAPG00000011411
heterocephalus_glaber_female ENSHGLG00000006036
heterocephalus_glaber_male ENSHGLG00100011941
fukomys_damarensis ENSFDAG00000009660
urocitellus_parryii ENSUPAG00010002421
marmota_marmota_marmota ENSMMMG00000005571
spermophilus_dauricus ENSSDAG00000005301
