scophthalmus_maximus ENSSMAG00000003801
hippocampus_comes ENSHCOG00000010302
gambusia_affinis ENSGAFG00000002024
poecilia_reticulata ENSPREG00000003259
fundulus_heteroclitus ENSFHEG00000022635
amphilophus_citrinellus ENSACIG00000012122
anabas_testudineus ENSATEG00000001507
mastacembelus_armatus ENSMAMG00000003410
takifugu_rubripes ENSTRUG00000001463
oryzias_latipes ENSORLG00020011937
oryzias_latipes_asm223469v1 ENSORLG00015020283
xiphophorus_couchianus ENSXCOG00000000191
pundamilia_nyererei ENSPNYG00000011328
maylandia_zebra ENSMZEG00005012605
haplochromis_burtoni ENSHBUG00000003427
neolamprologus_brichardi ENSNBRG00000001365
seriola_dumerili ENSSDUG00000019495
mola_mola ENSMMOG00000005895
periophthalmus_magnuspinnatus ENSPMGG00000021781
