calidris_pugnax ENSCPUG00000010814
calidris_pygmaea ENSCPGG00000012437
zonotrichia_albicollis ENSZALG00000011222
junco_hyemalis ENSJHYG00000000869
serinus_canaria ENSSCAG00000005660
taeniopygia_guttata ENSTGUG00000006002
lonchura_striata_domestica ENSLSDG00000015556
cyanistes_caeruleus ENSCCEG00000014703
parus_major ENSPMJG00000000131
manacus_vitellinus ENSMVIG00005011346
lepidothrix_coronata ENSLCOG00000015384
gallus_gallus ENSGALG00000002356
meleagris_gallopavo ENSMGAG00000015573
coturnix_japonica ENSCJPG00005007521
numida_meleagris ENSNMEG00000016210
anser_brachyrhynchus ENSABRG00000003192
apteryx_owenii ENSAOWG00000017880
apteryx_haastii ENSAHAG00000018455
apteryx_rowi ENSARWG00000010482
dromaius_novaehollandiae ENSDNVG00000008053
nothoprocta_perdicaria ENSNPEG00000007229
crocodylus_porosus ENSCPRG00005001682
chelonoidis_abingdonii ENSCABG00000023063
gopherus_agassizii ENSGAGG00000004185
chrysemys_picta_bellii ENSCPBG00000009396
pelodiscus_sinensis ENSPSIG00000001359
anolis_carolinensis ENSACAG00000014593
pogona_vitticeps ENSPVIG00000007779
notechis_scutatus ENSNSUG00000018143
salvator_merianae ENSSMRG00000009796
phascolarctos_cinereus ENSPCIG00000015810
sarcophilus_harrisii ENSSHAG00000011153
monodelphis_domestica ENSMODG00000014267
heterocephalus_glaber_male ENSHGLG00100016028
heterocephalus_glaber_female ENSHGLG00000013565
fukomys_damarensis ENSFDAG00000018647
cavia_aperea ENSCAPG00000009774
cavia_porcellus ENSCPOG00000015680
chinchilla_lanigera ENSCLAG00000008920
spermophilus_dauricus ENSSDAG00000024092
ictidomys_tridecemlineatus ENSSTOG00000029180
urocitellus_parryii ENSUPAG00010014810
marmota_marmota_marmota ENSMMMG00000013435
castor_canadensis ENSCCNG00000012465
castor_canadensis ENSCCNG00000012544
dipodomys_ordii ENSDORG00000025105
cricetulus_griseus_chok1gshd ENSCGRG00001008188
cricetulus_griseus_crigri ENSCGRG00000012261
cricetulus_griseus_crigri-picr ENSCGRG00015010951
mesocricetus_auratus ENSMAUG00000008760
peromyscus_maniculatus_bairdii ENSPEMG00000015578
microtus_ochrogaster ENSMOCG00000000828
meriones_unguiculatus ENSMUGG00000019976
meriones_unguiculatus ENSMUGG00000018356
mus_musculus ENSMUSG00000046441
mus_spicilegus ENSMSIG00000018491
