cynoglossus_semilaevis ENSCSEG00000011787
pundamilia_nyererei ENSPNYG00000012884
periophthalmus_magnuspinnatus ENSPMGG00000007577
hippocampus_comes ENSHCOG00000007770
mola_mola ENSMMOG00000015189
tetraodon_nigroviridis ENSTNIG00000019181
takifugu_rubripes ENSTRUG00000017310
oryzias_latipes ENSORLG00020007341
oryzias_latipes_asm223469v1 ENSORLG00015002478
oryzias_latipes ENSORLG00000015643
oryzias_melastigma ENSOMEG00000013143
anabas_testudineus ENSATEG00000014566
seriola_lalandi_dorsalis ENSSLDG00000019236
seriola_dumerili ENSSDUG00000008692
scophthalmus_maximus ENSSMAG00000001046
mastacembelus_armatus ENSMAMG00000005602
monopterus_albus ENSMALG00000007117
gambusia_affinis ENSGAFG00000009488
xiphophorus_maculatus ENSXMAG00000029795
poecilia_latipinna ENSPLAG00000021004
poecilia_mexicana ENSPMEG00000017312
poecilia_formosa ENSPFOG00000012311
poecilia_reticulata ENSPREG00000002184
fundulus_heteroclitus ENSFHEG00000002565
cyprinodon_variegatus ENSCVAG00000000674
kryptolebias_marmoratus ENSKMAG00000010878
astatotilapia_calliptera ENSACLG00000010066
maylandia_zebra ENSMZEG00005002420
neolamprologus_brichardi ENSNBRG00000010514
pundamilia_nyererei ENSPNYG00000023636
oreochromis_niloticus ENSONIG00000006440
amphilophus_citrinellus ENSACIG00000016576
amphiprion_percula ENSAPEG00000004640
amphiprion_ocellaris ENSAOCG00000015422
acanthochromis_polyacanthus ENSAPOG00000000392
stegastes_partitus ENSSPAG00000021017
labrus_bergylta ENSLBEG00000027319
gasterosteus_aculeatus ENSGACG00000004255
gadus_morhua ENSGMOG00000000131
esox_lucius ENSELUG00000004165
pygocentrus_nattereri ENSPNAG00000019057
astyanax_mexicanus ENSAMXG00000010175
ictalurus_punctatus ENSIPUG00000023847
danio_rerio ENSDARG00000015224
scleropages_formosus ENSSFOG00015021587
paramormyrops_kingsleyae ENSPKIG00000014703
lepisosteus_oculatus ENSLOCG00000016501
pogona_vitticeps ENSPVIG00000019682
anolis_carolinensis ENSACAG00000013411
notechis_scutatus ENSNSUG00000001901
salvator_merianae ENSSMRG00000021120
sphenodon_punctatus ENSSPUG00000006485
apteryx_haastii ENSAHAG00000007359
apteryx_owenii ENSAOWG00000015475
apteryx_rowi ENSARWG00000013340
dromaius_novaehollandiae ENSDNVG00000001142
nothoprocta_perdicaria ENSNPEG00000008752
zonotrichia_albicollis ENSZALG00000000511
junco_hyemalis ENSJHYG00000017821
serinus_canaria ENSSCAG00000014024
taeniopygia_guttata ENSTGUG00000013213
lonchura_striata_domestica ENSLSDG00000002440
ficedula_albicollis ENSFALG00000001586
parus_major ENSPMJG00000012974
cyanistes_caeruleus ENSCCEG00000001010
lepidothrix_coronata ENSLCOG00000010255
manacus_vitellinus ENSMVIG00005001491
melopsittacus_undulatus ENSMUNG00000010605
calidris_pygmaea ENSCPGG00000018960
calidris_pugnax ENSCPUG00000010278
anser_brachyrhynchus ENSABRG00000002612
anas_platyrhynchos_platyrhynchos ENSAPLG00000014709
gallus_gallus ENSGALG00000016720
coturnix_japonica ENSCJPG00005002786
meleagris_gallopavo ENSMGAG00000014287
numida_meleagris ENSNMEG00000008666
crocodylus_porosus ENSCPRG00005000439
gopherus_agassizii ENSGAGG00000009656
chelonoidis_abingdonii ENSCABG00000012103
chrysemys_picta_bellii ENSCPBG00000021651
pelodiscus_sinensis ENSPSIG00000006044
loxodonta_africana ENSLAFG00000001252
procavia_capensis ENSPCAG00000001122
echinops_telfairi ENSETEG00000002766
dasypus_novemcinctus ENSDNOG00000011547
choloepus_hoffmanni ENSCHOG00000002804
sorex_araneus ENSSARG00000004947
erinaceus_europaeus ENSEEUG00000001310
equus_asinus_asinus ENSEASG00005003900
equus_caballus ENSECAG00000018037
ovis_aries ENSOARG00000011675
capra_hircus ENSCHIG00000025885
bos_mutus ENSBMUG00000023977
bos_taurus ENSBTAG00000000322
bison_bison_bison ENSBBBG00000006860
tursiops_truncatus ENSTTRG00000004122
sus_scrofa ENSSSCG00000039462
sus_scrofa ENSSSCG00000039312
sus_scrofa ENSSSCG00000030197
vicugna_pacos ENSVPAG00000003634
ursus_americanus ENSUAMG00000027780
ursus_maritimus ENSUMAG00000004989
ailuropoda_melanoleuca ENSAMEG00000001509
neovison_vison ENSNVIG00000024099
mustela_putorius_furo ENSMPUG00000012396
canis_lupus_familiaris ENSCAFG00000002089
canis_lupus_dingo ENSCAFG00020012794
vulpes_vulpes ENSVVUG00000029316
panthera_tigris_altaica ENSPTIG00000020748
panthera_pardus ENSPPRG00000004549
felis_catus ENSFCAG00000027698
pteropus_vampyrus ENSPVAG00000012636
myotis_lucifugus ENSMLUG00000009776
gorilla_gorilla ENSGGOG00000009343
homo_sapiens ENSG00000198087
pan_paniscus ENSPPAG00000041008
pan_troglodytes ENSPTRG00000018244
pongo_abelii ENSPPYG00000016677
nomascus_leucogenys ENSNLEG00000004259
piliocolobus_tephrosceles ENSPTEG00000010213
colobus_angolensis_palliatus ENSCANG00000043553
rhinopithecus_roxellana ENSRROG00000037690
rhinopithecus_bieti ENSRBIG00000005934
theropithecus_gelada ENSTGEG00000029700
papio_anubis ENSPANG00000026002
mandrillus_leucophaeus ENSMLEG00000043815
cercocebus_atys ENSCATG00000025941
chlorocebus_sabaeus ENSCSAG00000012642
macaca_fascicularis ENSMFAG00000042539
macaca_mulatta ENSMMUG00000017952
macaca_nemestrina ENSMNEG00000034712
cebus_capucinus ENSCCAG00000027250
saimiri_boliviensis_boliviensis ENSSBOG00000022993
callithrix_jacchus ENSCJAG00000011867
aotus_nancymaae ENSANAG00000037623
carlito_syrichta ENSTSYG00000002464
