carlito_syrichta ENSTSYG00000010939
propithecus_coquereli ENSPCOG00000023430
peromyscus_maniculatus_bairdii ENSPEMG00000019526
cavia_aperea ENSCAPG00000009430
ursus_maritimus ENSUMAG00000004006
ursus_americanus ENSUAMG00000000577
ursus_americanus ENSUAMG00000006176
neovison_vison ENSNVIG00000022279
canis_lupus_dingo ENSCAFG00020011176
canis_lupus_familiaris ENSCAFG00000028741
panthera_pardus ENSPPRG00000001086
anolis_carolinensis ENSACAG00000006400
petromyzon_marinus ENSPMAG00000004178
ciona_intestinalis ENSCING00000013183
