clupea_harengus ENSCHAG00000015727
denticeps_clupeoides ENSDCDG00000021467
electrophorus_electricus ENSEEEG00000011580
ictalurus_punctatus ENSIPUG00000009584
pygocentrus_nattereri ENSPNAG00000020833
astyanax_mexicanus ENSAMXG00000010584
danio_rerio ENSDARG00000102167
hucho_hucho ENSHHUG00000012084
hucho_hucho ENSHHUG00000033688
esox_lucius ENSELUG00000022493
xiphophorus_maculatus ENSXMAG00000026912
xiphophorus_couchianus ENSXCOG00000008931
poecilia_reticulata ENSPREG00000018136
poecilia_formosa ENSPFOG00000000128
poecilia_latipinna ENSPLAG00000017965
poecilia_mexicana ENSPMEG00000016403
gambusia_affinis ENSGAFG00000009046
xiphophorus_couchianus ENSXCOG00000009673
fundulus_heteroclitus ENSFHEG00000013622
cyprinodon_variegatus ENSCVAG00000015584
kryptolebias_marmoratus ENSKMAG00000007748
oryzias_latipes ENSORLG00015011402
oryzias_latipes ENSORLG00020022512
oryzias_latipes ENSORLG00000003428
oryzias_melastigma ENSOMEG00000019389
takifugu_rubripes ENSTRUG00000005004
tetraodon_nigroviridis ENSTNIG00000011670
cynoglossus_semilaevis ENSCSEG00000010271
hippocampus_comes ENSHCOG00000021213
mola_mola ENSMMOG00000006527
gasterosteus_aculeatus ENSGACG00000004180
labrus_bergylta ENSLBEG00000017409
labrus_bergylta ENSLBEG00000004529
seriola_lalandi ENSSLDG00000009988
seriola_dumerili ENSSDUG00000004056
amphiprion_ocellaris ENSAOCG00000008855
amphiprion_percula ENSAPEG00000012001
acanthochromis_polyacanthus ENSAPOG00000015127
stegastes_partitus ENSSPAG00000019882
monopterus_albus ENSMALG00000015664
mastacembelus_armatus ENSMAMG00000006735
anabas_testudineus ENSATEG00000000542
betta_splendens ENSBSLG00000024116
lates_calcarifer ENSLCAG00010005482
scophthalmus_maximus ENSSMAG00000011916
larimichthys_crocea ENSLCRG00005016325
cottoperca_gobio ENSCGOG00000018123
maylandia_zebra ENSMZEG00005025237
astatotilapia_calliptera ENSACLG00000005012
pundamilia_nyererei ENSPNYG00000014439
haplochromis_burtoni ENSHBUG00000011153
oreochromis_niloticus ENSONIG00000008031
neolamprologus_brichardi ENSNBRG00000024407
amphilophus_citrinellus ENSACIG00000010814
gouania_willdenowi ENSGWIG00000002079
parambassis_ranga ENSPRNG00000010469
periophthalmus_magnuspinnatus ENSPMGG00000003567
gadus_morhua ENSGMOG00000006506
scleropages_formosus ENSSFOG00015019354
paramormyrops_kingsleyae ENSPKIG00000019041
lepisosteus_oculatus ENSLOCG00000004755
erpetoichthys_calabaricus ENSECRG00000018873
latimeria_chalumnae ENSLACG00000003882
pogona_vitticeps ENSPVIG00000019888
anolis_carolinensis ENSACAG00000004038
notechis_scutatus ENSNSUG00000017238
salvator_merianae ENSSMRG00000011217
sphenodon_punctatus ENSSPUG00000007834
chrysemys_picta ENSCPBG00000009259
gopherus_agassizii ENSGAGG00000000960
chelonoidis_abingdonii ENSCABG00000021659
pelodiscus_sinensis ENSPSIG00000005182
apteryx_haastii ENSAHAG00000002941
apteryx_owenii ENSAOWG00000002126
apteryx_rowi ENSARWG00000012739
dromaius_novaehollandiae ENSDNVG00000008804
calidris_pygmaea ENSCPGG00000001597
calidris_pugnax ENSCPUG00000008414
coturnix_japonica ENSCJPG00005006413
gallus_gallus ENSGALG00000054130
lonchura_striata ENSLSDG00000012031
erinaceus_europaeus ENSEEUG00000000921
sorex_araneus ENSSARG00000013958
pteropus_vampyrus ENSPVAG00000005526
myotis_lucifugus ENSMLUG00000004549
ovis_aries ENSOARG00000009648
capra_hircus ENSCHIG00000008041
bos_indicus ENSBIXG00005019263
bos_indicus ENSBIXG00000027080
bos_taurus ENSBTAG00000021894
bos_mutus ENSBMUG00000020539
bison_bison ENSBBBG00000013648
ovis_aries ENSOARG00000015736
capra_hircus ENSCHIG00000024269
tursiops_truncatus ENSTTRG00000009205
sus_scrofa ENSSSCG00000006361
equus_asinus ENSEASG00005012067
ursus_americanus ENSUAMG00000025487
ursus_maritimus ENSUMAG00000023956
ailuropoda_melanoleuca ENSAMEG00000015509
mustela_putorius ENSMPUG00000014269
neovison_vison ENSNVIG00000001790
canis_lupus ENSCAFG00000012811
canis_lupus ENSCAFG00020000908
vulpes_vulpes ENSVVUG00000015817
panthera_tigris ENSPTIG00000013888
panthera_pardus ENSPPRG00000008923
felis_catus ENSFCAG00000015758
loxodonta_africana ENSLAFG00000026246
procavia_capensis ENSPCAG00000013543
echinops_telfairi ENSETEG00000015737
choloepus_hoffmanni ENSCHOG00000013188
dasypus_novemcinctus ENSDNOG00000013758
heterocephalus_glaber ENSHGLG00100006185
heterocephalus_glaber ENSHGLG00000014872
fukomys_damarensis ENSFDAG00000008995
chinchilla_lanigera ENSCLAG00000016231
octodon_degus ENSODEG00000007017
cavia_porcellus ENSCPOG00000015323
urocitellus_parryii ENSUPAG00010005025
ictidomys_tridecemlineatus ENSSTOG00000006432
spermophilus_dauricus ENSSDAG00000012556
marmota_marmota ENSMMMG00000022036
castor_canadensis ENSCCNG00000013613
dipodomys_ordii ENSDORG00000001694
mus_spicilegus ENSMSIG00000024367
mus_musculus ENSMUSG00000062729
mus_spretus MGP_SPRETEiJ_G0015667
mus_caroli MGP_CAROLIEiJ_G0014862
mus_pahari MGP_PahariEiJ_G0028100
rattus_norvegicus ENSRNOG00000003567
meriones_unguiculatus ENSMUGG00000016552
cricetulus_griseus ENSCGRG00001021941
cricetulus_griseus ENSCGRG00000010553
cricetulus_griseus ENSCGRG00015017575
mesocricetus_auratus ENSMAUG00000015815
microtus_ochrogaster ENSMOCG00000016910
peromyscus_maniculatus ENSPEMG00000012068
nannospalax_galili ENSNGAG00000013051
jaculus_jaculus ENSJJAG00000018771
oryctolagus_cuniculus ENSOCUG00000002403
ochotona_princeps ENSOPRG00000003263
tupaia_belangeri ENSTBEG00000016685
colobus_angolensis ENSCANG00000029972
piliocolobus_tephrosceles ENSPTEG00000022690
rhinopithecus_bieti ENSRBIG00000007269
rhinopithecus_roxellana ENSRROG00000033710
mandrillus_leucophaeus ENSMLEG00000038099
papio_anubis ENSPANG00000007961
cercocebus_atys ENSCATG00000030808
theropithecus_gelada ENSTGEG00000007105
macaca_fascicularis ENSMFAG00000039953
macaca_mulatta ENSMMUG00000022630
macaca_nemestrina ENSMNEG00000045036
chlorocebus_sabaeus ENSCSAG00000002653
pan_troglodytes ENSPTRG00000001574
pan_paniscus ENSPPAG00000035169
gorilla_gorilla ENSGGOG00000028090
homo_sapiens ENSG00000143224
pongo_abelii ENSPPYG00000000608
nomascus_leucogenys ENSNLEG00000014066
cebus_capucinus ENSCCAG00000021684
cebus_capucinus ENSCCAG00000029815
saimiri_boliviensis ENSSBOG00000027117
callithrix_jacchus ENSCJAG00000005201
aotus_nancymaae ENSANAG00000034048
carlito_syrichta ENSTSYG00000000535
prolemur_simus ENSPSMG00000021097
propithecus_coquereli ENSPCOG00000014426
microcebus_murinus ENSMICG00000007258
microcebus_murinus ENSMICG00000028726
otolemur_garnettii ENSOGAG00000010055
vombatus_ursinus ENSVURG00010019405
phascolarctos_cinereus ENSPCIG00000020452
notamacropus_eugenii ENSMEUG00000004446
sarcophilus_harrisii ENSSHAG00000016489
monodelphis_domestica ENSMODG00000005247
xenopus_tropicalis ENSXETG00000005387
callorhinchus_milii ENSCMIG00000000637
eptatretus_burgeri ENSEBUG00000010363
ciona_intestinalis ENSCING00000011948
ciona_savignyi ENSCSAVG00000009268
ciona_savignyi ENSCSAVG00000009273
drosophila_melanogaster FBgn0020018
saccharomyces_cerevisiae YER014W
