mastacembelus_armatus ENSMAMG00000008107
labrus_bergylta ENSLBEG00000021373
seriola_lalandi_dorsalis ENSSLDG00000010656
seriola_dumerili ENSSDUG00000021271
scophthalmus_maximus ENSSMAG00000005676
amphiprion_percula ENSAPEG00000012750
amphiprion_ocellaris ENSAOCG00000019734
acanthochromis_polyacanthus ENSAPOG00000011622
stegastes_partitus ENSSPAG00000002228
hippocampus_comes ENSHCOG00000001876
monopterus_albus ENSMALG00000002206
anabas_testudineus ENSATEG00000022658
mola_mola ENSMMOG00000014154
gasterosteus_aculeatus ENSGACG00000011382
fundulus_heteroclitus ENSFHEG00000004062
cyprinodon_variegatus ENSCVAG00000018297
xiphophorus_maculatus ENSXMAG00000021133
xiphophorus_couchianus ENSXCOG00000015762
poecilia_formosa ENSPFOG00000014983
poecilia_mexicana ENSPMEG00000021321
poecilia_latipinna ENSPLAG00000007290
poecilia_reticulata ENSPREG00000008600
gambusia_affinis ENSGAFG00000010712
kryptolebias_marmoratus ENSKMAG00000003919
oryzias_latipes_asm223469v1 ENSORLG00015019269
oryzias_latipes ENSORLG00020004798
oryzias_latipes ENSORLG00000012171
oryzias_melastigma ENSOMEG00000011498
pundamilia_nyererei ENSPNYG00000017172
astatotilapia_calliptera ENSACLG00000010823
maylandia_zebra ENSMZEG00005010901
haplochromis_burtoni ENSHBUG00000011490
neolamprologus_brichardi ENSNBRG00000018211
oreochromis_niloticus ENSONIG00000010696
amphilophus_citrinellus ENSACIG00000001354
cynoglossus_semilaevis ENSCSEG00000016882
periophthalmus_magnuspinnatus ENSPMGG00000020375
gadus_morhua ENSGMOG00000004760
pygocentrus_nattereri ENSPNAG00000007911
astyanax_mexicanus ENSAMXG00000030491
ictalurus_punctatus ENSIPUG00000025036
danio_rerio ENSDARG00000028725
scleropages_formosus ENSSFOG00015002035
scleropages_formosus ENSSFOG00015005994
paramormyrops_kingsleyae ENSPKIG00000023699
paramormyrops_kingsleyae ENSPKIG00000023915
lepisosteus_oculatus ENSLOCG00000016099
anolis_carolinensis ENSACAG00000006376
pogona_vitticeps ENSPVIG00000019242
notechis_scutatus ENSNSUG00000000362
salvator_merianae ENSSMRG00000021285
sphenodon_punctatus ENSSPUG00000013492
calidris_pygmaea ENSCPGG00000010440
calidris_pugnax ENSCPUG00000016454
melopsittacus_undulatus ENSMUNG00000009624
anser_brachyrhynchus ENSABRG00000019738
anas_platyrhynchos_platyrhynchos ENSAPLG00000007432
meleagris_gallopavo ENSMGAG00000003572
coturnix_japonica ENSCJPG00005011726
gallus_gallus ENSGALG00000000469
numida_meleagris ENSNMEG00000000957
junco_hyemalis ENSJHYG00000005874
zonotrichia_albicollis ENSZALG00000007791
serinus_canaria ENSSCAG00000017145
taeniopygia_guttata ENSTGUG00000004160
lonchura_striata_domestica ENSLSDG00000015000
cyanistes_caeruleus ENSCCEG00000006360
parus_major ENSPMJG00000015830
manacus_vitellinus ENSMVIG00005019242
lepidothrix_coronata ENSLCOG00000002219
ficedula_albicollis ENSFALG00000011334
apteryx_haastii ENSAHAG00000005659
apteryx_owenii ENSAOWG00000015258
apteryx_rowi ENSARWG00000011792
dromaius_novaehollandiae ENSDNVG00000008876
nothoprocta_perdicaria ENSNPEG00000011615
crocodylus_porosus ENSCPRG00005014150
gopherus_agassizii ENSGAGG00000013795
chelonoidis_abingdonii ENSCABG00000020453
chrysemys_picta_bellii ENSCPBG00000002911
pelodiscus_sinensis ENSPSIG00000016055
phascolarctos_cinereus ENSPCIG00000031058
monodelphis_domestica ENSMODG00000016673
sarcophilus_harrisii ENSSHAG00000005644
pteropus_vampyrus ENSPVAG00000017486
myotis_lucifugus ENSMLUG00000027812
bos_mutus ENSBMUG00000016609
bos_taurus ENSBTAG00000031632
bison_bison_bison ENSBBBG00000001967
capra_hircus ENSCHIG00000021001
ovis_aries ENSOARG00000009752
tursiops_truncatus ENSTTRG00000004828
sus_scrofa ENSSSCG00000009661
vicugna_pacos ENSVPAG00000009827
equus_caballus ENSECAG00000015917
equus_asinus_asinus ENSEASG00005015639
ursus_maritimus ENSUMAG00000003460
ailuropoda_melanoleuca ENSAMEG00000000220
neovison_vison ENSNVIG00000007921
mustela_putorius_furo ENSMPUG00000000865
canis_lupus_dingo ENSCAFG00020012587
canis_lupus_familiaris ENSCAFG00000008725
vulpes_vulpes ENSVVUG00000003602
panthera_pardus ENSPPRG00000000941
panthera_tigris_altaica ENSPTIG00000012913
felis_catus ENSFCAG00000023739
sorex_araneus ENSSARG00000003618
erinaceus_europaeus ENSEEUG00000012033
cebus_capucinus ENSCCAG00000017294
saimiri_boliviensis_boliviensis ENSSBOG00000019482
mandrillus_leucophaeus ENSMLEG00000043053
papio_anubis ENSPANG00000024527
macaca_nemestrina ENSMNEG00000032467
colobus_angolensis_palliatus ENSCANG00000032518
aotus_nancymaae ENSANAG00000022712
callithrix_jacchus ENSCJAG00000043627
homo_sapiens ENSG00000120907
gorilla_gorilla ENSGGOG00000000511
pan_troglodytes ENSPTRG00000020100
pan_paniscus ENSPPAG00000043804
pongo_abelii ENSPPYG00000018459
nomascus_leucogenys ENSNLEG00000016272
macaca_fascicularis ENSMFAG00000030813
macaca_mulatta ENSMMUG00000023112
cercocebus_atys ENSCATG00000045125
chlorocebus_sabaeus ENSCSAG00000016022
piliocolobus_tephrosceles ENSPTEG00000029476
rhinopithecus_roxellana ENSRROG00000041301
rhinopithecus_bieti ENSRBIG00000043723
theropithecus_gelada ENSTGEG00000002630
prolemur_simus ENSPSMG00000010078
tupaia_belangeri ENSTBEG00000006921
oryctolagus_cuniculus ENSOCUG00000000775
ochotona_princeps ENSOPRG00000000373
castor_canadensis ENSCCNG00000000963
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019440
mus_musculus ENSMUSG00000045875
mus_spicilegus ENSMSIG00000018756
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020332
mus_pahari MGP_PahariEiJ_G0030458
rattus_norvegicus ENSRNOG00000009522
meriones_unguiculatus ENSMUGG00000023010
cricetulus_griseus_chok1gshd ENSCGRG00001023093
cricetulus_griseus_crigri ENSCGRG00000010940
cricetulus_griseus_crigri-picr ENSCGRG00015008525
mesocricetus_auratus ENSMAUG00000019248
microtus_ochrogaster ENSMOCG00000018438
peromyscus_maniculatus_bairdii ENSPEMG00000021686
dipodomys_ordii ENSDORG00000005782
spermophilus_dauricus ENSSDAG00000021532
marmota_marmota_marmota ENSMMMG00000013560
ictidomys_tridecemlineatus ENSSTOG00000019888
chinchilla_lanigera ENSCLAG00000014689
octodon_degus ENSODEG00000007554
cavia_porcellus ENSCPOG00000038399
cavia_aperea ENSCAPG00000011092
heterocephalus_glaber_female ENSHGLG00000009186
heterocephalus_glaber_male ENSHGLG00100006764
fukomys_damarensis ENSFDAG00000011423
propithecus_coquereli ENSPCOG00000028770
microcebus_murinus ENSMICG00000015812
otolemur_garnettii ENSOGAG00000026801
carlito_syrichta ENSTSYG00000012067
choloepus_hoffmanni ENSCHOG00000010944
nannospalax_galili ENSNGAG00000013950
jaculus_jaculus ENSJJAG00000008597
dasypus_novemcinctus ENSDNOG00000006881
ursus_americanus ENSUAMG00000000969
loxodonta_africana ENSLAFG00000000055
procavia_capensis ENSPCAG00000002367
echinops_telfairi ENSETEG00000019611
dasypus_novemcinctus ENSDNOG00000037476
ornithorhynchus_anatinus ENSOANG00000015807
ornithorhynchus_anatinus ENSOANG00000007572
xenopus_tropicalis ENSXETG00000031712
latimeria_chalumnae ENSLACG00000001634
