chelonoidis_abingdonii ENSCABG00000004769
gopherus_agassizii ENSGAGG00000017184
chrysemys_picta_bellii ENSCPBG00000017731
crocodylus_porosus ENSCPRG00005002716
sphenodon_punctatus ENSSPUG00000012253
apteryx_haastii ENSAHAG00000007053
pelodiscus_sinensis ENSPSIG00000007880
pogona_vitticeps ENSPVIG00000025088
anolis_carolinensis ENSACAG00000000592
notechis_scutatus ENSNSUG00000008102
salvator_merianae ENSSMRG00000022445
taeniopygia_guttata ENSTGUG00000017354
notamacropus_eugenii ENSMEUG00000006483
phascolarctos_cinereus ENSPCIG00000033403
monodelphis_domestica ENSMODG00000005592
sarcophilus_harrisii ENSSHAG00000014538
macaca_mulatta ENSMMUG00000002250
macaca_nemestrina ENSMNEG00000043360
macaca_fascicularis ENSMFAG00000040335
theropithecus_gelada ENSTGEG00000002624
papio_anubis ENSPANG00000001816
cercocebus_atys ENSCATG00000034600
mandrillus_leucophaeus ENSMLEG00000030649
chlorocebus_sabaeus ENSCSAG00000002100
colobus_angolensis_palliatus ENSCANG00000042562
piliocolobus_tephrosceles ENSPTEG00000037354
rhinopithecus_bieti ENSRBIG00000038250
rhinopithecus_roxellana ENSRROG00000007259
pan_troglodytes ENSPTRG00000004501
pan_paniscus ENSPPAG00000032110
gorilla_gorilla ENSGGOG00000002362
homo_sapiens ENSG00000109956
pongo_abelii ENSPPYG00000004125
cebus_capucinus ENSCCAG00000037297
callithrix_jacchus ENSCJAG00000007744
saimiri_boliviensis_boliviensis ENSSBOG00000023973
aotus_nancymaae ENSANAG00000037446
carlito_syrichta ENSTSYG00000034145
prolemur_simus ENSPSMG00000005240
propithecus_coquereli ENSPCOG00000024422
microcebus_murinus ENSMICG00000032749
otolemur_garnettii ENSOGAG00000026053
tupaia_belangeri ENSTBEG00000013985
cavia_porcellus ENSCPOG00000023573
cavia_aperea ENSCAPG00000004423
octodon_degus ENSODEG00000002054
chinchilla_lanigera ENSCLAG00000016367
heterocephalus_glaber_female ENSHGLG00000014339
heterocephalus_glaber_male ENSHGLG00100001169
fukomys_damarensis ENSFDAG00000007931
dipodomys_ordii ENSDORG00000003174
castor_canadensis ENSCCNG00000013788
spermophilus_dauricus ENSSDAG00000015230
urocitellus_parryii ENSUPAG00010009789
marmota_marmota_marmota ENSMMMG00000003570
ictidomys_tridecemlineatus ENSSTOG00000010357
cricetulus_griseus_chok1gshd ENSCGRG00001000620
cricetulus_griseus_crigri-picr ENSCGRG00015005209
cricetulus_griseus_crigri ENSCGRG00000015647
mesocricetus_auratus ENSMAUG00000009593
microtus_ochrogaster ENSMOCG00000022917
peromyscus_maniculatus_bairdii ENSPEMG00000018634
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033042
mus_spicilegus ENSMSIG00000021035
mus_musculus ENSMUSG00000045994
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031919
mus_pahari MGP_PahariEiJ_G0014784
rattus_norvegicus ENSRNOG00000007142
meriones_unguiculatus ENSMUGG00000024756
nannospalax_galili ENSNGAG00000017136
jaculus_jaculus ENSJJAG00000000538
oryctolagus_cuniculus ENSOCUG00000006112
ochotona_princeps ENSOPRG00000007053
sorex_araneus ENSSARG00000007384
ursus_maritimus ENSUMAG00000006581
ailuropoda_melanoleuca ENSAMEG00000007465
mustela_putorius_furo ENSMPUG00000009356
canis_lupus_familiaris ENSCAFG00000009677
panthera_tigris_altaica ENSPTIG00000014728
panthera_pardus ENSPPRG00000001615
felis_catus ENSFCAG00000013741
pteropus_vampyrus ENSPVAG00000014224
sus_scrofa ENSSSCG00000015259
erinaceus_europaeus ENSEEUG00000001525
neovison_vison ENSNVIG00000021472
capra_hircus ENSCHIG00000017371
ovis_aries ENSOARG00000014376
bos_taurus ENSBTAG00000027477
bos_mutus ENSBMUG00000000496
bison_bison_bison ENSBBBG00000005398
tursiops_truncatus ENSTTRG00000002358
myotis_lucifugus ENSMLUG00000003787
equus_caballus ENSECAG00000008023
loxodonta_africana ENSLAFG00000011813
procavia_capensis ENSPCAG00000013433
ursus_americanus ENSUAMG00000011784
vulpes_vulpes ENSVVUG00000028001
dasypus_novemcinctus ENSDNOG00000049605
ficedula_albicollis ENSFALG00000005723
nothoprocta_perdicaria ENSNPEG00000011776
calidris_pugnax ENSCPUG00000019395
calidris_pygmaea ENSCPGG00000010908
parus_major ENSPMJG00000008677
manacus_vitellinus ENSMVIG00005016593
lonchura_striata_domestica ENSLSDG00000008399
gallus_gallus ENSGALG00000001611
meleagris_gallopavo ENSMGAG00000001706
