caenorhabditis_elegans WBGene00007113
drosophila_melanogaster FBgn0037777
anolis_carolinensis ENSACAG00000002121
pogona_vitticeps ENSPVIG00000002884
notechis_scutatus ENSNSUG00000017873
salvator_merianae ENSSMRG00000013362
sphenodon_punctatus ENSSPUG00000013808
apteryx_haastii ENSAHAG00000005075
apteryx_rowi ENSARWG00000012271
apteryx_owenii ENSAOWG00000015755
dromaius_novaehollandiae ENSDNVG00000004641
nothoprocta_perdicaria ENSNPEG00000007887
taeniopygia_guttata ENSTGUG00000012311
lonchura_striata ENSLSDG00000013158
junco_hyemalis ENSJHYG00000001516
parus_major ENSPMJG00000001185
cyanistes_caeruleus ENSCCEG00000015959
ficedula_albicollis ENSFALG00000009651
serinus_canaria ENSSCAG00000001361
zonotrichia_albicollis ENSZALG00000006046
lepidothrix_coronata ENSLCOG00000011756
manacus_vitellinus ENSMVIG00005001444
calidris_pugnax ENSCPUG00000009610
calidris_pygmaea ENSCPGG00000005670
melopsittacus_undulatus ENSMUNG00000014961
meleagris_gallopavo ENSMGAG00000013598
coturnix_japonica ENSCJPG00005000283
gallus_gallus ENSGALG00000019921
numida_meleagris ENSNMEG00000008913
anser_brachyrhynchus ENSABRG00000003010
anas_platyrhynchos ENSAPLG00000005892
crocodylus_porosus ENSCPRG00005017345
chelonoidis_abingdonii ENSCABG00000005724
gopherus_agassizii ENSGAGG00000015075
chrysemys_picta ENSCPBG00000003460
pelodiscus_sinensis ENSPSIG00000001424
vombatus_ursinus ENSVURG00010006941
phascolarctos_cinereus ENSPCIG00000007875
monodelphis_domestica ENSMODG00000038074
sarcophilus_harrisii ENSSHAG00000016262
ursus_maritimus ENSUMAG00000021610
ursus_americanus ENSUAMG00000021192
ailuropoda_melanoleuca ENSAMEG00000000630
neovison_vison ENSNVIG00000000993
canis_lupus ENSCAFG00000031761
canis_lupus ENSCAFG00020016697
vulpes_vulpes ENSVVUG00000014961
panthera_pardus ENSPPRG00000008944
panthera_tigris ENSPTIG00000008338
felis_catus ENSFCAG00000043301
ovis_aries ENSOARG00000012056
capra_hircus ENSCHIG00000019756
ovis_aries ENSOARG00000002940
capra_hircus ENSCHIG00000026014
bos_indicus ENSBIXG00005030722
bos_indicus ENSBIXG00000016829
bos_taurus ENSBTAG00000003174
bos_mutus ENSBMUG00000003440
bison_bison ENSBBBG00000020115
tursiops_truncatus ENSTTRG00000010911
sus_scrofa ENSSSCG00000004342
vicugna_pacos ENSVPAG00000001269
pteropus_vampyrus ENSPVAG00000014253
myotis_lucifugus ENSMLUG00000013570
equus_caballus ENSECAG00000023456
equus_asinus ENSEASG00005006065
