microtus_ochrogaster ENSMOCG00000020876
peromyscus_maniculatus_bairdii ENSPEMG00000019146
cricetulus_griseus_crigri-picr ENSCGRG00015005942
cricetulus_griseus_chok1gshd ENSCGRG00001018194
cricetulus_griseus_crigri ENSCGRG00000011850
mus_musculus ENSMUSG00000109833
mus_spicilegus ENSMSIG00000020737
meriones_unguiculatus ENSMUGG00000022783
nannospalax_galili ENSNGAG00000007167
jaculus_jaculus ENSJJAG00000013274
castor_canadensis ENSCCNG00000031537
cavia_porcellus ENSCPOG00000030230
cavia_aperea ENSCAPG00000015500
chinchilla_lanigera ENSCLAG00000011857
octodon_degus ENSODEG00000017004
heterocephalus_glaber_female ENSHGLG00000006874
heterocephalus_glaber_male ENSHGLG00100013336
fukomys_damarensis ENSFDAG00000013767
marmota_marmota_marmota ENSMMMG00000017771
urocitellus_parryii ENSUPAG00010005794
spermophilus_dauricus ENSSDAG00000005185
macaca_nemestrina ENSMNEG00000031103
macaca_fascicularis ENSMFAG00000002553
cercocebus_atys ENSCATG00000041282
theropithecus_gelada ENSTGEG00000019007
papio_anubis ENSPANG00000035012
rhinopithecus_roxellana ENSRROG00000033852
rhinopithecus_bieti ENSRBIG00000036541
colobus_angolensis_palliatus ENSCANG00000004579
piliocolobus_tephrosceles ENSPTEG00000037791
gorilla_gorilla ENSGGOG00000037252
homo_sapiens ENSG00000262165
pan_troglodytes ENSPTRG00000047169
pan_paniscus ENSPPAG00000028822
callithrix_jacchus ENSCJAG00000045517
cebus_capucinus ENSCCAG00000030921
aotus_nancymaae ENSANAG00000021901
carlito_syrichta ENSTSYG00000025487
propithecus_coquereli ENSPCOG00000016150
prolemur_simus ENSPSMG00000002950
microcebus_murinus ENSMICG00000045274
panthera_pardus ENSPPRG00000013888
panthera_tigris_altaica ENSPTIG00000007124
felis_catus ENSFCAG00000044103
neovison_vison ENSNVIG00000019803
bos_mutus ENSBMUG00000005123
bison_bison_bison ENSBBBG00000003147
phascolarctos_cinereus ENSPCIG00000017351
