urocitellus_parryii ENSUPAG00010008039
ictidomys_tridecemlineatus ENSSTOG00000025558
spermophilus_dauricus ENSSDAG00000019142
marmota_marmota_marmota ENSMMMG00000011310
prolemur_simus ENSPSMG00000020767
choloepus_hoffmanni ENSCHOG00000010729
sorex_araneus ENSSARG00000013848
erinaceus_europaeus ENSEEUG00000001260
sus_scrofa ENSSSCG00000014379
oryctolagus_cuniculus ENSOCUG00000004563
dasypus_novemcinctus ENSDNOG00000019376
ursus_americanus ENSUAMG00000026397
ursus_americanus ENSUAMG00000000244
ursus_maritimus ENSUMAG00000012774
ailuropoda_melanoleuca ENSAMEG00000020137
neovison_vison ENSNVIG00000012808
canis_lupus_dingo ENSCAFG00020021257
canis_lupus_dingo ENSCAFG00020021239
canis_lupus_familiaris ENSCAFG00000024614
panthera_pardus ENSPPRG00000016559
tursiops_truncatus ENSTTRG00000001228
pteropus_vampyrus ENSPVAG00000002357
myotis_lucifugus ENSMLUG00000010031
equus_caballus ENSECAG00000001573
equus_asinus_asinus ENSEASG00005018108
cricetulus_griseus_chok1gshd ENSCGRG00001021174
cricetulus_griseus_crigri ENSCGRG00000011847
mesocricetus_auratus ENSMAUG00000010785
microtus_ochrogaster ENSMOCG00000018014
mus_spicilegus ENSMSIG00000001555
mus_musculus ENSMUSG00000051599
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023069
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022158
mus_pahari MGP_PahariEiJ_G0018893
rattus_norvegicus ENSRNOG00000039476
meriones_unguiculatus ENSMUGG00000009119
nannospalax_galili ENSNGAG00000014210
jaculus_jaculus ENSJJAG00000007968
dipodomys_ordii ENSDORG00000029763
chinchilla_lanigera ENSCLAG00000012148
octodon_degus ENSODEG00000013246
cavia_porcellus ENSCPOG00000032216
cavia_aperea ENSCAPG00000016347
heterocephalus_glaber_male ENSHGLG00100001265
heterocephalus_glaber_female ENSHGLG00000007925
fukomys_damarensis ENSFDAG00000003129
tupaia_belangeri ENSTBEG00000001214
homo_sapiens ENSG00000112852
pan_paniscus ENSPPAG00000035562
pongo_abelii ENSPPYG00000015875
chlorocebus_sabaeus ENSCSAG00000000491
pan_troglodytes ENSPTRG00000049042
loxodonta_africana ENSLAFG00000009131
