mus_musculus ENSMUSG00000094430
mus_spretus MGP_SPRETEiJ_G0021576
mus_caroli MGP_CAROLIEiJ_G0020680
mus_pahari MGP_PahariEiJ_G0016383
rattus_norvegicus ENSRNOG00000055586
meriones_unguiculatus ENSMUGG00000026976
peromyscus_maniculatus ENSPEMG00000017909
microtus_ochrogaster ENSMOCG00000020862
cricetulus_griseus ENSCGRG00015021537
cricetulus_griseus ENSCGRG00001015610
mesocricetus_auratus ENSMAUG00000003950
nannospalax_galili ENSNGAG00000005284
castor_canadensis ENSCCNG00000002871
dipodomys_ordii ENSDORG00000025708
spermophilus_dauricus ENSSDAG00000003816
urocitellus_parryii ENSUPAG00010000665
marmota_marmota ENSMMMG00000009440
sarcophilus_harrisii ENSSHAG00000007506
