manacus_vitellinus ENSMVIG00005011940
lepidothrix_coronata ENSLCOG00000000743
cyanistes_caeruleus ENSCCEG00000014637
parus_major ENSPMJG00000005850
taeniopygia_guttata ENSTGUG00000007134
lonchura_striata_domestica ENSLSDG00000008514
serinus_canaria ENSSCAG00000009592
zonotrichia_albicollis ENSZALG00000014402
ficedula_albicollis ENSFALG00000011307
melopsittacus_undulatus ENSMUNG00000006135
calidris_pygmaea ENSCPGG00000017926
calidris_pugnax ENSCPUG00000011899
anser_brachyrhynchus ENSABRG00000019988
anas_platyrhynchos_platyrhynchos ENSAPLG00000009401
gallus_gallus ENSGALG00000013606
coturnix_japonica ENSCJPG00005010572
meleagris_gallopavo ENSMGAG00000011521
numida_meleagris ENSNMEG00000008662
apteryx_owenii ENSAOWG00000017296
apteryx_haastii ENSAHAG00000015347
apteryx_rowi ENSARWG00000018049
nothoprocta_perdicaria ENSNPEG00000014552
dromaius_novaehollandiae ENSDNVG00000009129
crocodylus_porosus ENSCPRG00005010844
gopherus_agassizii ENSGAGG00000009660
chelonoidis_abingdonii ENSCABG00000018701
chrysemys_picta_bellii ENSCPBG00000018872
pelodiscus_sinensis ENSPSIG00000017107
pogona_vitticeps ENSPVIG00000001212
anolis_carolinensis ENSACAG00000006645
notechis_scutatus ENSNSUG00000009234
salvator_merianae ENSSMRG00000009657
sphenodon_punctatus ENSSPUG00000017255
ornithorhynchus_anatinus ENSOANG00000021121
ornithorhynchus_anatinus ENSOANG00000020119
ornithorhynchus_anatinus ENSOANG00000003613
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032117
mus_musculus ENSMUSG00000031594
mus_spicilegus ENSMSIG00000020081
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031003
mus_pahari MGP_PahariEiJ_G0021472
rattus_norvegicus ENSRNOG00000010714
meriones_unguiculatus ENSMUGG00000017540
peromyscus_maniculatus_bairdii ENSPEMG00000012179
microtus_ochrogaster ENSMOCG00000016791
cricetulus_griseus_crigri-picr ENSCGRG00015023511
cricetulus_griseus_crigri ENSCGRG00000009457
cricetulus_griseus_chok1gshd ENSCGRG00001023635
mesocricetus_auratus ENSMAUG00000016483
nannospalax_galili ENSNGAG00000000116
jaculus_jaculus ENSJJAG00000019655
dipodomys_ordii ENSDORG00000010254
cavia_porcellus ENSCPOG00000001084
cavia_aperea ENSCAPG00000016653
chinchilla_lanigera ENSCLAG00000000439
octodon_degus ENSODEG00000004248
heterocephalus_glaber_male ENSHGLG00100005431
heterocephalus_glaber_female ENSHGLG00000004146
fukomys_damarensis ENSFDAG00000018624
spermophilus_dauricus ENSSDAG00000018363
ictidomys_tridecemlineatus ENSSTOG00000022196
urocitellus_parryii ENSUPAG00010008560
marmota_marmota_marmota ENSMMMG00000009754
oryctolagus_cuniculus ENSOCUG00000014756
colobus_angolensis_palliatus ENSCANG00000030195
piliocolobus_tephrosceles ENSPTEG00000021847
rhinopithecus_bieti ENSRBIG00000041535
rhinopithecus_roxellana ENSRROG00000033066
mandrillus_leucophaeus ENSMLEG00000043777
theropithecus_gelada ENSTGEG00000020455
macaca_fascicularis ENSMFAG00000000718
macaca_nemestrina ENSMNEG00000039118
macaca_mulatta ENSMMUG00000042698
cercocebus_atys ENSCATG00000036723
papio_anubis ENSPANG00000005003
chlorocebus_sabaeus ENSCSAG00000016739
gorilla_gorilla ENSGGOG00000017006
homo_sapiens ENSG00000104760
pan_paniscus ENSPPAG00000033036
pan_troglodytes ENSPTRG00000020025
pongo_abelii ENSPPYG00000018391
nomascus_leucogenys ENSNLEG00000002774
cebus_capucinus ENSCCAG00000036103
saimiri_boliviensis_boliviensis ENSSBOG00000027943
callithrix_jacchus ENSCJAG00000011564
aotus_nancymaae ENSANAG00000023604
carlito_syrichta ENSTSYG00000001129
prolemur_simus ENSPSMG00000024576
microcebus_murinus ENSMICG00000006669
otolemur_garnettii ENSOGAG00000004288
tupaia_belangeri ENSTBEG00000005690
myotis_lucifugus ENSMLUG00000007896
pteropus_vampyrus ENSPVAG00000005113
equus_caballus ENSECAG00000007171
equus_asinus_asinus ENSEASG00005017126
ursus_maritimus ENSUMAG00000020658
ursus_americanus ENSUAMG00000011043
ailuropoda_melanoleuca ENSAMEG00000013637
mustela_putorius_furo ENSMPUG00000017965
neovison_vison ENSNVIG00000021175
canis_lupus_familiaris ENSCAFG00000032313
canis_lupus_dingo ENSCAFG00020000085
vulpes_vulpes ENSVVUG00000007318
panthera_pardus ENSPPRG00000005995
panthera_tigris_altaica ENSPTIG00000007690
felis_catus ENSFCAG00000000427
sus_scrofa ENSSSCG00000035335
vicugna_pacos ENSVPAG00000011962
bos_mutus ENSBMUG00000008750
bos_taurus ENSBTAG00000016177
bison_bison_bison ENSBBBG00000013985
ovis_aries ENSOARG00000009054
capra_hircus ENSCHIG00000013185
tursiops_truncatus ENSTTRG00000003426
sorex_araneus ENSSARG00000004626
erinaceus_europaeus ENSEEUG00000011552
choloepus_hoffmanni ENSCHOG00000013563
dasypus_novemcinctus ENSDNOG00000033518
loxodonta_africana ENSLAFG00000004009
procavia_capensis ENSPCAG00000002491
echinops_telfairi ENSETEG00000006112
notamacropus_eugenii ENSMEUG00000000684
phascolarctos_cinereus ENSPCIG00000007614
sarcophilus_harrisii ENSSHAG00000008385
monodelphis_domestica ENSMODG00000019044
xenopus_tropicalis ENSXETG00000000679
latimeria_chalumnae ENSLACG00000006670
