meriones_unguiculatus ENSMUGG00000020072
mustela_putorius_furo ENSMPUG00000002579
apteryx_rowi ENSARWG00000016881
meleagris_gallopavo ENSMGAG00000016354
chelonoidis_abingdonii ENSCABG00000015799
periophthalmus_magnuspinnatus ENSPMGG00000000616
stegastes_partitus ENSSPAG00000009371
ursus_americanus ENSUAMG00000020950
ursus_maritimus ENSUMAG00000008180
canis_lupus_dingo ENSCAFG00020010773
vulpes_vulpes ENSVVUG00000001122
panthera_tigris_altaica ENSPTIG00000012192
panthera_pardus ENSPPRG00000002947
equus_caballus ENSECAG00000031356
mus_spicilegus ENSMSIG00000017382
meleagris_gallopavo ENSMGAG00000004314
gopherus_agassizii ENSGAGG00000001150
stegastes_partitus ENSSPAG00000017000
acanthochromis_polyacanthus ENSAPOG00000021733
xiphophorus_couchianus ENSXCOG00000001579
poecilia_latipinna ENSPLAG00000001796
danio_rerio ENSDARG00000116704
poecilia_mexicana ENSPMEG00000009933
poecilia_latipinna ENSPLAG00000014625
cyprinodon_variegatus ENSCVAG00000001297
acanthochromis_polyacanthus ENSAPOG00000011523
xiphophorus_couchianus ENSXCOG00000019879
serinus_canaria ENSSCAG00000006402
lepidothrix_coronata ENSLCOG00000008376
melopsittacus_undulatus ENSMUNG00000004785
apteryx_haastii ENSAHAG00000008041
apteryx_rowi ENSARWG00000015964
castor_canadensis ENSCCNG00000011666
equus_caballus ENSECAG00000029012
eptatretus_burgeri ENSEBUG00000004780
ciona_intestinalis ENSCING00000014391
ciona_savignyi ENSCSAVG00000009310
