prolemur_simus ENSPSMG00000015830
microcebus_murinus ENSMICG00000013086
propithecus_coquereli ENSPCOG00000028419
otolemur_garnettii ENSOGAG00000004858
castor_canadensis ENSCCNG00000025191
dipodomys_ordii ENSDORG00000009476
microtus_ochrogaster ENSMOCG00000014137
peromyscus_maniculatus ENSPEMG00000009959
cricetulus_griseus ENSCGRG00015002228
cricetulus_griseus ENSCGRG00000011472
cricetulus_griseus ENSCGRG00001017165
mesocricetus_auratus ENSMAUG00000019774
mus_spicilegus ENSMSIG00000021909
mus_spretus MGP_SPRETEiJ_G0020900
mus_musculus ENSMUSG00000033055
mus_caroli MGP_CAROLIEiJ_G0020002
mus_pahari MGP_PahariEiJ_G0020004
rattus_norvegicus ENSRNOG00000010821
meriones_unguiculatus ENSMUGG00000012374
nannospalax_galili ENSNGAG00000018910
jaculus_jaculus ENSJJAG00000011301
vicugna_pacos ENSVPAG00000009674
erinaceus_europaeus ENSEEUG00000001911
ursus_americanus ENSUAMG00000020497
ursus_maritimus ENSUMAG00000015175
ailuropoda_melanoleuca ENSAMEG00000010236
neovison_vison ENSNVIG00000002333
mustela_putorius ENSMPUG00000012913
canis_lupus ENSCAFG00020003708
canis_lupus ENSCAFG00000023613
felis_catus ENSFCAG00000004279
panthera_pardus ENSPPRG00000018555
equus_caballus ENSECAG00000024838
equus_asinus ENSEASG00005018810
pteropus_vampyrus ENSPVAG00000010102
myotis_lucifugus ENSMLUG00000014296
capra_hircus ENSCHIG00000020723
ovis_aries ENSOARG00000014355
bos_indicus ENSBIXG00000012815
bos_indicus ENSBIXG00005026306
bos_taurus ENSBTAG00000010789
bos_mutus ENSBMUG00000009817
bison_bison ENSBBBG00000020204
tursiops_truncatus ENSTTRG00000004811
sus_scrofa ENSSSCG00000000120
marmota_marmota ENSMMMG00000014823
spermophilus_dauricus ENSSDAG00000024387
urocitellus_parryii ENSUPAG00010022394
ictidomys_tridecemlineatus ENSSTOG00000021479
oryctolagus_cuniculus ENSOCUG00000002834
carlito_syrichta ENSTSYG00000002057
tupaia_belangeri ENSTBEG00000002661
heterocephalus_glaber ENSHGLG00000012584
fukomys_damarensis ENSFDAG00000009130
octodon_degus ENSODEG00000013100
cavia_porcellus ENSCPOG00000024223
cavia_aperea ENSCAPG00000016099
chinchilla_lanigera ENSCLAG00000017170
ochotona_princeps ENSOPRG00000013456
nannospalax_galili ENSNGAG00000016225
oryctolagus_cuniculus ENSOCUG00000032597
vulpes_vulpes ENSVVUG00000024011
loxodonta_africana ENSLAFG00000023386
procavia_capensis ENSPCAG00000006577
echinops_telfairi ENSETEG00000012521
dasypus_novemcinctus ENSDNOG00000033816
macaca_mulatta ENSMMUG00000015254
macaca_nemestrina ENSMNEG00000037806
macaca_fascicularis ENSMFAG00000042331
theropithecus_gelada ENSTGEG00000012664
cercocebus_atys ENSCATG00000034088
chlorocebus_sabaeus ENSCSAG00000006920
rhinopithecus_roxellana ENSRROG00000007087
rhinopithecus_bieti ENSRBIG00000034210
pan_troglodytes ENSPTRG00000014350
pan_paniscus ENSPPAG00000032923
