apteryx_rowi ENSARWG00000014963
apteryx_owenii ENSAOWG00000002775
apteryx_haastii ENSAHAG00000005445
dromaius_novaehollandiae ENSDNVG00000007609
nothoprocta_perdicaria ENSNPEG00000004445
calidris_pugnax ENSCPUG00000003812
calidris_pygmaea ENSCPGG00000001806
melopsittacus_undulatus ENSMUNG00000011536
taeniopygia_guttata ENSTGUG00000005647
lonchura_striata_domestica ENSLSDG00000010941
serinus_canaria ENSSCAG00000012591
zonotrichia_albicollis ENSZALG00000007362
junco_hyemalis ENSJHYG00000000794
cyanistes_caeruleus ENSCCEG00000001677
parus_major ENSPMJG00000019360
ficedula_albicollis ENSFALG00000002344
lepidothrix_coronata ENSLCOG00000005274
manacus_vitellinus ENSMVIG00005002519
anser_brachyrhynchus ENSABRG00000000389
anas_platyrhynchos_platyrhynchos ENSAPLG00000026724
gallus_gallus ENSGALG00000005619
meleagris_gallopavo ENSMGAG00000007472
coturnix_japonica ENSCJPG00005000713
numida_meleagris ENSNMEG00000018156
crocodylus_porosus ENSCPRG00005014884
gopherus_agassizii ENSGAGG00000018250
chelonoidis_abingdonii ENSCABG00000014025
chrysemys_picta_bellii ENSCPBG00000017382
pelodiscus_sinensis ENSPSIG00000007463
pogona_vitticeps ENSPVIG00000021290
anolis_carolinensis ENSACAG00000004924
notechis_scutatus ENSNSUG00000008050
salvator_merianae ENSSMRG00000017813
phascolarctos_cinereus ENSPCIG00000005903
sarcophilus_harrisii ENSSHAG00000008043
monodelphis_domestica ENSMODG00000004472
saimiri_boliviensis_boliviensis ENSSBOG00000035506
callithrix_jacchus ENSCJAG00000018108
cebus_capucinus ENSCCAG00000026754
aotus_nancymaae ENSANAG00000023914
pan_troglodytes ENSPTRG00000000977
pan_paniscus ENSPPAG00000033102
homo_sapiens ENSG00000117525
gorilla_gorilla ENSGGOG00000014683
pongo_abelii ENSPPYG00000001139
nomascus_leucogenys ENSNLEG00000011112
theropithecus_gelada ENSTGEG00000024590
cercocebus_atys ENSCATG00000035768
macaca_fascicularis ENSMFAG00000041937
macaca_nemestrina ENSMNEG00000032837
mandrillus_leucophaeus ENSMLEG00000029893
papio_anubis ENSPANG00000012475
chlorocebus_sabaeus ENSCSAG00000001485
colobus_angolensis_palliatus ENSCANG00000005351
piliocolobus_tephrosceles ENSPTEG00000026725
rhinopithecus_bieti ENSRBIG00000011187
rhinopithecus_roxellana ENSRROG00000028240
carlito_syrichta ENSTSYG00000014311
propithecus_coquereli ENSPCOG00000024393
prolemur_simus ENSPSMG00000013868
microcebus_murinus ENSMICG00000008919
otolemur_garnettii ENSOGAG00000009588
heterocephalus_glaber_male ENSHGLG00100015908
heterocephalus_glaber_female ENSHGLG00000008407
fukomys_damarensis ENSFDAG00000010183
chinchilla_lanigera ENSCLAG00000006707
octodon_degus ENSODEG00000004515
cavia_porcellus ENSCPOG00000002092
cavia_aperea ENSCAPG00000007962
urocitellus_parryii ENSUPAG00010023332
ictidomys_tridecemlineatus ENSSTOG00000004566
spermophilus_dauricus ENSSDAG00000006859
marmota_marmota_marmota ENSMMMG00000023990
dipodomys_ordii ENSDORG00000023704
castor_canadensis ENSCCNG00000022894
mus_musculus ENSMUSG00000028128
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025588
mus_spicilegus ENSMSIG00000017257
mus_pahari MGP_PahariEiJ_G0027034
rattus_norvegicus ENSRNOG00000011800
meriones_unguiculatus ENSMUGG00000019487
peromyscus_maniculatus_bairdii ENSPEMG00000005387
microtus_ochrogaster ENSMOCG00000019703
cricetulus_griseus_chok1gshd ENSCGRG00001016638
cricetulus_griseus_crigri-picr ENSCGRG00015001319
cricetulus_griseus_crigri ENSCGRG00000003568
mesocricetus_auratus ENSMAUG00000009782
nannospalax_galili ENSNGAG00000020188
jaculus_jaculus ENSJJAG00000011091
capra_hircus ENSCHIG00000019946
ovis_aries ENSOARG00000017328
bos_mutus ENSBMUG00000026293
bos_taurus ENSBTAG00000007101
bison_bison_bison ENSBBBG00000005677
tursiops_truncatus ENSTTRG00000008081
sus_scrofa ENSSSCG00000022447
vicugna_pacos ENSVPAG00000003428
erinaceus_europaeus ENSEEUG00000004381
ursus_maritimus ENSUMAG00000008977
ursus_americanus ENSUAMG00000021918
ailuropoda_melanoleuca ENSAMEG00000009345
neovison_vison ENSNVIG00000019055
mustela_putorius_furo ENSMPUG00000003357
canis_lupus_dingo ENSCAFG00020011846
canis_lupus_familiaris ENSCAFG00000020110
vulpes_vulpes ENSVVUG00000021851
panthera_pardus ENSPPRG00000005544
panthera_tigris_altaica ENSPTIG00000009684
felis_catus ENSFCAG00000012767
equus_asinus_asinus ENSEASG00005015695
equus_caballus ENSECAG00000023416
pteropus_vampyrus ENSPVAG00000000357
myotis_lucifugus ENSMLUG00000016369
oryctolagus_cuniculus ENSOCUG00000004834
ochotona_princeps ENSOPRG00000004800
sorex_araneus ENSSARG00000011076
choloepus_hoffmanni ENSCHOG00000008302
dasypus_novemcinctus ENSDNOG00000017530
loxodonta_africana ENSLAFG00000012412
ornithorhynchus_anatinus ENSOANG00000031218
xenopus_tropicalis ENSXETG00000030465
latimeria_chalumnae ENSLACG00000003127
poecilia_mexicana ENSPMEG00000016915
poecilia_formosa ENSPFOG00000009184
poecilia_reticulata ENSPREG00000005553
gambusia_affinis ENSGAFG00000001169
xiphophorus_couchianus ENSXCOG00000001052
xiphophorus_maculatus ENSXMAG00000002497
fundulus_heteroclitus ENSFHEG00000020096
cyprinodon_variegatus ENSCVAG00000021039
kryptolebias_marmoratus ENSKMAG00000022065
oryzias_latipes_asm223469v1 ENSORLG00015000863
oryzias_latipes ENSORLG00000004009
oryzias_melastigma ENSOMEG00000001193
maylandia_zebra ENSMZEG00005014708
astatotilapia_calliptera ENSACLG00000006051
haplochromis_burtoni ENSHBUG00000008230
pundamilia_nyererei ENSPNYG00000009174
oreochromis_niloticus ENSONIG00000009666
neolamprologus_brichardi ENSNBRG00000015346
amphilophus_citrinellus ENSACIG00000022649
takifugu_rubripes ENSTRUG00000003042
tetraodon_nigroviridis ENSTNIG00000004579
