capra_hircus ENSCHIG00000025618
bos_taurus ENSBTAG00000054251
bison_bison_bison ENSBBBG00000014775
bos_mutus ENSBMUG00000007372
ovis_aries ENSOARG00000016396
bos_taurus ENSBTAG00000040482
bison_bison_bison ENSBBBG00000008911
sus_scrofa ENSSSCG00000036624
sus_scrofa ENSSSCG00000031320
sus_scrofa ENSSSCG00000032201
sus_scrofa ENSSSCG00000039964
sus_scrofa ENSSSCG00000033389
sus_scrofa ENSSSCG00000036464
bos_taurus ENSBTAG00000038714
bos_mutus ENSBMUG00000026604
bos_mutus ENSBMUG00000020768
bison_bison_bison ENSBBBG00000018244
bos_taurus ENSBTAG00000039809
bos_mutus ENSBMUG00000020777
bison_bison_bison ENSBBBG00000007800
bos_taurus ENSBTAG00000035395
bos_mutus ENSBMUG00000020758
bison_bison_bison ENSBBBG00000004476
myotis_lucifugus ENSMLUG00000025618
myotis_lucifugus ENSMLUG00000026863
myotis_lucifugus ENSMLUG00000025778
myotis_lucifugus ENSMLUG00000026070
myotis_lucifugus ENSMLUG00000025851
equus_caballus ENSECAG00000035213
equus_asinus_asinus ENSEASG00005020299
equus_caballus ENSECAG00000028213
equus_asinus_asinus ENSEASG00005020278
sorex_araneus ENSSARG00000010429
loxodonta_africana ENSLAFG00000032039
