scophthalmus_maximus ENSSMAG00000002030
cynoglossus_semilaevis ENSCSEG00000006289
seriola_lalandi ENSSLDG00000020226
seriola_dumerili ENSSDUG00000002653
mastacembelus_armatus ENSMAMG00000011786
monopterus_albus ENSMALG00000011996
anabas_testudineus ENSATEG00000018588
fundulus_heteroclitus ENSFHEG00000004102
cyprinodon_variegatus ENSCVAG00000020054
gambusia_affinis ENSGAFG00000016962
xiphophorus_maculatus ENSXMAG00000025240
poecilia_formosa ENSPFOG00000001075
poecilia_formosa ENSPFOG00000009135
poecilia_mexicana ENSPMEG00000018446
poecilia_mexicana ENSPMEG00000013387
poecilia_latipinna ENSPLAG00000021182
poecilia_reticulata ENSPREG00000002133
kryptolebias_marmoratus ENSKMAG00000008762
oryzias_latipes ENSORLG00020013846
oryzias_latipes ENSORLG00000021942
oryzias_latipes ENSORLG00015012301
oryzias_melastigma ENSOMEG00000006310
haplochromis_burtoni ENSHBUG00000019142
pundamilia_nyererei ENSPNYG00000001038
astatotilapia_calliptera ENSACLG00000022802
maylandia_zebra ENSMZEG00005005652
neolamprologus_brichardi ENSNBRG00000006741
oreochromis_niloticus ENSONIG00000011480
amphilophus_citrinellus ENSACIG00000003535
amphiprion_ocellaris ENSAOCG00000009240
amphiprion_percula ENSAPEG00000007244
acanthochromis_polyacanthus ENSAPOG00000017648
stegastes_partitus ENSSPAG00000011784
mola_mola ENSMMOG00000001789
labrus_bergylta ENSLBEG00000013340
