dipodomys_ordii ENSDORG00000005915
cavia_porcellus ENSCPOG00000005740
pongo_abelii ENSPPYG00000009370
nomascus_leucogenys ENSNLEG00000002553
rhinopithecus_bieti ENSRBIG00000038502
colobus_angolensis_palliatus ENSCANG00000032882
sorex_araneus ENSSARG00000006904
pteropus_vampyrus ENSPVAG00000014619
neovison_vison ENSNVIG00000006149
spermophilus_dauricus ENSSDAG00000007955
marmota_marmota_marmota ENSMMMG00000016765
mandrillus_leucophaeus ENSMLEG00000000058
vulpes_vulpes ENSVVUG00000003246
bos_taurus ENSBTAG00000054212
cavia_aperea ENSCAPG00000008836
mandrillus_leucophaeus ENSMLEG00000044363
theropithecus_gelada ENSTGEG00000012972
microcebus_murinus ENSMICG00000016336
mesocricetus_auratus ENSMAUG00000012443
bos_taurus ENSBTAG00000000221
bos_mutus ENSBMUG00000002592
capra_hircus ENSCHIG00000020834
ovis_aries ENSOARG00000003469
tursiops_truncatus ENSTTRG00000002216
vicugna_pacos ENSVPAG00000006840
sorex_araneus ENSSARG00000011935
ursus_americanus ENSUAMG00000007077
ursus_maritimus ENSUMAG00000006867
ailuropoda_melanoleuca ENSAMEG00000008831
vulpes_vulpes ENSVVUG00000007919
canis_lupus_dingo ENSCAFG00020027131
equus_asinus_asinus ENSEASG00005000624
equus_caballus ENSECAG00000013333
procavia_capensis ENSPCAG00000003851
echinops_telfairi ENSETEG00000009005
choloepus_hoffmanni ENSCHOG00000001136
saimiri_boliviensis_boliviensis ENSSBOG00000026105
apteryx_haastii ENSAHAG00000003990
apteryx_owenii ENSAOWG00000013274
poecilia_mexicana ENSPMEG00000011617
poecilia_latipinna ENSPLAG00000013509
cyprinodon_variegatus ENSCVAG00000017125
astyanax_mexicanus ENSAMXG00000039384
