equus_asinus_asinus ENSEASG00005014182
equus_caballus ENSECAG00000034142
myotis_lucifugus ENSMLUG00000013633
capra_hircus ENSCHIG00000014625
ovis_aries ENSOARG00000010076
bos_taurus ENSBTAG00000049080
bos_taurus ENSBTAG00000036144
bos_taurus ENSBTAG00000049553
bos_taurus ENSBTAG00000047819
bos_taurus ENSBTAG00000048333
capra_hircus ENSCHIG00000000054
ovis_aries ENSOARG00000010114
bos_mutus ENSBMUG00000026755
bison_bison_bison ENSBBBG00000000359
capra_hircus ENSCHIG00000000231
ovis_aries ENSOARG00000009951
tursiops_truncatus ENSTTRG00000008918
sus_scrofa ENSSSCG00000012714
vicugna_pacos ENSVPAG00000004030
ursus_americanus ENSUAMG00000012248
ursus_maritimus ENSUMAG00000010870
ailuropoda_melanoleuca ENSAMEG00000016314
neovison_vison ENSNVIG00000000077
mustela_putorius_furo ENSMPUG00000001761
canis_lupus_familiaris ENSCAFG00000023290
canis_lupus_dingo ENSCAFG00020024450
vulpes_vulpes ENSVVUG00000021515
erinaceus_europaeus ENSEEUG00000011281
heterocephalus_glaber_female ENSHGLG00000005266
chinchilla_lanigera ENSCLAG00000003218
urocitellus_parryii ENSUPAG00010012229
spermophilus_dauricus ENSSDAG00000017528
marmota_marmota_marmota ENSMMMG00000012587
mus_musculus ENSMUSG00000079583
mus_spicilegus ENSMSIG00000005527
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034262
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033108
mus_pahari MGP_PahariEiJ_G0031650
rattus_norvegicus ENSRNOG00000037399
meriones_unguiculatus ENSMUGG00000007968
cricetulus_griseus_crigri ENSCGRG00000005737
cricetulus_griseus_chok1gshd ENSCGRG00001022592
mesocricetus_auratus ENSMAUG00000000169
microtus_ochrogaster ENSMOCG00000018667
oryctolagus_cuniculus ENSOCUG00000022633
tupaia_belangeri ENSTBEG00000014845
tupaia_belangeri ENSTBEG00000013734
pan_paniscus ENSPPAG00000038036
pan_troglodytes ENSPTRG00000028189
homo_sapiens ENSG00000203933
gorilla_gorilla ENSGGOG00000025523
pongo_abelii ENSPPYG00000020782
nomascus_leucogenys ENSNLEG00000003353
macaca_mulatta ENSMMUG00000011355
macaca_nemestrina ENSMNEG00000038844
macaca_fascicularis ENSMFAG00000042811
papio_anubis ENSPANG00000021191
theropithecus_gelada ENSTGEG00000005299
mandrillus_leucophaeus ENSMLEG00000005961
chlorocebus_sabaeus ENSCSAG00000007334
colobus_angolensis_palliatus ENSCANG00000003124
piliocolobus_tephrosceles ENSPTEG00000024826
rhinopithecus_bieti ENSRBIG00000041195
rhinopithecus_roxellana ENSRROG00000031429
cebus_capucinus ENSCCAG00000035628
saimiri_boliviensis_boliviensis ENSSBOG00000029110
callithrix_jacchus ENSCJAG00000010089
carlito_syrichta ENSTSYG00000032577
microcebus_murinus ENSMICG00000042583
propithecus_coquereli ENSPCOG00000016018
prolemur_simus ENSPSMG00000021276
otolemur_garnettii ENSOGAG00000015306
loxodonta_africana ENSLAFG00000032766
echinops_telfairi ENSETEG00000002014
dasypus_novemcinctus ENSDNOG00000000181
