castor_canadensis ENSCCNG00000020570
dipodomys_ordii ENSDORG00000008178
chinchilla_lanigera ENSCLAG00000002084
octodon_degus ENSODEG00000016383
cavia_porcellus ENSCPOG00000013283
cavia_aperea ENSCAPG00000009184
heterocephalus_glaber_female ENSHGLG00000013301
heterocephalus_glaber_male ENSHGLG00100016016
fukomys_damarensis ENSFDAG00000007027
mus_spicilegus ENSMSIG00000016227
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023891
mus_musculus ENSMUSG00000018820
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022970
mus_pahari MGP_PahariEiJ_G0014460
rattus_norvegicus ENSRNOG00000014903
meriones_unguiculatus ENSMUGG00000000204
meriones_unguiculatus ENSMUGG00000000655
cricetulus_griseus_crigri-picr ENSCGRG00015024555
cricetulus_griseus_chok1gshd ENSCGRG00001001467
cricetulus_griseus_crigri ENSCGRG00000016706
mesocricetus_auratus ENSMAUG00000020339
microtus_ochrogaster ENSMOCG00000014672
peromyscus_maniculatus_bairdii ENSPEMG00000000658
nannospalax_galili ENSNGAG00000012854
jaculus_jaculus ENSJJAG00000005638
urocitellus_parryii ENSUPAG00010014758
ictidomys_tridecemlineatus ENSSTOG00000012103
spermophilus_dauricus ENSSDAG00000023005
marmota_marmota_marmota ENSMMMG00000021729
oryctolagus_cuniculus ENSOCUG00000001352
ochotona_princeps ENSOPRG00000005240
tupaia_belangeri ENSTBEG00000004249
pan_paniscus ENSPPAG00000029291
pan_troglodytes ENSPTRG00000002818
homo_sapiens ENSG00000155256
gorilla_gorilla ENSGGOG00000024663
pongo_abelii ENSPPYG00000002540
nomascus_leucogenys ENSNLEG00000014267
papio_anubis ENSPANG00000021295
mandrillus_leucophaeus ENSMLEG00000032971
theropithecus_gelada ENSTGEG00000016387
cercocebus_atys ENSCATG00000039847
macaca_mulatta ENSMMUG00000015503
macaca_fascicularis ENSMFAG00000031815
macaca_nemestrina ENSMNEG00000039230
chlorocebus_sabaeus ENSCSAG00000005827
colobus_angolensis_palliatus ENSCANG00000028894
piliocolobus_tephrosceles ENSPTEG00000030246
rhinopithecus_bieti ENSRBIG00000031505
rhinopithecus_roxellana ENSRROG00000036164
callithrix_jacchus ENSCJAG00000016783
cebus_capucinus ENSCCAG00000027456
saimiri_boliviensis_boliviensis ENSSBOG00000019948
aotus_nancymaae ENSANAG00000038112
carlito_syrichta ENSTSYG00000030209
prolemur_simus ENSPSMG00000009295
microcebus_murinus ENSMICG00000000197
propithecus_coquereli ENSPCOG00000027569
otolemur_garnettii ENSOGAG00000033211
tursiops_truncatus ENSTTRG00000009902
sus_scrofa ENSSSCG00000010528
ovis_aries ENSOARG00000011270
capra_hircus ENSCHIG00000015749
bos_mutus ENSBMUG00000019816
bos_taurus ENSBTAG00000018564
bison_bison_bison ENSBBBG00000020489
equus_asinus_asinus ENSEASG00005008657
equus_caballus ENSECAG00000008070
myotis_lucifugus ENSMLUG00000009377
pteropus_vampyrus ENSPVAG00000003389
ursus_americanus ENSUAMG00000010295
ursus_maritimus ENSUMAG00000022526
ailuropoda_melanoleuca ENSAMEG00000000090
mustela_putorius_furo ENSMPUG00000017032
neovison_vison ENSNVIG00000019905
canis_lupus_dingo ENSCAFG00020006105
canis_lupus_familiaris ENSCAFG00000009246
vulpes_vulpes ENSVVUG00000023261
panthera_pardus ENSPPRG00000006534
panthera_tigris_altaica ENSPTIG00000018038
felis_catus ENSFCAG00000013433
erinaceus_europaeus ENSEEUG00000006341
sorex_araneus ENSSARG00000005867
dasypus_novemcinctus ENSDNOG00000019918
choloepus_hoffmanni ENSCHOG00000010367
procavia_capensis ENSPCAG00000005901
loxodonta_africana ENSLAFG00000013655
echinops_telfairi ENSETEG00000015256
phascolarctos_cinereus ENSPCIG00000002380
notamacropus_eugenii ENSMEUG00000012711
sarcophilus_harrisii ENSSHAG00000017946
monodelphis_domestica ENSMODG00000003907
ornithorhynchus_anatinus ENSOANG00000006007
zonotrichia_albicollis ENSZALG00000006898
junco_hyemalis ENSJHYG00000000418
serinus_canaria ENSSCAG00000016659
taeniopygia_guttata ENSTGUG00000009586
lonchura_striata_domestica ENSLSDG00000005500
ficedula_albicollis ENSFALG00000008374
cyanistes_caeruleus ENSCCEG00000022288
parus_major ENSPMJG00000004057
manacus_vitellinus ENSMVIG00005018407
lepidothrix_coronata ENSLCOG00000016511
calidris_pugnax ENSCPUG00000009525
calidris_pygmaea ENSCPGG00000017674
melopsittacus_undulatus ENSMUNG00000007717
gallus_gallus ENSGALG00000007531
coturnix_japonica ENSCJPG00005019545
meleagris_gallopavo ENSMGAG00000009699
numida_meleagris ENSNMEG00000013783
anser_brachyrhynchus ENSABRG00000008327
anas_platyrhynchos_platyrhynchos ENSAPLG00000028815
apteryx_haastii ENSAHAG00000015375
apteryx_rowi ENSARWG00000001036
apteryx_owenii ENSAOWG00000005648
dromaius_novaehollandiae ENSDNVG00000015142
nothoprocta_perdicaria ENSNPEG00000008907
crocodylus_porosus ENSCPRG00005013662
chrysemys_picta_bellii ENSCPBG00000012184
chelonoidis_abingdonii ENSCABG00000000566
pelodiscus_sinensis ENSPSIG00000007380
anolis_carolinensis ENSACAG00000003048
pogona_vitticeps ENSPVIG00000004143
notechis_scutatus ENSNSUG00000007388
salvator_merianae ENSSMRG00000021691
sphenodon_punctatus ENSSPUG00000012905
xenopus_tropicalis ENSXETG00000013529
latimeria_chalumnae ENSLACG00000000439
takifugu_rubripes ENSTRUG00000007009
tetraodon_nigroviridis ENSTNIG00000014082
mola_mola ENSMMOG00000021409
labrus_bergylta ENSLBEG00000011638
cynoglossus_semilaevis ENSCSEG00000007785
periophthalmus_magnuspinnatus ENSPMGG00000014032
seriola_dumerili ENSSDUG00000003115
seriola_lalandi_dorsalis ENSSLDG00000025207
scophthalmus_maximus ENSSMAG00000003635
monopterus_albus ENSMALG00000007176
mastacembelus_armatus ENSMAMG00000012278
anabas_testudineus ENSATEG00000018601
gasterosteus_aculeatus ENSGACG00000018920
cyprinodon_variegatus ENSCVAG00000016859
fundulus_heteroclitus ENSFHEG00000009079
xiphophorus_maculatus ENSXMAG00000012689
xiphophorus_couchianus ENSXCOG00000014504
gambusia_affinis ENSGAFG00000010221
poecilia_mexicana ENSPMEG00000015499
poecilia_formosa ENSPFOG00000007066
poecilia_latipinna ENSPLAG00000005767
poecilia_reticulata ENSPREG00000000399
kryptolebias_marmoratus ENSKMAG00000001361
oryzias_latipes ENSORLG00020005919
oryzias_latipes_asm223469v1 ENSORLG00015004381
oryzias_latipes ENSORLG00000011526
oryzias_melastigma ENSOMEG00000009630
amphilophus_citrinellus ENSACIG00000018866
amphilophus_citrinellus ENSACIG00000002017
maylandia_zebra ENSMZEG00005006973
astatotilapia_calliptera ENSACLG00000021368
pundamilia_nyererei ENSPNYG00000021641
haplochromis_burtoni ENSHBUG00000012231
neolamprologus_brichardi ENSNBRG00000024042
oreochromis_niloticus ENSONIG00000017673
amphiprion_ocellaris ENSAOCG00000010832
amphiprion_percula ENSAPEG00000012565
acanthochromis_polyacanthus ENSAPOG00000007700
stegastes_partitus ENSSPAG00000016725
hippocampus_comes ENSHCOG00000020524
gadus_morhua ENSGMOG00000008965
esox_lucius ENSELUG00000017599
pygocentrus_nattereri ENSPNAG00000002003
astyanax_mexicanus ENSAMXG00000040197
ictalurus_punctatus ENSIPUG00000007823
danio_rerio ENSDARG00000059835
scleropages_formosus ENSSFOG00015021259
paramormyrops_kingsleyae ENSPKIG00000015847
lepisosteus_oculatus ENSLOCG00000008885
eptatretus_burgeri ENSEBUG00000007591
