amphiprion_percula ENSAPEG00000012605
stegastes_partitus ENSSPAG00000004673
parambassis_ranga ENSPRNG00000011922
pundamilia_nyererei ENSPNYG00000021670
astatotilapia_calliptera ENSACLG00000021348
haplochromis_burtoni ENSHBUG00000012206
neolamprologus_brichardi ENSNBRG00000024028
neolamprologus_brichardi ENSNBRG00000024034
amphilophus_citrinellus ENSACIG00000018927
cyprinodon_variegatus ENSCVAG00000016829
larimichthys_crocea ENSLCRG00005000285
takifugu_rubripes ENSTRUG00000025853
periophthalmus_magnuspinnatus ENSPMGG00000014030
