equus_caballus ENSECAG00000022972
equus_asinus_asinus ENSEASG00005018661
bos_mutus ENSBMUG00000021734
bos_taurus ENSBTAG00000006504
bison_bison_bison ENSBBBG00000012119
ovis_aries ENSOARG00000014399
capra_hircus ENSCHIG00000018345
sus_scrofa ENSSSCG00000009926
pteropus_vampyrus ENSPVAG00000010895
ursus_americanus ENSUAMG00000016007
ursus_maritimus ENSUMAG00000002054
ailuropoda_melanoleuca ENSAMEG00000005866
neovison_vison ENSNVIG00000018964
mustela_putorius_furo ENSMPUG00000003952
canis_lupus_familiaris ENSCAFG00000010765
canis_lupus_dingo ENSCAFG00020021691
vulpes_vulpes ENSVVUG00000001375
panthera_tigris_altaica ENSPTIG00000011064
panthera_pardus ENSPPRG00000014966
felis_catus ENSFCAG00000011503
nomascus_leucogenys ENSNLEG00000002257
gorilla_gorilla ENSGGOG00000010792
