pongo_abelii ENSPPYG00000005796
chlorocebus_sabaeus ENSCSAG00000015194
piliocolobus_tephrosceles ENSPTEG00000000602
colobus_angolensis_palliatus ENSCANG00000040780
theropithecus_gelada ENSTGEG00000007462
cercocebus_atys ENSCATG00000038332
papio_anubis ENSPANG00000026273
mandrillus_leucophaeus ENSMLEG00000020117
mandrillus_leucophaeus ENSMLEG00000043507
macaca_mulatta ENSMMUG00000021148
gorilla_gorilla ENSGGOG00000022058
tupaia_belangeri ENSTBEG00000016825
tursiops_truncatus ENSTTRG00000004134
pteropus_vampyrus ENSPVAG00000001783
