bos_taurus ENSBTAG00000038551
bos_mutus ENSBMUG00000018617
ovis_aries ENSOARG00000019284
myotis_lucifugus ENSMLUG00000023521
equus_caballus ENSECAG00000005647
ursus_americanus ENSUAMG00000026073
ursus_maritimus ENSUMAG00000003347
ailuropoda_melanoleuca ENSAMEG00000018953
felis_catus ENSFCAG00000028556
otolemur_garnettii ENSOGAG00000024713
prolemur_simus ENSPSMG00000000082
oryctolagus_cuniculus ENSOCUG00000015890
loxodonta_africana ENSLAFG00000030828
echinops_telfairi ENSETEG00000002063
dasypus_novemcinctus ENSDNOG00000036204
