anolis_carolinensis ENSACAG00000008195
pogona_vitticeps ENSPVIG00000011106
notechis_scutatus ENSNSUG00000006826
salvator_merianae ENSSMRG00000019508
sphenodon_punctatus ENSSPUG00000018748
chelonoidis_abingdonii ENSCABG00000016912
gopherus_agassizii ENSGAGG00000020747
chrysemys_picta_bellii ENSCPBG00000027591
crocodylus_porosus ENSCPRG00005007671
lonchura_striata_domestica ENSLSDG00000015794
peromyscus_maniculatus_bairdii ENSPEMG00000023212
microtus_ochrogaster ENSMOCG00000018744
cricetulus_griseus_crigri-picr ENSCGRG00015003975
cricetulus_griseus_chok1gshd ENSCGRG00001011628
cricetulus_griseus_crigri ENSCGRG00000000914
mesocricetus_auratus ENSMAUG00000015947
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025371
mus_spicilegus ENSMSIG00000025074
mus_musculus ENSMUSG00000027466
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024450
mus_pahari MGP_PahariEiJ_G0025894
rattus_norvegicus ENSRNOG00000006695
meriones_unguiculatus ENSMUGG00000021536
nannospalax_galili ENSNGAG00000017159
jaculus_jaculus ENSJJAG00000015061
chinchilla_lanigera ENSCLAG00000000374
octodon_degus ENSODEG00000010172
cavia_aperea ENSCAPG00000002961
cavia_porcellus ENSCPOG00000005720
heterocephalus_glaber_female ENSHGLG00000018899
heterocephalus_glaber_male ENSHGLG00100016385
fukomys_damarensis ENSFDAG00000018747
ictidomys_tridecemlineatus ENSSTOG00000026501
urocitellus_parryii ENSUPAG00010018733
marmota_marmota_marmota ENSMMMG00000023841
spermophilus_dauricus ENSSDAG00000009526
castor_canadensis ENSCCNG00000012090
dipodomys_ordii ENSDORG00000000726
ochotona_princeps ENSOPRG00000005096
oryctolagus_cuniculus ENSOCUG00000007636
pan_paniscus ENSPPAG00000033155
pan_troglodytes ENSPTRG00000013144
gorilla_gorilla ENSGGOG00000008982
homo_sapiens ENSG00000125826
pongo_abelii ENSPPYG00000010868
nomascus_leucogenys ENSNLEG00000009499
papio_anubis ENSPANG00000023305
mandrillus_leucophaeus ENSMLEG00000040082
cercocebus_atys ENSCATG00000041272
macaca_mulatta ENSMMUG00000012601
macaca_fascicularis ENSMFAG00000042138
macaca_nemestrina ENSMNEG00000043284
chlorocebus_sabaeus ENSCSAG00000012846
theropithecus_gelada ENSTGEG00000009287
piliocolobus_tephrosceles ENSPTEG00000035080
colobus_angolensis_palliatus ENSCANG00000028704
rhinopithecus_bieti ENSRBIG00000040776
rhinopithecus_roxellana ENSRROG00000037981
cebus_capucinus ENSCCAG00000019569
saimiri_boliviensis_boliviensis ENSSBOG00000002752
callithrix_jacchus ENSCJAG00000020846
aotus_nancymaae ENSANAG00000027800
gorilla_gorilla ENSGGOG00000040744
macaca_mulatta ENSMMUG00000048887
panthera_pardus ENSPPRG00000013130
microcebus_murinus ENSMICG00000013495
prolemur_simus ENSPSMG00000003139
propithecus_coquereli ENSPCOG00000027090
otolemur_garnettii ENSOGAG00000031008
carlito_syrichta ENSTSYG00000034660
tupaia_belangeri ENSTBEG00000013740
sorex_araneus ENSSARG00000008553
erinaceus_europaeus ENSEEUG00000013802
myotis_lucifugus ENSMLUG00000009983
pteropus_vampyrus ENSPVAG00000011249
panthera_pardus ENSPPRG00000012864
bos_mutus ENSBMUG00000015602
bos_taurus ENSBTAG00000017002
bison_bison_bison ENSBBBG00000009863
capra_hircus ENSCHIG00000026503
ovis_aries ENSOARG00000019106
tursiops_truncatus ENSTTRG00000005104
sus_scrofa ENSSSCG00000007206
vicugna_pacos ENSVPAG00000000451
ursus_maritimus ENSUMAG00000001072
ursus_americanus ENSUAMG00000004471
ailuropoda_melanoleuca ENSAMEG00000014013
mustela_putorius_furo ENSMPUG00000017924
neovison_vison ENSNVIG00000010541
canis_lupus_dingo ENSCAFG00020004054
canis_lupus_familiaris ENSCAFG00000006921
vulpes_vulpes ENSVVUG00000008255
felis_catus ENSFCAG00000003278
panthera_tigris_altaica ENSPTIG00000004174
equus_caballus ENSECAG00000018193
equus_asinus_asinus ENSEASG00005003621
loxodonta_africana ENSLAFG00000027558
procavia_capensis ENSPCAG00000001109
echinops_telfairi ENSETEG00000011693
dasypus_novemcinctus ENSDNOG00000017407
sarcophilus_harrisii ENSSHAG00000005370
phascolarctos_cinereus ENSPCIG00000008252
monodelphis_domestica ENSMODG00000019512
latimeria_chalumnae ENSLACG00000004914
petromyzon_marinus ENSPMAG00000007950
eptatretus_burgeri ENSEBUG00000012959
petromyzon_marinus ENSPMAG00000001010
