gopherus_agassizii ENSGAGG00000009357
chelonoidis_abingdonii ENSCABG00000009302
chrysemys_picta_bellii ENSCPBG00000028024
pelodiscus_sinensis ENSPSIG00000002424
pogona_vitticeps ENSPVIG00000021160
anolis_carolinensis ENSACAG00000008123
notechis_scutatus ENSNSUG00000015644
salvator_merianae ENSSMRG00000023166
apteryx_owenii ENSAOWG00000011894
apteryx_rowi ENSARWG00000006270
apteryx_haastii ENSAHAG00000015001
dromaius_novaehollandiae ENSDNVG00000007544
nothoprocta_perdicaria ENSNPEG00000014745
anser_brachyrhynchus ENSABRG00000018734
anas_platyrhynchos_platyrhynchos ENSAPLG00000003960
meleagris_gallopavo ENSMGAG00000004252
coturnix_japonica ENSCJPG00005020741
gallus_gallus ENSGALG00000041025
numida_meleagris ENSNMEG00000016039
manacus_vitellinus ENSMVIG00005000115
lepidothrix_coronata ENSLCOG00000013355
lonchura_striata_domestica ENSLSDG00000006421
taeniopygia_guttata ENSTGUG00000008019
serinus_canaria ENSSCAG00000002989
zonotrichia_albicollis ENSZALG00000015156
junco_hyemalis ENSJHYG00000011374
ficedula_albicollis ENSFALG00000000971
parus_major ENSPMJG00000008250
cyanistes_caeruleus ENSCCEG00000011382
lepidothrix_coronata ENSLCOG00000006937
manacus_vitellinus ENSMVIG00005019665
melopsittacus_undulatus ENSMUNG00000005406
calidris_pygmaea ENSCPGG00000010104
calidris_pugnax ENSCPUG00000003691
tupaia_belangeri ENSTBEG00000005900
ochotona_princeps ENSOPRG00000011410
carlito_syrichta ENSTSYG00000031446
castor_canadensis ENSCCNG00000014909
dipodomys_ordii ENSDORG00000028306
ictidomys_tridecemlineatus ENSSTOG00000021584
urocitellus_parryii ENSUPAG00010000448
spermophilus_dauricus ENSSDAG00000011498
marmota_marmota_marmota ENSMMMG00000009430
mus_musculus ENSMUSG00000034227
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018285
mus_spicilegus ENSMSIG00000026989
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017440
mus_pahari MGP_PahariEiJ_G0018569
meriones_unguiculatus ENSMUGG00000023729
microtus_ochrogaster ENSMOCG00000017508
peromyscus_maniculatus_bairdii ENSPEMG00000024551
cricetulus_griseus_chok1gshd ENSCGRG00001024967
cricetulus_griseus_crigri-picr ENSCGRG00015006400
cricetulus_griseus_crigri ENSCGRG00000012648
mesocricetus_auratus ENSMAUG00000009773
nannospalax_galili ENSNGAG00000021335
jaculus_jaculus ENSJJAG00000013387
octodon_degus ENSODEG00000013249
chinchilla_lanigera ENSCLAG00000009305
cavia_porcellus ENSCPOG00000035134
cavia_aperea ENSCAPG00000014324
heterocephalus_glaber_female ENSHGLG00000019133
heterocephalus_glaber_male ENSHGLG00100014207
fukomys_damarensis ENSFDAG00000014223
oryctolagus_cuniculus ENSOCUG00000011472
ursus_americanus ENSUAMG00000001473
ailuropoda_melanoleuca ENSAMEG00000010217
mustela_putorius_furo ENSMPUG00000013521
neovison_vison ENSNVIG00000012544
canis_lupus_familiaris ENSCAFG00000005050
canis_lupus_dingo ENSCAFG00020005959
vulpes_vulpes ENSVVUG00000015093
felis_catus ENSFCAG00000005772
panthera_pardus ENSPPRG00000024341
equus_caballus ENSECAG00000014390
equus_asinus_asinus ENSEASG00005004065
pteropus_vampyrus ENSPVAG00000008491
erinaceus_europaeus ENSEEUG00000004882
bos_taurus ENSBTAG00000007916
bos_mutus ENSBMUG00000010562
bison_bison_bison ENSBBBG00000005402
capra_hircus ENSCHIG00000010816
