heterocephalus_glaber_male ENSHGLG00100005842
heterocephalus_glaber_female ENSHGLG00000003669
fukomys_damarensis ENSFDAG00000016865
octodon_degus ENSODEG00000008611
chinchilla_lanigera ENSCLAG00000011822
spermophilus_dauricus ENSSDAG00000021831
urocitellus_parryii ENSUPAG00010008320
rattus_norvegicus ENSRNOG00000033956
rattus_norvegicus ENSRNOG00000032977
mus_spicilegus ENSMSIG00000029490
mus_spicilegus ENSMSIG00000020816
mus_musculus ENSMUSG00000051176
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032123
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031010
mus_pahari MGP_PahariEiJ_G0021478
meriones_unguiculatus ENSMUGG00000001739
cricetulus_griseus_chok1gshd ENSCGRG00001024253
cricetulus_griseus_crigri-picr ENSCGRG00015023128
cricetulus_griseus_crigri ENSCGRG00000016334
mesocricetus_auratus ENSMAUG00000006823
microtus_ochrogaster ENSMOCG00000004253
peromyscus_maniculatus_bairdii ENSPEMG00000000740
nannospalax_galili ENSNGAG00000012552
jaculus_jaculus ENSJJAG00000009494
castor_canadensis ENSCCNG00000013359
oryctolagus_cuniculus ENSOCUG00000004324
pan_paniscus ENSPPAG00000014767
pan_troglodytes ENSPTRG00000031054
gorilla_gorilla ENSGGOG00000005953
homo_sapiens ENSG00000179059
pongo_abelii ENSPPYG00000015262
chlorocebus_sabaeus ENSCSAG00000000092
theropithecus_gelada ENSTGEG00000025227
piliocolobus_tephrosceles ENSPTEG00000014723
cebus_capucinus ENSCCAG00000020216
otolemur_garnettii ENSOGAG00000027863
ursus_maritimus ENSUMAG00000010683
ursus_americanus ENSUAMG00000009999
ailuropoda_melanoleuca ENSAMEG00000019068
neovison_vison ENSNVIG00000020561
canis_lupus_familiaris ENSCAFG00000025203
canis_lupus_dingo ENSCAFG00020023569
vulpes_vulpes ENSVVUG00000012161
equus_asinus_asinus ENSEASG00005017513
equus_caballus ENSECAG00000006030
bos_taurus ENSBTAG00000044139
bos_mutus ENSBMUG00000009013
bison_bison_bison ENSBBBG00000013901
ovis_aries ENSOARG00000004136
tursiops_truncatus ENSTTRG00000012630
sus_scrofa ENSSSCG00000035444
vicugna_pacos ENSVPAG00000006804
myotis_lucifugus ENSMLUG00000001489
prolemur_simus ENSPSMG00000010342
echinops_telfairi ENSETEG00000006493
echinops_telfairi ENSETEG00000018689
echinops_telfairi ENSETEG00000020124
echinops_telfairi ENSETEG00000008552
echinops_telfairi ENSETEG00000000161
loxodonta_africana ENSLAFG00000025983
dasypus_novemcinctus ENSDNOG00000016813
