cyprinodon_variegatus ENSCVAG00000022634
fundulus_heteroclitus ENSFHEG00000012881
poecilia_formosa ENSPFOG00000023935
poecilia_mexicana ENSPMEG00000021653
poecilia_latipinna ENSPLAG00000009500
xiphophorus_couchianus ENSXCOG00000005634
xiphophorus_maculatus ENSXMAG00000021146
gambusia_affinis ENSGAFG00000012919
oryzias_latipes ENSORLG00015010935
oryzias_latipes ENSORLG00020011645
amphiprion_ocellaris ENSAOCG00000015669
amphiprion_ocellaris ENSAOCG00000023471
amphiprion_percula ENSAPEG00000022817
seriola_lalandi ENSSLDG00000022449
esox_lucius ENSELUG00000010808
pygocentrus_nattereri ENSPNAG00000003126
danio_rerio ENSDARG00000101597
